"","id","date","tmin"
"1","USC00053063",1947-04-01,NA
"2","USC00053063",1947-04-02,NA
"3","USC00053063",1947-04-03,NA
"4","USC00053063",1947-04-04,NA
"5","USC00053063",1947-04-05,NA
"6","USC00053063",1947-04-06,NA
"7","USC00053063",1947-04-07,NA
"8","USC00053063",1947-04-08,NA
"9","USC00053063",1947-04-09,NA
"10","USC00053063",1947-04-10,NA
"11","USC00053063",1947-04-11,1.1
"12","USC00053063",1947-04-12,NA
"13","USC00053063",1947-04-13,NA
"14","USC00053063",1947-04-14,NA
"15","USC00053063",1947-04-15,-3.3
"16","USC00053063",1947-04-16,-1.1
"17","USC00053063",1947-04-17,-1.1
"18","USC00053063",1947-04-18,4.4
"19","USC00053063",1947-04-19,7.2
"20","USC00053063",1947-04-20,4.4
"21","USC00053063",1947-04-21,10
"22","USC00053063",1947-04-22,3.3
"23","USC00053063",1947-04-23,3.3
"24","USC00053063",1947-04-24,0
"25","USC00053063",1947-04-25,0
"26","USC00053063",1947-04-26,-1.1
"27","USC00053063",1947-04-27,3.3
"28","USC00053063",1947-04-28,4.4
"29","USC00053063",1947-04-29,3.3
"30","USC00053063",1947-04-30,4.4
"31","USC00053063",1947-05-01,4.4
"32","USC00053063",1947-05-02,5.6
"33","USC00053063",1947-05-03,7.2
"34","USC00053063",1947-05-04,7.8
"35","USC00053063",1947-05-05,8.3
"36","USC00053063",1947-05-06,8.9
"37","USC00053063",1947-05-07,8.9
"38","USC00053063",1947-05-08,11.1
"39","USC00053063",1947-05-09,7.8
"40","USC00053063",1947-05-10,11.1
"41","USC00053063",1947-05-11,10
"42","USC00053063",1947-05-12,5.6
"43","USC00053063",1947-05-13,5.6
"44","USC00053063",1947-05-14,10
"45","USC00053063",1947-05-15,11.1
"46","USC00053063",1947-05-16,5.6
"47","USC00053063",1947-05-17,3.3
"48","USC00053063",1947-05-18,7.8
"49","USC00053063",1947-05-19,10
"50","USC00053063",1947-05-20,5.6
"51","USC00053063",1947-05-21,6.7
"52","USC00053063",1947-05-22,8.9
"53","USC00053063",1947-05-23,8.9
"54","USC00053063",1947-05-24,4.4
"55","USC00053063",1947-05-25,NA
"56","USC00053063",1947-05-26,NA
"57","USC00053063",1947-05-27,NA
"58","USC00053063",1947-05-28,NA
"59","USC00053063",1947-05-29,NA
"60","USC00053063",1947-05-30,NA
"61","USC00053063",1947-05-31,NA
