"","id","date","tmax","tmin"
"1","USC00451164",1940-06-01,NA,NA
"2","USC00451164",1940-06-02,NA,NA
"3","USC00451164",1940-06-03,NA,NA
"4","USC00451164",1940-06-04,NA,NA
"5","USC00451164",1940-06-05,NA,NA
"6","USC00451164",1940-06-06,23.9,18.3
"7","USC00451164",1940-06-07,21.1,15
"8","USC00451164",1940-06-08,30,18.3
"9","USC00451164",1940-06-09,31.1,18.3
"10","USC00451164",1940-06-10,34.4,22.2
"11","USC00451164",1940-06-11,35,21.1
"12","USC00451164",1940-06-12,35,21.1
"13","USC00451164",1940-06-13,25.6,20.6
"14","USC00451164",1940-06-14,29.4,17.2
"15","USC00451164",1940-06-15,30,20
"16","USC00451164",1940-06-16,31.1,20
"17","USC00451164",1940-06-17,33.3,20
"18","USC00451164",1940-06-18,35,22.2
"19","USC00451164",1940-06-19,30.6,20.6
"20","USC00451164",1940-06-20,26.7,18.3
"21","USC00451164",1940-06-21,26.7,17.8
"22","USC00451164",1940-06-22,31.1,18.3
"23","USC00451164",1940-06-23,33.3,21.1
"24","USC00451164",1940-06-24,35.6,22.2
"25","USC00451164",1940-06-25,32.2,26.1
"26","USC00451164",1940-06-26,26.1,20
"27","USC00451164",1940-06-27,28.9,18.3
"28","USC00451164",1940-06-28,33.3,18.9
"29","USC00451164",1940-06-29,35,21.1
"30","USC00451164",1940-06-30,35,21.1
"31","USC00451164",1940-07-01,36.7,12.2
"32","USC00451164",1940-07-02,30,18.3
"33","USC00451164",1940-07-03,33.9,11.7
"34","USC00451164",1940-07-04,33.3,13.3
"35","USC00451164",1940-07-05,29.4,16.1
"36","USC00451164",1940-07-06,31.1,8.9
"37","USC00451164",1940-07-07,32.8,14.4
"38","USC00451164",1940-07-08,33.3,11.1
"39","USC00451164",1940-07-09,32.8,15.6
"40","USC00451164",1940-07-10,33.9,16.1
"41","USC00451164",1940-07-11,36.7,14.4
"42","USC00451164",1940-07-12,33.3,20.6
"43","USC00451164",1940-07-13,31.7,15.6
"44","USC00451164",1940-07-14,33.9,12.2
"45","USC00451164",1940-07-15,31.7,13.9
"46","USC00451164",1940-07-16,32.2,18.9
"47","USC00451164",1940-07-17,31.1,15
"48","USC00451164",1940-07-18,31.7,13.9
"49","USC00451164",1940-07-19,33.9,16.1
"50","USC00451164",1940-07-20,29.4,14.4
"51","USC00451164",1940-07-21,30.6,12.8
"52","USC00451164",1940-07-22,33.3,14.4
"53","USC00451164",1940-07-23,32.8,17.8
"54","USC00451164",1940-07-24,27.2,16.1
"55","USC00451164",1940-07-25,28.3,12.2
"56","USC00451164",1940-07-26,22.8,14.4
"57","USC00451164",1940-07-27,27.8,14.4
"58","USC00451164",1940-07-28,27.2,11.1
"59","USC00451164",1940-07-29,29.4,13.9
"60","USC00451164",1940-07-30,26.7,10
"61","USC00451164",1940-07-31,27.8,8.3
"62","USC00451164",1940-08-01,26.7,10.6
"63","USC00451164",1940-08-02,28.9,7.8
"64","USC00451164",1940-08-03,31.1,11.7
"65","USC00451164",1940-08-04,31.1,11.1
"66","USC00451164",1940-08-05,32.8,11.7
"67","USC00451164",1940-08-06,37.2,12.8
"68","USC00451164",1940-08-07,34.4,16.7
"69","USC00451164",1940-08-08,35,12.8
"70","USC00451164",1940-08-09,30,17.8
"71","USC00451164",1940-08-10,32.8,12.2
"72","USC00451164",1940-08-11,33.3,10.6
"73","USC00451164",1940-08-12,30,15.6
"74","USC00451164",1940-08-13,28.9,10
"75","USC00451164",1940-08-14,30,11.7
"76","USC00451164",1940-08-15,31.7,12.2
"77","USC00451164",1940-08-16,32.8,10.6
"78","USC00451164",1940-08-17,35,11.1
"79","USC00451164",1940-08-18,36.7,10.6
"80","USC00451164",1940-08-19,33.9,13.3
"81","USC00451164",1940-08-20,33.9,19.4
"82","USC00451164",1940-08-21,28.3,12.2
"83","USC00451164",1940-08-22,31.7,11.7
"84","USC00451164",1940-08-23,31.7,11.1
"85","USC00451164",1940-08-24,34.4,12.8
"86","USC00451164",1940-08-25,31.1,16.1
"87","USC00451164",1940-08-26,30.6,11.7
"88","USC00451164",1940-08-27,27.2,12.8
"89","USC00451164",1940-08-28,27.2,10
"90","USC00451164",1940-08-29,31.1,8.9
"91","USC00451164",1940-08-30,35.6,10.6
"92","USC00451164",1940-08-31,31.7,12.2
"93","USC00451164",1940-09-01,31.1,13.3
"94","USC00451164",1940-09-02,31.7,13.9
"95","USC00451164",1940-09-03,29.4,12.8
"96","USC00451164",1940-09-04,20.6,11.7
"97","USC00451164",1940-09-05,27.8,11.1
"98","USC00451164",1940-09-06,27.2,12.2
"99","USC00451164",1940-09-07,31.7,11.1
"100","USC00451164",1940-09-08,31.1,15
"101","USC00451164",1940-09-09,35,12.2
"102","USC00451164",1940-09-10,32.2,16.1
"103","USC00451164",1940-09-11,35,15.6
"104","USC00451164",1940-09-12,29.4,15
"105","USC00451164",1940-09-13,24.4,13.9
"106","USC00451164",1940-09-14,26.7,8.9
"107","USC00451164",1940-09-15,28.3,10
"108","USC00451164",1940-09-16,28.3,10.6
"109","USC00451164",1940-09-17,26.1,9.4
"110","USC00451164",1940-09-18,24.4,13.9
"111","USC00451164",1940-09-19,27.2,7.2
"112","USC00451164",1940-09-20,29.4,5
"113","USC00451164",1940-09-21,22.8,8.9
"114","USC00451164",1940-09-22,28.3,8.9
"115","USC00451164",1940-09-23,30,8.9
"116","USC00451164",1940-09-24,28.9,11.1
"117","USC00451164",1940-09-25,29.4,10
"118","USC00451164",1940-09-26,28.3,10
"119","USC00451164",1940-09-27,15.6,12.2
"120","USC00451164",1940-09-28,26.1,8.3
"121","USC00451164",1940-09-29,25,8.3
"122","USC00451164",1940-09-30,26.7,11.7
