"","id","date","tmax"
"1","USC00464816",1948-01-01,11.1
"2","USC00464816",1948-01-02,0
"3","USC00464816",1948-01-03,1.1
"4","USC00464816",1948-01-04,1.1
"5","USC00464816",1948-01-05,1.1
"6","USC00464816",1948-01-06,1.1
"7","USC00464816",1948-01-07,-6.7
"8","USC00464816",1948-01-08,1.1
"9","USC00464816",1948-01-09,14.4
"10","USC00464816",1948-01-10,2.2
"11","USC00464816",1948-01-11,-5.6
"12","USC00464816",1948-01-12,4.4
"13","USC00464816",1948-01-13,2.2
"14","USC00464816",1948-01-14,-8.9
"15","USC00464816",1948-01-15,-16.1
"16","USC00464816",1948-01-16,-1.1
"17","USC00464816",1948-01-17,-5
"18","USC00464816",1948-01-18,-15.6
"19","USC00464816",1948-01-19,-13.3
"20","USC00464816",1948-01-20,-7.8
"21","USC00464816",1948-01-21,1.7
"22","USC00464816",1948-01-22,1.7
"23","USC00464816",1948-01-23,-10
"24","USC00464816",1948-01-24,-10
"25","USC00464816",1948-01-25,-14.4
"26","USC00464816",1948-01-26,-20
"27","USC00464816",1948-01-27,-3.9
"28","USC00464816",1948-01-28,-15.6
"29","USC00464816",1948-01-29,-15.6
"30","USC00464816",1948-01-30,-5.6
"31","USC00464816",1948-01-31,-4.4
"32","USC00464816",1948-02-01,-3.3
"33","USC00464816",1948-02-02,-4.4
"34","USC00464816",1948-02-03,-14.4
"35","USC00464816",1948-02-04,3.3
"36","USC00464816",1948-02-05,2.2
"37","USC00464816",1948-02-06,0
"38","USC00464816",1948-02-07,-1.1
"39","USC00464816",1948-02-08,0
"40","USC00464816",1948-02-09,-7.8
"41","USC00464816",1948-02-10,-11.1
"42","USC00464816",1948-02-11,-3.3
"43","USC00464816",1948-02-12,4.4
"44","USC00464816",1948-02-13,12.2
"45","USC00464816",1948-02-14,3.3
"46","USC00464816",1948-02-15,-2.2
"47","USC00464816",1948-02-16,1.1
"48","USC00464816",1948-02-17,8.3
"49","USC00464816",1948-02-18,1.1
"50","USC00464816",1948-02-19,5.6
"51","USC00464816",1948-02-20,1.7
"52","USC00464816",1948-02-21,-2.2
"53","USC00464816",1948-02-22,3.3
"54","USC00464816",1948-02-23,4.4
"55","USC00464816",1948-02-24,1.1
"56","USC00464816",1948-02-25,2.2
"57","USC00464816",1948-02-26,13.3
"58","USC00464816",1948-02-27,6.7
"59","USC00464816",1948-02-28,18.9
"60","USC00464816",1948-02-29,3.3
"61","USC00464816",1948-03-01,-1.1
"62","USC00464816",1948-03-02,14.4
"63","USC00464816",1948-03-03,11.1
"64","USC00464816",1948-03-04,4.4
"65","USC00464816",1948-03-05,-3.3
"66","USC00464816",1948-03-06,4.4
"67","USC00464816",1948-03-07,4.4
"68","USC00464816",1948-03-08,3.3
"69","USC00464816",1948-03-09,4.4
"70","USC00464816",1948-03-10,3.3
"71","USC00464816",1948-03-11,2.2
"72","USC00464816",1948-03-12,-3.3
"73","USC00464816",1948-03-13,-5.6
"74","USC00464816",1948-03-14,-2.2
"75","USC00464816",1948-03-15,4.4
"76","USC00464816",1948-03-16,14.4
"77","USC00464816",1948-03-17,8.9
"78","USC00464816",1948-03-18,1.1
"79","USC00464816",1948-03-19,18.9
"80","USC00464816",1948-03-20,13.3
"81","USC00464816",1948-03-21,14.4
"82","USC00464816",1948-03-22,16.7
"83","USC00464816",1948-03-23,14.4
"84","USC00464816",1948-03-24,11.1
"85","USC00464816",1948-03-25,8.3
"86","USC00464816",1948-03-26,17.8
"87","USC00464816",1948-03-27,18.9
"88","USC00464816",1948-03-28,-1.1
"89","USC00464816",1948-03-29,-1.1
"90","USC00464816",1948-03-30,10
"91","USC00464816",1948-03-31,16.7
"92","USC00464816",1948-04-01,14.4
"93","USC00464816",1948-04-02,7.8
"94","USC00464816",1948-04-03,7.8
"95","USC00464816",1948-04-04,8.9
"96","USC00464816",1948-04-05,15.6
"97","USC00464816",1948-04-06,14.4
"98","USC00464816",1948-04-07,15.6
"99","USC00464816",1948-04-08,16.7
"100","USC00464816",1948-04-09,10
"101","USC00464816",1948-04-10,8.9
"102","USC00464816",1948-04-11,13.3
"103","USC00464816",1948-04-12,16.7
"104","USC00464816",1948-04-13,15.6
"105","USC00464816",1948-04-14,16.7
"106","USC00464816",1948-04-15,11.1
"107","USC00464816",1948-04-16,14.4
"108","USC00464816",1948-04-17,8.9
"109","USC00464816",1948-04-18,8.9
"110","USC00464816",1948-04-19,10
"111","USC00464816",1948-04-20,14.4
"112","USC00464816",1948-04-21,20
"113","USC00464816",1948-04-22,13.3
"114","USC00464816",1948-04-23,20
"115","USC00464816",1948-04-24,20
"116","USC00464816",1948-04-25,16.7
"117","USC00464816",1948-04-26,17.8
"118","USC00464816",1948-04-27,20
"119","USC00464816",1948-04-28,15.6
"120","USC00464816",1948-04-29,11.1
"121","USC00464816",1948-04-30,11.1
"122","USC00464816",1948-05-01,12.2
"123","USC00464816",1948-05-02,17.8
"124","USC00464816",1948-05-03,14.4
"125","USC00464816",1948-05-04,12.2
"126","USC00464816",1948-05-05,14.4
"127","USC00464816",1948-05-06,13.9
"128","USC00464816",1948-05-07,15.6
"129","USC00464816",1948-05-08,13.3
"130","USC00464816",1948-05-09,15.6
"131","USC00464816",1948-05-10,18.9
"132","USC00464816",1948-05-11,23.3
"133","USC00464816",1948-05-12,22.2
"134","USC00464816",1948-05-13,20
"135","USC00464816",1948-05-14,15.6
"136","USC00464816",1948-05-15,13.3
"137","USC00464816",1948-05-16,16.7
"138","USC00464816",1948-05-17,15.6
"139","USC00464816",1948-05-18,18.3
"140","USC00464816",1948-05-19,15.6
"141","USC00464816",1948-05-20,13.3
"142","USC00464816",1948-05-21,20
"143","USC00464816",1948-05-22,15.6
"144","USC00464816",1948-05-23,14.4
"145","USC00464816",1948-05-24,15.6
"146","USC00464816",1948-05-25,16.7
"147","USC00464816",1948-05-26,14.4
"148","USC00464816",1948-05-27,15.6
"149","USC00464816",1948-05-28,21.1
"150","USC00464816",1948-05-29,21.1
"151","USC00464816",1948-05-30,18.3
"152","USC00464816",1948-05-31,14.4
"153","USC00464816",1948-06-01,11.1
"154","USC00464816",1948-06-02,18.9
"155","USC00464816",1948-06-03,21.1
"156","USC00464816",1948-06-04,22.2
"157","USC00464816",1948-06-05,24.4
"158","USC00464816",1948-06-06,23.3
"159","USC00464816",1948-06-07,20
"160","USC00464816",1948-06-08,18.9
"161","USC00464816",1948-06-09,14.4
"162","USC00464816",1948-06-10,19.4
"163","USC00464816",1948-06-11,20
"164","USC00464816",1948-06-12,17.8
"165","USC00464816",1948-06-13,17.8
"166","USC00464816",1948-06-14,16.7
"167","USC00464816",1948-06-15,18.9
"168","USC00464816",1948-06-16,18.3
"169","USC00464816",1948-06-17,17.8
"170","USC00464816",1948-06-18,17.8
"171","USC00464816",1948-06-19,16.7
