"","locname","latitude","longitude","NOAA_ID","NOAA_NAME","NEAR_Y","NEAR_X","NEAR_DIST"
"1","01022500",44.607972,-67.935242,"USC00174183","JONESBORO",44.6453,-67.6494,22.9984255025546
"2","01031500",45.175008,-69.314697,"USC00172440","E SANGERVILLE",45.1369,-69.2806,5.01038686082461
"3","01037380",44.329167,-69.060833,"USC00170480","BELFAST",44.4394,-68.9892,13.5146866131099
"4","01038000",44.222778,-69.593758,"USC00171823","DAMARISCOTTA MILLS",44.1333,-69.5167,11.6942235538665
"5","01054200",44.390444,-70.979644,"USC00173110","GILEAD",44.4,-70.9667,1.47876332051996
"6","01072870",43.2348,-70.95645,"USW00054791","ROCHESTER SKYHAVEN AP",43.2781,-70.9222,5.55651651426001
"7","01073319",43.042307,-71.200618,"USC00272800","EPPING",43.0303,-71.0839,9.57971933237681
"8","01091000",43.014805,-71.641461,"USC00278972","WEARE",43.0847,-71.7383,11.0599335051288
"9","01093852",42.84259,-71.70674,"USC00275412","MILFORD",42.8394,-71.6486,4.75357904341284
"10","01095220",42.410925,-71.791183,"USC00196720","QUINAPOXET",42.3778,-71.8508,6.12659780271756
"11","01095375",42.37287,-71.828128,"USC00196720","QUINAPOXET",42.3778,-71.8508,1.94138988944948
"12","01104430",42.398151,-71.27339,"USC00196915","ROBERTS DAM",42.3667,-71.2667,3.54009669388484
"13","01104460",42.368985,-71.270612,"USC00196915","ROBERTS DAM",42.3667,-71.2667,0.409691960324737
"14","01104475",42.354541,-71.268112,"USC00196915","ROBERTS DAM",42.3667,-71.2667,1.35698758076918
"15","01115098",41.852599,-71.606175,"USC00373306","GREENVILLE",41.8833,-71.5667,4.72637568910887
"16","01115187",41.81871,-71.705068,"USC00375354","NORTH SCITUATE 4 W",41.8333,-71.6833,2.42595328318362
"17","01124000",42.022319,-71.955629,"USC00192010","DUDLEY",42.0333,-71.9333,2.211890185822
"18","01129200",45.040324,-71.443971,"CA007022300","EAST HEREFORD",45.0833,-71.5,6.49627174789587
"19","01157000",43.039246,-72.270086,"USC00278539","SURRY MTN LAKE",42.9967,-72.3128,5.86859470217695
"20","01173000",42.390646,-72.060355,"USC00191589","COLDBROOK",42.3833,-72.05,1.17919109408656
"21","01184000",41.987319,-72.605367,"USC00062760","ENFIELD",42.0281,-72.575,5.18249424976621
"22","01186000",41.962873,-73.017606,"USC00061508","COLEBROOK RVR LAKE",42.0003,-73.0439,4.69503722793154
"23","01187300",42.037316,-72.938991,"USC00199221","WEST GRANVILLE",42.0667,-72.9333,3.30096642668388
"24","01192500",41.783155,-72.587311,"USW00014752","HARTFORD BRAINARD FLD",41.7361,-72.6506,7.41176547699922
"25","01193500",41.552321,-72.449253,"USC00061499","COLCHESTER 2 W",41.55,-72.3667,6.87443222002472
"26","01194000",41.44177,-72.33286,"USC00061499","COLCHESTER 2 W",41.55,-72.3667,12.3602380619027
"27","01194500",41.427876,-72.33425,"USC00063989","LAKE KONOMOC",41.4,-72.1833,12.9638380579163
"28","01196500",41.449542,-72.840934,"USW00054788","MERIDEN MARKHAM MUNI AP",41.5097,-72.8278,6.77815685287821
"29","01201487",41.466206,-73.403176,"USC00061762","DANBURY",41.4,-73.4167,7.44760382862371
"30","01205500",41.383985,-73.167612,"USC00068065","STEVENSON DAM",41.3819,-73.1717,0.412401300571284
"31","01309500",40.688989,-73.454846,"USC00308946","WANTAGH CEDAR CREEK",40.655,-73.5053,5.69119731091557
"32","01362500",42.014259,-74.270703,"USC00306570","PHONECIA 2SW",42.0675,-74.3356,7.9855781665198
"33","01382170",41.077778,-74.489722,"USC00281582","CHARLOTTEBURG RSVR",41.03,-74.4247,7.61253404057429
"34","01382500",41.018333,-74.401111,"USC00281582","CHARLOTTEBURG RSVR",41.03,-74.4247,2.36620013590962
"35","01388000",40.991972,-74.279861,"USC00289187","WANAQUE RAYMOND DAM",41.0444,-74.2933,5.93775655581806
"36","01400500",40.555,-74.583611,"USC00285197","MANVILLE",40.55,-74.5667,1.53312288264161
"37","01408000",40.161389,-74.154722,"USW00004783","BELMAR MONMOUTH AAF",40.1833,-74.1167,4.04627716545266
"38","01408029",40.146667,-74.122222,"USW00004783","BELMAR MONMOUTH AAF",40.1833,-74.1167,4.1003404713378
"39","01408500",39.986389,-74.223333,"USC00288816","TOMS RIVER",39.95,-74.2167,4.08556503345485
"40","01417500",42.024809,-75.11989,"USC00300540","BEERSTON",42.1167,-75.1167,10.2212051217929
"41","01420500",41.946477,-74.979609,"USC00301102","CALLICOON CTR",41.8275,-74.9506,13.4458158194819
"42","01423000",42.166196,-75.139891,"USC00308936","WALTON",42.1667,-75.1333,0.546096563427928
"43","01425000",42.074806,-75.396009,"USC00302060","DEPOSIT",42.0628,-75.4264,2.84171946069488
"44","01426500",42.00314,-75.383508,"USC00302060","DEPOSIT",42.0628,-75.4264,7.52049024317439
"45","01427207",41.86731,-75.213783,"USC00301101","CALLICOON",41.7667,-75.05,17.5891774507358
"46","01427500",41.760922,-75.048223,"USC00301101","CALLICOON",41.7667,-75.05,0.65917234809334
"47","01427510",41.756755,-75.05739,"USC00301101","CALLICOON",41.7667,-75.05,1.26434597418474
"48","01428000",41.564256,-75.015168,"USC00366900","PHILA FRIENDS HOSPITAL",41.65,-75.1,11.859563690886
"49","01428500",41.508978,-74.985723,"USC00363758","HAWLEY 1 E",41.4764,-75.1653,15.3893001874761
"50","01428750",41.67453,-75.376013,"USC00362331","DYBERRY",41.6333,-75.3,7.80392625850044
"51","01429000",41.587309,-75.326845,"USC00367186","PROMPTON DAM",41.5889,-75.3303,0.337434922413688
"52","01431500",41.4762,-75.172119,"USC00363758","HAWLEY 1 E",41.4764,-75.1653,0.568529740519171
"53","01432110",41.475923,-75.036281,"USC00363758","HAWLEY 1 E",41.4764,-75.1653,10.7487962373417
"54","01433500",41.461481,-74.758775,"USC00365470","MATAMORAS",41.3914,-74.7172,8.52881257502915
"55","01434021",42.011203,-74.414318,"USC00307799","SLIDE MTN",42.0167,-74.4167,0.642136406695619
"56","01435000",41.890092,-74.589879,"USC00303076","FROST VALLEY",41.9667,-74.55,9.13495015417508
"57","01436690",41.638064,-74.616883,"USC00307210","ROCK HILL 3 SW",41.5917,-74.6142,5.16026417196644
"58","01447500",41.130363,-75.625467,"USC00365160","LONG POND POCONO LAKE",41.1192,-75.5481,6.598129948862
"59","01447720",41.084808,-75.605467,"USC00365160","LONG POND POCONO LAKE",41.1192,-75.5481,6.14245025706406
"60","01447800",41.104806,-75.732136,"USC00360455","FRANCIS E WALTER DAM",41.1167,-75.7333,1.32614284442663
"61","01449360",40.897592,-75.502408,"USC00364672","KRESGEVILLE 2 W",40.9,-75.5333,2.61019912399215
"62","01449800",40.845648,-75.645744,"USC00360560","BELTZVILLE DAM",40.8619,-75.6428,1.8240241842078
"63","01454700",40.669266,-75.236288,"USC00362425","EASTON (1)",40.6833,-75.2167,2.27241365063626
"64","01463500",40.221667,-74.778056,"USC00288878","TRENTON 2",40.2333,-74.7667,1.61327783923933
"65","01465500",40.173998,-74.956834,"USC00366194","NESHAMINY FALLS",40.1483,-74.953,2.8760015269079
"66","01466500",39.885,-74.505278,"USC00281598","CHATSWORTH",39.8167,-74.5333,7.96243823024866
"67","01467087",40.015945,-75.096841,"USC00366901","PHILA GERMANTOWN",40.0167,-75.1667,5.9497769478244
"68","01470779",40.413426,-76.171613,"USC00369430","WERNERSVILLE 1 W",40.3333,-76.1,10.7788599017411
"69","01470960",40.370648,-76.025216,"USC00360785","BLUE MARSH LAKE",40.3803,-76.0275,1.0905533272047
"70","01471875",40.339538,-75.742136,"USC00363047","FREDERICKSVILLE 2 SE",40.4333,-75.6667,12.2278254197152
"71","01472157",40.151491,-75.601305,"USC00362116","DEVAULT 1 W",40.0833,-75.55,8.74796630533621
"72","01473000",40.229547,-75.451567,"USC00363435","GRATERFORD",40.2333,-75.45,0.438003223320999
"73","01473169",40.079274,-75.460748,"USC00369103","VALLEY FORGE NHP",40.0983,-75.4197,4.08280600965972
"74","01473500",40.111219,-75.34685,"USC00366370","NORRISTOWN",40.1097,-75.3369,0.862863917742229
"75","01474000",40.01539,-75.206846,"USC00366914","PHILA CENTENNIAL AVE",40,-75.1833,2.63633374019441
"76","01474500",39.967891,-75.188512,"USC00366886","PHILA FRANKLIN INST",39.9586,-75.1728,1.69128209920973
"77","01475510",39.929002,-75.272406,"USC00367166","PRIMOS",39.9206,-75.2928,1.97414102141653
"78","01475530",39.974835,-75.279907,"USC00366907","PHILADELPHIA UPPER DAR",39.9667,-75.2833,0.949657999343539
"79","01478000",39.637389,-75.727889,"USC00076405","NEWARK PUMPING STN",39.6667,-75.75,3.76908417124718
"80","01478650",39.689222,-75.74875,"USC00076410","NEWARK UNIV FARM",39.6694,-75.7514,2.21574223198961
"81","01479000",39.699222,-75.675028,"USW00013781","WILMINGTON NEW CASTLE CO AP",39.6728,-75.6008,6.99831323629166
"82","01480000",39.762806,-75.6365,"USC00079600","WILMINGTON CITY HALL",39.75,-75.55,7.53017259275777
