"","agency_cd","site_no","Date","UPSTREAM_Wtemp","UPSTREAM_Wtemp_cd","FLOATING_Wtemp","FLOATING_Wtemp_cd"
"1","USGS","02292900",2014-05-01,28.4,"A",NA,NA
"2","USGS","02292900",2014-05-02,28.2,"A",NA,NA
"3","USGS","02292900",2014-05-03,27.6,"A",NA,NA
"4","USGS","02292900",2014-05-04,27.3,"A",NA,NA
"5","USGS","02292900",2014-05-05,27.9,"A",NA,NA
"6","USGS","02292900",2014-05-06,28.6,"A",NA,NA
"7","USGS","02292900",2014-05-07,28.9,"A",NA,NA
"8","USGS","02292900",2014-05-08,28.8,"A",NA,NA
"9","USGS","02292900",2014-05-09,28.7,"A",NA,NA
"10","USGS","02292900",2014-05-10,28.4,"A",NA,NA
"11","USGS","02292900",2014-05-11,28.4,"A",NA,NA
"12","USGS","02292900",2014-05-12,28,"A",NA,NA
"13","USGS","02292900",2014-05-13,27.9,"A",NA,NA
"14","USGS","02292900",2014-05-14,27.9,"A",NA,NA
"15","USGS","02292900",2014-05-15,28.3,"A",NA,NA
"16","USGS","02292900",2014-05-16,27.8,"A",NA,NA
"17","USGS","02292900",2014-05-17,27.7,"A",NA,NA
"18","USGS","02292900",2014-05-18,27.6,"A",NA,NA
"19","USGS","02292900",2014-05-19,27.6,"A",NA,NA
"20","USGS","02292900",2014-05-20,27.5,"A",NA,NA
"21","USGS","02292900",2014-05-21,27.7,"A",NA,NA
"22","USGS","02292900",2014-05-22,28.2,"A",NA,NA
"23","USGS","02292900",2014-05-23,28.4,"A",NA,NA
"24","USGS","02292900",2014-05-24,28.4,"A",NA,NA
"25","USGS","02292900",2014-05-25,29.1,"A",NA,NA
"26","USGS","02292900",2014-05-26,29.8,"A",NA,NA
"27","USGS","02292900",2014-05-27,30.1,"A",NA,NA
"28","USGS","02292900",2014-05-28,30.1,"A",NA,NA
"29","USGS","02292900",2014-05-29,29.8,"A",NA,NA
"30","USGS","02292900",2014-05-30,29.7,"A",NA,NA
"31","USGS","02292900",2014-05-31,29.8,"A",NA,NA
"32","USGS","02292900",2014-06-01,29.7,"A",NA,NA
"33","USGS","02292900",2014-06-02,29.1,"A",NA,NA
"34","USGS","02292900",2014-06-03,28.4,"A",NA,NA
"35","USGS","02292900",2014-06-04,28.7,"A",NA,NA
"36","USGS","02292900",2014-06-05,30.2,"A",NA,NA
"37","USGS","02292900",2014-06-06,29.9,"A",NA,NA
"38","USGS","02292900",2014-06-07,29.2,"A",NA,NA
"39","USGS","02292900",2014-06-08,29.2,"A",NA,NA
"40","USGS","02292900",2014-06-09,29.6,"A",NA,NA
"41","USGS","02292900",2014-06-10,30.2,"A",NA,NA
"42","USGS","02292900",2014-06-11,30.2,"A",NA,NA
"43","USGS","02292900",2014-06-12,29.4,"A",NA,NA
"44","USGS","02292900",2014-06-13,29.5,"A",NA,NA
"45","USGS","02292900",2014-06-14,29.8,"A",NA,NA
"46","USGS","02292900",2014-06-15,29.6,"A",NA,NA
"47","USGS","02292900",2014-06-16,29.3,"A",NA,NA
"48","USGS","02292900",2014-06-17,29.2,"A",NA,NA
"49","USGS","02292900",2014-06-18,29.2,"A",NA,NA
"50","USGS","02292900",2014-06-19,29.2,"A",NA,NA
"51","USGS","02292900",2014-06-20,29,"A",NA,NA
"52","USGS","02292900",2014-06-21,29,"A",NA,NA
"53","USGS","02292900",2014-06-22,29.3,"A",NA,NA
"54","USGS","02292900",2014-06-23,29.6,"A",NA,NA
"55","USGS","02292900",2014-06-24,29.9,"A",NA,NA
"56","USGS","02292900",2014-06-25,30.4,"A",NA,NA
"57","USGS","02292900",2014-06-26,31.4,"A",NA,NA
"58","USGS","02292900",2014-06-27,31.6,"A",NA,NA
"59","USGS","02292900",2014-06-28,31.5,"A",NA,NA
"60","USGS","02292900",2014-06-29,31.3,"A",NA,NA
"61","USGS","02292900",2014-06-30,30.9,"A",NA,NA
"62","USGS","02292900",2014-07-01,30.8,"A",NA,NA
"63","USGS","02292900",2014-07-02,30.4,"A",NA,NA
"64","USGS","02292900",2014-07-03,30.8,"A",NA,NA
"65","USGS","02292900",2014-07-04,30.8,"A",NA,NA
"66","USGS","02292900",2014-07-05,30.9,"A",NA,NA
"67","USGS","02292900",2014-07-06,30.9,"A",NA,NA
"68","USGS","02292900",2014-07-07,30.3,"A",NA,NA
"69","USGS","02292900",2014-07-08,30.3,"A",NA,NA
"70","USGS","02292900",2014-07-09,30.2,"A",NA,NA
"71","USGS","02292900",2014-07-10,30.2,"A",NA,NA
"72","USGS","02292900",2014-07-11,30,"A",NA,NA
"73","USGS","02292900",2014-07-12,29.8,"A",NA,NA
"74","USGS","02292900",2014-07-13,30,"A",NA,NA
"75","USGS","02292900",2014-07-14,30.1,"A",NA,NA
"76","USGS","02292900",2014-07-15,30.2,"A",NA,NA
"77","USGS","02292900",2014-07-16,30,"A",NA,NA
"78","USGS","02292900",2014-07-17,29.9,"A",NA,NA
"79","USGS","02292900",2014-07-18,30.5,"A",NA,NA
"80","USGS","02292900",2014-07-19,31.6,"A",NA,NA
"81","USGS","02292900",2014-07-20,31.9,"A",NA,NA
"82","USGS","02292900",2014-07-21,31.8,"A",NA,NA
"83","USGS","02292900",2014-07-22,30.9,"A",NA,NA
"84","USGS","02292900",2014-07-23,30.8,"A",NA,NA
"85","USGS","02292900",2014-07-24,30.9,"A",NA,NA
"86","USGS","02292900",2014-07-25,31,"A",NA,NA
"87","USGS","02292900",2014-07-26,30.7,"A",NA,NA
"88","USGS","02292900",2014-07-27,30.6,"A",NA,NA
"89","USGS","02292900",2014-07-28,30.6,"A",NA,NA
"90","USGS","02292900",2014-07-29,30.7,"A",NA,NA
"91","USGS","02292900",2014-07-30,30.9,"A",NA,NA
"92","USGS","02292900",2014-07-31,31,"A",NA,NA
"93","USGS","02292900",2014-08-01,30.9,"A",NA,NA
"94","USGS","02292900",2014-08-02,31.2,"A",NA,NA
"95","USGS","02292900",2014-08-03,31.4,"A",NA,NA
"96","USGS","02292900",2014-08-04,30.1,"A",NA,NA
"97","USGS","02292900",2014-08-05,30.2,"A",NA,NA
"98","USGS","02292900",2014-08-06,30.2,"A",NA,NA
"99","USGS","02292900",2014-08-07,30.8,"A",NA,NA
"100","USGS","02292900",2014-08-08,30.2,"A",NA,NA
"101","USGS","02292900",2014-08-09,29.7,"A",NA,NA
"102","USGS","02292900",2014-08-10,29.7,"A",NA,NA
"103","USGS","02292900",2014-08-11,30.1,"A",NA,NA
"104","USGS","02292900",2014-08-12,30.6,"A",NA,NA
"105","USGS","02292900",2014-08-13,30.6,"A",NA,NA
"106","USGS","02292900",2014-08-14,30.3,"A",NA,NA
"107","USGS","02292900",2014-08-15,29.4,"A",NA,NA
"108","USGS","02292900",2014-08-16,28.8,"A",NA,NA
"109","USGS","02292900",2014-08-17,29,"A",NA,NA
"110","USGS","02292900",2014-08-18,30.1,"A",NA,NA
"111","USGS","02292900",2014-08-19,31,"A",NA,NA
"112","USGS","02292900",2014-08-20,31.8,"A",NA,NA
"113","USGS","02292900",2014-08-21,32.5,"A",NA,NA
"114","USGS","02292900",2014-08-22,33.8,"A",NA,NA
"115","USGS","02292900",2014-08-23,33.7,"A",NA,NA
"116","USGS","02292900",2014-08-26,31.2,"A",NA,NA
"117","USGS","02292900",2014-08-27,31.9,"A",NA,NA
"118","USGS","02292900",2014-08-28,31.7,"A",NA,NA
"119","USGS","02292900",2014-08-29,30.9,"A",NA,NA
