"","agency_cd","site_no","Date","TOP_Wtemp","TOP_Wtemp_cd","BOTTOM_Wtemp","BOTTOM_Wtemp_cd"
"1","USGS","02304510",2016-06-08,28.2,"A",28.2,"A"
"2","USGS","02304510",2016-06-09,28.8,"A",28.8,"A"
"3","USGS","02304510",2016-06-10,28.7,"A",28.7,"A"
"4","USGS","02304510",2016-06-11,28.5,"A",28.4,"A"
"5","USGS","02304510",2016-06-12,27.9,"A",27.9,"A"
"6","USGS","02304510",2016-06-13,27.7,"A",27.6,"A"
"7","USGS","02304510",2016-06-14,27.9,"A",27.9,"A"
"8","USGS","02304510",2016-06-15,28.4,"A",28.3,"A"
"9","USGS","02304510",2016-06-16,28.7,"A",28.6,"A"
"10","USGS","02304510",2016-06-17,29,"A",29,"A"
"11","USGS","02304510",2016-06-18,29.3,"A",29.3,"A"
"12","USGS","02304510",2016-06-19,29.4,"A",29.3,"A"
"13","USGS","02304510",2016-06-20,28.9,"A",28.8,"A"
"14","USGS","02304510",2016-06-21,28.6,"A",28.5,"A"
"15","USGS","02304510",2016-06-22,28.8,"A",28.7,"A"
"16","USGS","02304510",2016-06-23,28.7,"A",28.6,"A"
"17","USGS","02304510",2016-06-24,28.2,"A",28.1,"A"
"18","USGS","02304510",2016-06-25,28.4,"A",28.4,"A"
"19","USGS","02304510",2016-06-26,28.5,"A",28.5,"A"
"20","USGS","02304510",2016-06-27,28.6,"A",28.5,"A"
"21","USGS","02304510",2016-06-28,28.5,"A",28.5,"A"
"22","USGS","02304510",2016-06-29,28.8,"A",28.7,"A"
"23","USGS","02304510",2016-06-30,29.6,"A",29.5,"A"
"24","USGS","02304510",2016-07-01,29.4,"A",29.3,"A"
"25","USGS","02304510",2016-07-02,29.2,"A",29,"A"
"26","USGS","02304510",2016-07-03,29.6,"A",29.5,"A"
"27","USGS","02304510",2016-07-04,29.8,"A",29.7,"A"
"28","USGS","02304510",2016-07-05,30.1,"A",30.1,"A"
"29","USGS","02304510",2016-07-06,30,"A",30,"A"
"30","USGS","02304510",2016-07-07,29.9,"A",29.9,"A"
"31","USGS","02304510",2016-07-08,30.1,"A",30,"A"
"32","USGS","02304510",2016-07-09,30.2,"A",30.2,"A"
"33","USGS","02304510",2016-07-10,30.9,"A",30.8,"A"
"34","USGS","02304510",2016-07-11,31.8,"A",31.8,"A"
"35","USGS","02304510",2016-07-12,31,"A",30.9,"A"
"36","USGS","02304510",2016-07-13,30.6,"A",30.5,"A"
"37","USGS","02304510",2016-07-14,30.7,"A",30.6,"A"
"38","USGS","02304510",2016-07-16,30.5,"A",30.5,"A"
"39","USGS","02304510",2016-07-17,30.6,"A",30.5,"A"
"40","USGS","02304510",2016-07-18,30.5,"A",30.4,"A"
"41","USGS","02304510",2016-07-19,30.1,"A",30,"A"
"42","USGS","02304510",2016-07-20,30,"A",29.9,"A"
"43","USGS","02304510",2016-07-21,30.6,"A",30.5,"A"
"44","USGS","02304510",2016-07-22,30.1,"A",30,"A"
"45","USGS","02304510",2016-07-23,30,"A",29.8,"A"
"46","USGS","02304510",2016-07-24,30,"A",29.9,"A"
"47","USGS","02304510",2016-07-25,29.8,"A",29.7,"A"
"48","USGS","02304510",2016-07-26,30.2,"A",30.2,"A"
"49","USGS","02304510",2016-07-27,30.7,"A",30.6,"A"
"50","USGS","02304510",2016-07-28,30.7,"A",30.6,"A"
"51","USGS","02304510",2016-07-29,30,"A",29.9,"A"
"52","USGS","02304510",2016-07-30,29.9,"A",29.9,"A"
"53","USGS","02304510",2016-07-31,30.4,"A",30.3,"A"
"54","USGS","02304510",2016-08-01,30.7,"A",30.6,"A"
"55","USGS","02304510",2016-08-02,30.6,"A",30.5,"A"
"56","USGS","02304510",2016-08-03,30.4,"A",30.3,"A"
"57","USGS","02304510",2016-08-04,30.1,"A",30,"A"
"58","USGS","02304510",2016-08-05,30.2,"A",30.1,"A"
"59","USGS","02304510",2016-08-06,29.8,"A",29.7,"A"
"60","USGS","02304510",2016-08-07,29.1,"A",29,"A"
"61","USGS","02304510",2016-08-08,28.3,"A",28.3,"A"
"62","USGS","02304510",2016-08-09,27.8,"A",27.7,"A"
"63","USGS","02304510",2016-08-10,27.7,"A",27.7,"A"
"64","USGS","02304510",2016-08-11,27.6,"A",27.6,"A"
"65","USGS","02304510",2016-08-12,28.3,"A",28.2,"A"
"66","USGS","02304510",2016-08-13,28.4,"A",28.4,"A"
"67","USGS","02304510",2016-08-14,28.4,"A",28.4,"A"
"68","USGS","02304510",2016-08-15,28.5,"A",28.4,"A"
"69","USGS","02304510",2016-08-16,28.6,"A",28.5,"A"
"70","USGS","02304510",2016-08-17,28.7,"A",28.6,"A"
"71","USGS","02304510",2016-08-18,28.7,"A",28.7,"A"
"72","USGS","02304510",2016-08-19,28.7,"A",28.6,"A"
"73","USGS","02304510",2016-08-20,28.6,"A",28.6,"A"
"74","USGS","02304510",2016-08-21,28.7,"A",28.7,"A"
"75","USGS","02304510",2016-08-22,29.1,"A",29.1,"A"
"76","USGS","02304510",2016-08-23,29.4,"A",29.3,"A"
"77","USGS","02304510",2016-08-24,29.3,"A",29.3,"A"
"78","USGS","02304510",2016-08-25,29.5,"A",29.4,"A"
"79","USGS","02304510",2016-08-26,29.4,"A",29.4,"A"
"80","USGS","02304510",2016-08-27,29.6,"A",29.6,"A"
"81","USGS","02304510",2016-08-28,29.7,"A",29.7,"A"
"82","USGS","02304510",2016-08-29,29.9,"A",29.8,"A"
"83","USGS","02304510",2016-08-30,29.7,"A",29.6,"A"
"84","USGS","02304510",2016-08-31,28.8,"A",28.8,"A"
"85","USGS","02304510",2016-09-01,27.5,"A",27.4,"A"
"86","USGS","02304510",2016-09-02,26.9,"A",26.8,"A"
"87","USGS","02304510",2016-09-03,26.8,"A",26.7,"A"
"88","USGS","02304510",2016-09-04,26.9,"A",26.9,"A"
"89","USGS","02304510",2016-09-05,27.3,"A",27.3,"A"
"90","USGS","02304510",2016-09-06,27.3,"A",27.3,"A"
"91","USGS","02304510",2016-09-07,27.3,"A",27.3,"A"
"92","USGS","02304510",2016-09-08,27.4,"A",27.4,"A"
"93","USGS","02304510",2016-09-09,27.5,"A",27.4,"A"
"94","USGS","02304510",2016-09-10,27.8,"A",27.8,"A"
"95","USGS","02304510",2016-09-11,28,"A",28,"A"
"96","USGS","02304510",2016-09-12,28.1,"A",28.1,"A"
"97","USGS","02304510",2016-09-13,27.9,"A",27.8,"A"
"98","USGS","02304510",2016-09-14,28.2,"A",28.2,"A"
"99","USGS","02304510",2016-09-15,28.4,"A",28.3,"A"
"100","USGS","02304510",2016-09-16,28.4,"A",28.4,"A"
"101","USGS","02304510",2016-09-17,28.4,"A",28.3,"A"
"102","USGS","02304510",2016-09-18,28.4,"A",28.4,"A"
"103","USGS","02304510",2016-09-19,28.5,"A",28.5,"A"
"104","USGS","02304510",2016-09-20,28.6,"A",28.6,"A"
"105","USGS","02304510",2016-09-21,28.6,"A",28.6,"A"
"106","USGS","02304510",2016-09-22,28.3,"A",28.3,"A"
"107","USGS","02304510",2016-09-23,27.9,"A",27.9,"A"
"108","USGS","02304510",2016-09-24,28,"A",27.9,"A"
"109","USGS","02304510",2016-09-25,27.8,"A",27.8,"A"
"110","USGS","02304510",2016-09-26,27.8,"A",27.8,"A"
"111","USGS","02304510",2016-09-27,27.5,"A",27.4,"A"
"112","USGS","02304510",2016-09-28,27.5,"A",27.4,"A"
"113","USGS","02304510",2016-09-29,27.1,"A",27.1,"A"
"114","USGS","02304510",2016-09-30,27.1,"A",27.1,"A"
"115","USGS","02304510",2016-10-01,27,"A",26.9,"A"
"116","USGS","02304510",2016-10-02,26.8,"A",26.7,"A"
"117","USGS","02304510",2016-10-03,26.1,"A",26.1,"A"
"118","USGS","02304510",2016-10-04,26.1,"A",26.1,"A"
"119","USGS","02304510",2016-10-05,26.4,"A",26.3,"A"
"120","USGS","02304510",2016-10-06,26.3,"A",26.2,"A"
"121","USGS","02304510",2016-10-07,25.8,"A",25.7,"A"
"122","USGS","02304510",2016-10-08,25.7,"A",25.7,"A"
"123","USGS","02304510",2016-10-09,26.3,"A",26.2,"A"
"124","USGS","02304510",2016-10-10,25.8,"A",25.8,"A"
"125","USGS","02304510",2016-10-11,25,"A",25,"A"
"126","USGS","02304510",2016-10-12,24.5,"A",24.5,"A"
"127","USGS","02304510",2016-10-13,24.5,"A",24.5,"A"
"128","USGS","02304510",2016-10-14,24.6,"A",24.5,"A"
"129","USGS","02304510",2016-10-15,24.8,"A",24.7,"A"
"130","USGS","02304510",2016-10-16,25,"A",25,"A"
"131","USGS","02304510",2016-10-17,25.3,"A",25.3,"A"
"132","USGS","02304510",2016-10-18,25.4,"A",25.4,"A"
"133","USGS","02304510",2016-10-19,25.5,"A",25.4,"A"
"134","USGS","02304510",2016-10-20,25.3,"A",25.2,"A"
"135","USGS","02304510",2016-10-21,25,"A",25,"A"
"136","USGS","02304510",2016-10-22,24.4,"A",24.4,"A"
"137","USGS","02304510",2016-10-23,23.8,"A",23.7,"A"
"138","USGS","02304510",2016-10-24,23.4,"A",23.3,"A"
"139","USGS","02304510",2016-10-25,23.2,"A",23.2,"A"
"140","USGS","02304510",2016-10-26,23.3,"A",23.3,"A"
"141","USGS","02304510",2016-10-27,23.3,"A",23.2,"A"
"142","USGS","02304510",2016-10-28,23.2,"A",23.2,"A"
"143","USGS","02304510",2016-10-29,23.2,"A",23.1,"A"
"144","USGS","02304510",2016-10-30,23.5,"A",23.4,"A"
"145","USGS","02304510",2016-10-31,23.8,"A",23.6,"A"
"146","USGS","02304510",2016-11-01,23.8,"A",23.6,"A"
"147","USGS","02304510",2016-11-02,24,"A",23.9,"A"
"148","USGS","02304510",2016-11-03,24.1,"A",23.9,"A"
"149","USGS","02304510",2016-11-04,24.1,"A",23.9,"A"
"150","USGS","02304510",2016-11-05,23.7,"A",23.5,"A"
"151","USGS","02304510",2016-11-06,23.6,"A",23.5,"A"
"152","USGS","02304510",2016-11-07,23.5,"A",23.4,"A"
"153","USGS","02304510",2016-11-08,23.1,"A",22.8,"A"
"154","USGS","02304510",2016-11-09,23.5,"A",23.4,"A"
"155","USGS","02304510",2016-11-10,23.4,"A",23.2,"A"
"156","USGS","02304510",2016-11-11,22.6,"A",22.5,"A"
"157","USGS","02304510",2016-11-12,22.2,"A",22.3,"A"
"158","USGS","02304510",2016-11-13,21.9,"A",22.3,"A"
"159","USGS","02304510",2016-11-14,22.4,"A",22.5,"A"
"160","USGS","02304510",2016-11-15,22,"A",22.3,"A"
"161","USGS","02304510",2016-11-16,21.5,"A",21.6,"A"
"162","USGS","02304510",2016-11-17,22.9,"A",22.8,"A"
"163","USGS","02304510",2016-11-18,23.4,"A",23.3,"A"
"164","USGS","02304510",2016-11-19,23.7,"A",23.5,"A"
"165","USGS","02304510",2016-11-20,23.1,"A",22.9,"A"
"166","USGS","02304510",2016-11-21,22.3,"A",22,"A"
"167","USGS","02304510",2016-11-22,22.4,"A",21.9,"A"
