"","agency_cd","site_no","Date","Wtemp","Wtemp_cd"
"1","USGS","02413300",2017-12-06,11.6,"A"
"2","USGS","02413300",2017-12-07,10,"A"
"3","USGS","02413300",2017-12-08,8,"A"
"4","USGS","02413300",2017-12-09,5.8,"A"
"5","USGS","02413300",2017-12-10,4.7,"A"
"6","USGS","02413300",2017-12-11,4.5,"A"
"7","USGS","02413300",2017-12-12,5,"A"
"8","USGS","02413300",2017-12-13,5.1,"A"
"9","USGS","02413300",2017-12-14,5.3,"A"
"10","USGS","02413300",2017-12-15,5.7,"A"
"11","USGS","02413300",2017-12-16,5.1,"A"
"12","USGS","02413300",2017-12-17,5.1,"A"
"13","USGS","02413300",2017-12-18,6.7,"A"
"14","USGS","02413300",2017-12-19,8.3,"A"
"15","USGS","02413300",2017-12-20,11.1,"A"
"16","USGS","02413300",2017-12-21,12,"A"
"17","USGS","02413300",2017-12-22,12,"A"
"18","USGS","02413300",2017-12-23,12.5,"A"
"19","USGS","02413300",2017-12-24,12,"A"
"20","USGS","02413300",2017-12-25,9.9,"A"
"21","USGS","02413300",2017-12-26,8.1,"A"
"22","USGS","02413300",2017-12-27,7.7,"A"
"23","USGS","02413300",2017-12-28,7.3,"A"
"24","USGS","02413300",2017-12-29,7.5,"A"
"25","USGS","02413300",2017-12-30,6.9,"A"
"26","USGS","02413300",2017-12-31,6.2,"A"
"27","USGS","02413300",2018-01-01,4.1,"A"
"28","USGS","02413300",2018-01-02,2.3,"A"
"29","USGS","02413300",2018-01-03,2.1,"A"
"30","USGS","02413300",2018-01-04,1.7,"A"
"31","USGS","02413300",2018-01-05,1.2,"A"
"32","USGS","02413300",2018-01-06,1.1,"A"
"33","USGS","02413300",2018-01-07,1.3,"A"
"34","USGS","02413300",2018-01-08,2.5,"A"
"35","USGS","02413300",2018-01-09,4.4,"A"
"36","USGS","02413300",2018-01-10,6.6,"A"
"37","USGS","02413300",2018-01-11,9,"A"
"38","USGS","02413300",2018-01-12,10.3,"A"
"39","USGS","02413300",2018-01-13,7.7,"A"
"40","USGS","02413300",2018-01-14,5.1,"A"
"41","USGS","02413300",2018-01-15,4.3,"A"
