"","agency_cd","site_no","Date","Wtemp","Wtemp_cd","YSI.EX02_Wtemp","YSI.EX02_Wtemp_cd"
"1","USGS","05418400",2012-05-25,19.6,"A",NA,NA
"2","USGS","05418400",2012-05-26,19.6,"A",NA,NA
"3","USGS","05418400",2012-05-27,22.3,"A",NA,NA
"4","USGS","05418400",2012-05-28,23.8,"A",NA,NA
"5","USGS","05418400",2012-05-29,22.3,"A",NA,NA
"6","USGS","05418400",2012-05-30,20.5,"A",NA,NA
"7","USGS","05418400",2012-05-31,17.2,"A",NA,NA
"8","USGS","05418400",2012-06-01,16.6,"A",NA,NA
"9","USGS","05418400",2012-06-02,17.8,"A",NA,NA
"10","USGS","05418400",2012-06-03,18.9,"A",NA,NA
"11","USGS","05418400",2012-06-04,21.2,"A",NA,NA
"12","USGS","05418400",2012-06-05,22.5,"A",NA,NA
"13","USGS","05418400",2012-06-06,22.2,"A",NA,NA
"14","USGS","05418400",2012-06-07,22.1,"A",NA,NA
"15","USGS","05418400",2012-06-08,22.8,"A",NA,NA
"16","USGS","05418400",2012-06-09,23.8,"A",NA,NA
"17","USGS","05418400",2012-06-10,24.4,"A",NA,NA
"18","USGS","05418400",2012-06-11,24.6,"A",NA,NA
"19","USGS","05418400",2012-06-12,22.7,"A",NA,NA
"20","USGS","05418400",2012-06-13,20.6,"A",NA,NA
"21","USGS","05418400",2012-06-14,21.1,"A",NA,NA
"22","USGS","05418400",2012-06-15,22.9,"A",NA,NA
"23","USGS","05418400",2012-06-16,24.4,"A",NA,NA
"24","USGS","05418400",2012-06-17,25.2,"A",NA,NA
"25","USGS","05418400",2012-06-18,26.2,"A",NA,NA
"26","USGS","05418400",2012-06-19,27.1,"A",NA,NA
"27","USGS","05418400",2012-06-20,27.3,"A",NA,NA
"28","USGS","05418400",2012-06-21,26.5,"A",NA,NA
"29","USGS","05418400",2012-06-22,24.7,"A",NA,NA
"30","USGS","05418400",2012-06-23,22.7,"A",NA,NA
"31","USGS","05418400",2012-06-24,23.1,"A",NA,NA
"32","USGS","05418400",2012-06-25,24.3,"A",NA,NA
"33","USGS","05418400",2012-06-26,23.2,"A",NA,NA
"34","USGS","05418400",2012-06-27,24.2,"A",NA,NA
"35","USGS","05418400",2012-06-28,26.9,"A",NA,NA
"36","USGS","05418400",2012-06-29,24.7,"A",NA,NA
"37","USGS","05418400",2012-07-03,28.9,"A",NA,NA
"38","USGS","05418400",2012-07-04,29.3,"A",NA,NA
"39","USGS","05418400",2012-07-05,29.2,"A",NA,NA
"40","USGS","05418400",2012-07-06,29.7,"A",NA,NA
"41","USGS","05418400",2012-07-07,29.7,"A",NA,NA
"42","USGS","05418400",2012-07-08,28.5,"A",NA,NA
"43","USGS","05418400",2012-07-09,27,"A",NA,NA
"44","USGS","05418400",2012-07-10,25.1,"A",NA,NA
"45","USGS","05418400",2012-07-11,24.4,"A",NA,NA
"46","USGS","05418400",2012-07-12,25.1,"A",NA,NA
"47","USGS","05418400",2012-07-13,24.3,"A",NA,NA
"48","USGS","05418400",2012-07-14,25.2,"A",NA,NA
"49","USGS","05418400",2012-07-15,26.1,"A",NA,NA
"50","USGS","05418400",2012-07-16,27.6,"A",NA,NA
"51","USGS","05418400",2012-07-17,28.5,"A",NA,NA
"52","USGS","05418400",2012-07-18,28.8,"A",NA,NA
"53","USGS","05418400",2012-07-19,26.9,"A",NA,NA
"54","USGS","05418400",2012-07-20,25.9,"A",NA,NA
"55","USGS","05418400",2012-07-21,24.9,"A",NA,NA
"56","USGS","05418400",2012-07-22,23.8,"A",NA,NA
"57","USGS","05418400",2012-07-23,25.4,"A",NA,NA
"58","USGS","05418400",2012-07-24,26.8,"A",NA,NA
"59","USGS","05418400",2012-07-25,27.2,"A",NA,NA
"60","USGS","05418400",2012-07-26,27.3,"A",NA,NA
"61","USGS","05418400",2012-07-27,25.7,"A",NA,NA
"62","USGS","05418400",2012-07-28,24.3,"A",NA,NA
"63","USGS","05418400",2012-07-29,22.6,"A",NA,NA
"64","USGS","05418400",2012-07-30,25,"A",NA,NA
"65","USGS","05418400",2012-07-31,26.9,"A",NA,NA
"66","USGS","05418400",2012-08-01,26.3,"A",NA,NA
"67","USGS","05418400",2012-08-02,26.5,"A",NA,NA
"68","USGS","05418400",2012-08-03,26.4,"A",NA,NA
"69","USGS","05418400",2012-08-04,24.9,"A",NA,NA
"70","USGS","05418400",2012-08-05,23.4,"A",NA,NA
"71","USGS","05418400",2012-08-06,23.3,"A",NA,NA
"72","USGS","05418400",2012-08-07,24.4,"A",NA,NA
"73","USGS","05418400",2012-08-08,22.6,"A",NA,NA
"74","USGS","05418400",2012-08-09,21.6,"A",NA,NA
"75","USGS","05418400",2012-08-10,21.6,"A",NA,NA
"76","USGS","05418400",2012-08-11,21.4,"A",NA,NA
"77","USGS","05418400",2012-08-12,19.3,"A",NA,NA
"78","USGS","05418400",2012-08-13,19.3,"A",NA,NA
"79","USGS","05418400",2012-08-14,20.8,"A",NA,NA
"80","USGS","05418400",2012-08-15,22.5,"A",NA,NA
"81","USGS","05418400",2012-08-16,21.8,"A",NA,NA
"82","USGS","05418400",2012-08-17,21,"A",NA,NA
"83","USGS","05418400",2012-08-18,20.5,"A",NA,NA
"84","USGS","05418400",2012-08-19,20.5,"A",NA,NA
"85","USGS","05418400",2012-08-20,20.6,"A",NA,NA
"86","USGS","05418400",2012-08-21,20.4,"A",NA,NA
"87","USGS","05418400",2012-08-22,20.7,"A",NA,NA
"88","USGS","05418400",2012-08-23,22.7,"A",NA,NA
"89","USGS","05418400",2012-08-24,23.4,"A",NA,NA
"90","USGS","05418400",2012-08-25,23,"A",NA,NA
"91","USGS","05418400",2012-08-26,22,"A",NA,NA
"92","USGS","05418400",2012-08-27,22.4,"A",NA,NA
"93","USGS","05418400",2012-08-28,23.4,"A",NA,NA
"94","USGS","05418400",2012-08-29,24,"A",NA,NA
"95","USGS","05418400",2012-08-30,24.3,"A",NA,NA
"96","USGS","05418400",2012-08-31,23.9,"A",NA,NA
"97","USGS","05418400",2012-09-01,22.9,"A",NA,NA
"98","USGS","05418400",2012-09-02,22.8,"A",NA,NA
"99","USGS","05418400",2012-09-03,24,"A",NA,NA
"100","USGS","05418400",2012-09-04,24.8,"A",NA,NA
"101","USGS","05418400",2012-09-05,23.4,"A",NA,NA
"102","USGS","05418400",2012-09-06,22.6,"A",NA,NA
"103","USGS","05418400",2012-09-07,20.3,"A",NA,NA
"104","USGS","05418400",2012-09-08,18.5,"A",NA,NA
"105","USGS","05418400",2012-09-09,18.4,"A",NA,NA
"106","USGS","05418400",2012-09-10,18.1,"A",NA,NA
"107","USGS","05418400",2012-09-11,18.8,"A",NA,NA
"108","USGS","05418400",2012-09-12,20.1,"A",NA,NA
"109","USGS","05418400",2012-09-13,16.7,"A",NA,NA
"110","USGS","05418400",2012-09-14,15.9,"A",NA,NA
"111","USGS","05418400",2012-09-15,16.6,"A",NA,NA
"112","USGS","05418400",2012-09-16,16.5,"A",NA,NA
"113","USGS","05418400",2012-09-17,16.2,"A",NA,NA
"114","USGS","05418400",2012-09-18,14.1,"A",NA,NA
"115","USGS","05418400",2012-09-19,14,"A",NA,NA
"116","USGS","05418400",2012-09-20,15,"A",NA,NA
"117","USGS","05418400",2012-09-21,13.1,"A",NA,NA
"118","USGS","05418400",2012-09-22,12.4,"A",NA,NA
"119","USGS","05418400",2012-09-23,11.6,"A",NA,NA
"120","USGS","05418400",2012-09-24,11.7,"A",NA,NA
"121","USGS","05418400",2012-09-25,13.9,"A",NA,NA
"122","USGS","05418400",2012-09-26,14.7,"A",NA,NA
"123","USGS","05418400",2012-09-27,13.8,"A",NA,NA
"124","USGS","05418400",2012-09-28,13.3,"A",NA,NA
"125","USGS","05418400",2012-09-29,13.9,"A",NA,NA
"126","USGS","05418400",2012-09-30,14.4,"A",NA,NA
"127","USGS","05418400",2012-10-01,13.9,"A",NA,NA
"128","USGS","05418400",2012-10-02,14.4,"A",NA,NA
"129","USGS","05418400",2012-10-03,14.6,"A",NA,NA
"130","USGS","05418400",2012-10-04,13.4,"A",NA,NA
"131","USGS","05418400",2012-10-05,9.9,"A",NA,NA
"132","USGS","05418400",2012-10-06,7.5,"A",NA,NA
"133","USGS","05418400",2012-10-07,8.7,"A",NA,NA
"134","USGS","05418400",2012-10-08,8.5,"A",NA,NA
"135","USGS","05418400",2012-10-09,10.2,"A",NA,NA
"136","USGS","05418400",2012-10-10,9.1,"A",NA,NA
"137","USGS","05418400",2012-10-11,9,"A",NA,NA
"138","USGS","05418400",2012-10-12,9.6,"A",NA,NA
"139","USGS","05418400",2012-10-13,10.4,"A",NA,NA
"140","USGS","05418400",2012-10-14,12.5,"A",NA,NA
"141","USGS","05418400",2012-10-15,11.2,"A",NA,NA
"142","USGS","05418400",2012-10-16,11.8,"A",NA,NA
"143","USGS","05418400",2012-10-17,12.2,"A",NA,NA
"144","USGS","05418400",2012-10-18,10.6,"A",NA,NA
"145","USGS","05418400",2012-10-19,10.3,"A",NA,NA
"146","USGS","05418400",2012-10-20,9.5,"A",NA,NA
"147","USGS","05418400",2012-10-21,10,"A",NA,NA
"148","USGS","05418400",2012-10-22,11.9,"A",NA,NA
"149","USGS","05418400",2012-10-23,15,"A",NA,NA
"150","USGS","05418400",2012-10-27,7.4,"A",NA,NA
"151","USGS","05418400",2012-10-28,6.4,"A",NA,NA
"152","USGS","05418400",2012-10-29,5.9,"A",NA,NA
"153","USGS","05418400",2012-10-30,5.8,"A",NA,NA
"154","USGS","05418400",2012-10-31,5.2,"A",NA,NA
"155","USGS","05418400",2012-11-01,5.8,"A",NA,NA
"156","USGS","05418400",2012-11-02,5.5,"A",NA,NA
"157","USGS","05418400",2012-11-03,6.5,"A",NA,NA
"158","USGS","05418400",2012-11-04,6.7,"A",NA,NA
"159","USGS","05418400",2012-11-05,7.4,"A",NA,NA
"160","USGS","05418400",2012-11-06,5.8,"A",NA,NA
"161","USGS","05418400",2012-11-07,6.6,"A",NA,NA
"162","USGS","05418400",2012-11-08,7.3,"A",NA,NA
"163","USGS","05418400",2012-11-09,7.6,"A",NA,NA
"164","USGS","05418400",2012-11-10,10.5,"A",NA,NA
"165","USGS","05418400",2012-11-11,11.1,"A",NA,NA
"166","USGS","05418400",2012-11-12,5.6,"A",NA,NA
"167","USGS","05418400",2012-11-13,3.6,"A",NA,NA
"168","USGS","05418400",2012-11-14,4.4,"A",NA,NA
"169","USGS","05418400",2012-11-15,4.7,"A",NA,NA
