"","agency_cd","site_no","Date","Wtemp","Wtemp_cd","Left.Bank_Wtemp","Left.Bank_Wtemp_cd"
"1","USGS","07060000",2012-06-01,10.7,"A",NA,NA
"2","USGS","07060000",2012-06-02,11.1,"A",NA,NA
"3","USGS","07060000",2012-06-03,10.8,"A",NA,NA
"4","USGS","07060000",2012-06-04,10.9,"A",NA,NA
"5","USGS","07060000",2012-06-05,11,"A",NA,NA
"6","USGS","07060000",2012-06-06,11,"A",NA,NA
"7","USGS","07060000",2012-06-07,10.7,"A",NA,NA
"8","USGS","07060000",2012-06-08,10.7,"A",NA,NA
"9","USGS","07060000",2012-06-09,10.8,"A",NA,NA
"10","USGS","07060000",2012-06-10,10.6,"A",NA,NA
"11","USGS","07060000",2012-06-11,10.8,"A",NA,NA
"12","USGS","07060000",2012-06-12,10.9,"A",NA,NA
"13","USGS","07060000",2012-06-13,10.8,"A",NA,NA
"14","USGS","07060000",2012-06-14,11,"A",NA,NA
"15","USGS","07060000",2012-06-15,11.3,"A",NA,NA
"16","USGS","07060000",2012-06-16,11.3,"A",NA,NA
"17","USGS","07060000",2012-06-17,11.1,"A",NA,NA
"18","USGS","07060000",2012-06-18,11.2,"A",NA,NA
"19","USGS","07060000",2012-06-19,11.2,"A",NA,NA
"20","USGS","07060000",2012-06-20,11.1,"A",NA,NA
"21","USGS","07060000",2012-06-21,11.1,"A",NA,NA
"22","USGS","07060000",2012-06-22,11.3,"A",NA,NA
"23","USGS","07060000",2012-06-23,10.9,"A",NA,NA
"24","USGS","07060000",2012-06-24,11.4,"A",NA,NA
"25","USGS","07060000",2012-06-25,11.2,"A",NA,NA
"26","USGS","07060000",2012-06-26,11.3,"A",NA,NA
"27","USGS","07060000",2012-06-27,10.9,"A",NA,NA
"28","USGS","07060000",2012-06-28,11,"A",NA,NA
"29","USGS","07060000",2012-06-29,11.3,"A",NA,NA
"30","USGS","07060000",2012-06-30,11.5,"A",NA,NA
"31","USGS","07060000",2012-07-01,11.4,"A",NA,NA
"32","USGS","07060000",2012-07-02,11.2,"A",NA,NA
"33","USGS","07060000",2012-07-03,11.2,"A",NA,NA
"34","USGS","07060000",2012-07-04,11.4,"A",NA,NA
"35","USGS","07060000",2012-07-05,11.4,"A",NA,NA
"36","USGS","07060000",2012-07-06,11.4,"A",NA,NA
"37","USGS","07060000",2012-07-07,11.3,"A",NA,NA
"38","USGS","07060000",2012-07-08,11.3,"A",NA,NA
"39","USGS","07060000",2012-07-09,11.8,"A",NA,NA
"40","USGS","07060000",2012-07-10,11.5,"A",NA,NA
"41","USGS","07060000",2012-07-11,11.7,"A",NA,NA
"42","USGS","07060000",2012-07-12,11.6,"A",NA,NA
"43","USGS","07060000",2012-07-13,11.2,"A",NA,NA
"44","USGS","07060000",2012-07-14,11.4,"A",NA,NA
"45","USGS","07060000",2012-07-15,11.9,"A",NA,NA
"46","USGS","07060000",2012-07-16,11.5,"A",NA,NA
"47","USGS","07060000",2012-07-17,11.7,"A",NA,NA
"48","USGS","07060000",2012-07-18,11.5,"A",NA,NA
"49","USGS","07060000",2012-07-19,11.5,"A",NA,NA
"50","USGS","07060000",2012-07-20,11.7,"A",NA,NA
"51","USGS","07060000",2012-07-21,11.4,"A",NA,NA
"52","USGS","07060000",2012-07-22,11.9,"A",NA,NA
"53","USGS","07060000",2012-07-23,11.7,"A",NA,NA
"54","USGS","07060000",2012-07-24,11.9,"A",NA,NA
"55","USGS","07060000",2012-07-25,12.3,"A",NA,NA
"56","USGS","07060000",2012-07-26,11.9,"A",NA,NA
"57","USGS","07060000",2012-07-27,11.7,"A",NA,NA
"58","USGS","07060000",2012-07-28,11.6,"A",NA,NA
"59","USGS","07060000",2012-07-29,11.6,"A",NA,NA
"60","USGS","07060000",2012-07-30,11.9,"A",NA,NA
"61","USGS","07060000",2012-07-31,11.9,"A",NA,NA
"62","USGS","07060000",2012-08-01,11.8,"A",NA,NA
"63","USGS","07060000",2012-08-02,11.9,"A",NA,NA
"64","USGS","07060000",2012-08-03,12.3,"A",NA,NA
"65","USGS","07060000",2012-08-04,12,"A",NA,NA
"66","USGS","07060000",2012-08-05,12.4,"A",NA,NA
"67","USGS","07060000",2012-08-06,12.2,"A",NA,NA
"68","USGS","07060000",2012-08-07,11.8,"A",NA,NA
"69","USGS","07060000",2012-08-08,11.8,"A",NA,NA
"70","USGS","07060000",2012-08-09,12,"A",NA,NA
"71","USGS","07060000",2012-08-10,12.6,"A",NA,NA
"72","USGS","07060000",2012-08-11,12,"A",NA,NA
"73","USGS","07060000",2012-08-12,11.8,"A",NA,NA
"74","USGS","07060000",2012-08-13,12.1,"A",NA,NA
"75","USGS","07060000",2012-08-14,12.6,"A",NA,NA
"76","USGS","07060000",2012-08-15,11.9,"A",NA,NA
"77","USGS","07060000",2012-08-16,12.2,"A",NA,NA
"78","USGS","07060000",2012-08-17,12.1,"A",NA,NA
"79","USGS","07060000",2012-08-18,12.1,"A",NA,NA
"80","USGS","07060000",2012-08-19,12.1,"A",NA,NA
"81","USGS","07060000",2012-08-20,12.1,"A",NA,NA
"82","USGS","07060000",2012-08-21,12.4,"A",NA,NA
"83","USGS","07060000",2012-08-22,12.1,"A",NA,NA
"84","USGS","07060000",2012-08-23,12.1,"A",NA,NA
"85","USGS","07060000",2012-08-24,12.3,"A",NA,NA
"86","USGS","07060000",2012-08-25,12.1,"A",NA,NA
"87","USGS","07060000",2012-08-26,12.3,"A",NA,NA
"88","USGS","07060000",2012-08-27,12.4,"A",NA,NA
"89","USGS","07060000",2012-08-28,12.3,"A",NA,NA
"90","USGS","07060000",2012-08-29,12,"A",NA,NA
"91","USGS","07060000",2012-08-30,12.4,"A",NA,NA
"92","USGS","07060000",2012-08-31,12.7,"A",NA,NA
"93","USGS","07060000",2012-09-01,12.6,"A",NA,NA
"94","USGS","07060000",2012-09-02,12.9,"A",NA,NA
"95","USGS","07060000",2012-09-03,12.4,"A",NA,NA
"96","USGS","07060000",2012-09-04,12.3,"A",NA,NA
"97","USGS","07060000",2012-09-05,12.3,"A",NA,NA
"98","USGS","07060000",2012-09-06,12.5,"A",NA,NA
"99","USGS","07060000",2012-09-07,12.6,"A",NA,NA
"100","USGS","07060000",2012-09-08,12.8,"A",NA,NA
"101","USGS","07060000",2012-09-09,12.3,"A",NA,NA
"102","USGS","07060000",2012-09-10,12.2,"A",NA,NA
"103","USGS","07060000",2012-09-11,12.2,"A",NA,NA
"104","USGS","07060000",2012-09-12,12.4,"A",NA,NA
"105","USGS","07060000",2012-09-13,12.5,"A",NA,NA
"106","USGS","07060000",2012-09-14,12.5,"A",NA,NA
"107","USGS","07060000",2012-09-15,12.2,"A",NA,NA
"108","USGS","07060000",2012-09-16,12.1,"A",NA,NA
"109","USGS","07060000",2012-09-17,12.3,"A",NA,NA
"110","USGS","07060000",2012-09-18,12.8,"A",NA,NA
"111","USGS","07060000",2012-09-19,12.6,"A",NA,NA
"112","USGS","07060000",2012-09-20,12.4,"A",NA,NA
"113","USGS","07060000",2012-09-21,12.7,"A",NA,NA
"114","USGS","07060000",2012-09-22,12.8,"A",NA,NA
"115","USGS","07060000",2012-09-23,12.8,"A",NA,NA
"116","USGS","07060000",2012-09-24,12.4,"A",NA,NA
"117","USGS","07060000",2012-09-25,12.6,"A",NA,NA
"118","USGS","07060000",2012-09-26,12.9,"A",NA,NA
"119","USGS","07060000",2012-09-27,12.8,"A",NA,NA
"120","USGS","07060000",2012-09-28,12.9,"A",NA,NA
"121","USGS","07060000",2012-09-29,12.8,"A",NA,NA
"122","USGS","07060000",2012-09-30,12.5,"A",NA,NA
"123","USGS","07060000",2012-10-01,12.9,"A",NA,NA
"124","USGS","07060000",2012-10-02,12.7,"A",NA,NA
"125","USGS","07060000",2012-10-03,12.5,"A",NA,NA
"126","USGS","07060000",2012-10-04,12.8,"A",NA,NA
"127","USGS","07060000",2012-10-05,12.8,"A",NA,NA
"128","USGS","07060000",2012-10-06,12.7,"A",NA,NA
"129","USGS","07060000",2012-10-07,12.9,"A",NA,NA
"130","USGS","07060000",2012-10-08,12.6,"A",NA,NA
"131","USGS","07060000",2012-10-09,12.7,"A",NA,NA
"132","USGS","07060000",2012-10-10,13,"A",NA,NA
"133","USGS","07060000",2012-10-11,12.8,"A",NA,NA
"134","USGS","07060000",2012-10-12,12.4,"A",NA,NA
"135","USGS","07060000",2012-10-13,13,"A",NA,NA
"136","USGS","07060000",2012-10-14,13.1,"A",NA,NA
"137","USGS","07060000",2012-10-15,13.1,"A",NA,NA
"138","USGS","07060000",2012-10-16,12.9,"A",NA,NA
"139","USGS","07060000",2012-10-17,12.5,"A",NA,NA
"140","USGS","07060000",2012-10-18,13.1,"A",NA,NA
"141","USGS","07060000",2012-10-19,12.8,"A",NA,NA
"142","USGS","07060000",2012-10-20,13.2,"A",NA,NA
"143","USGS","07060000",2012-10-21,13.1,"A",NA,NA
"144","USGS","07060000",2012-10-22,13.1,"A",NA,NA
"145","USGS","07060000",2012-10-23,13.3,"A",NA,NA
"146","USGS","07060000",2012-10-24,13.4,"A",NA,NA
"147","USGS","07060000",2012-10-25,13.3,"A",NA,NA
"148","USGS","07060000",2012-10-26,14.1,"A",NA,NA
"149","USGS","07060000",2012-10-27,14.2,"A",NA,NA
"150","USGS","07060000",2012-10-28,13.7,"A",NA,NA
"151","USGS","07060000",2012-10-29,13.6,"A",NA,NA
"152","USGS","07060000",2012-10-30,13.5,"A",NA,NA
"153","USGS","07060000",2012-10-31,13.8,"A",NA,NA
"154","USGS","07060000",2012-11-01,13.9,"A",NA,NA
"155","USGS","07060000",2012-11-02,13.8,"A",NA,NA
"156","USGS","07060000",2012-11-03,13.5,"A",NA,NA
"157","USGS","07060000",2012-11-04,13.7,"A",NA,NA
"158","USGS","07060000",2012-11-05,13.3,"A",NA,NA
"159","USGS","07060000",2012-11-06,13.4,"A",NA,NA
"160","USGS","07060000",2012-11-07,13.8,"A",NA,NA
"161","USGS","07060000",2012-11-08,13.8,"A",NA,NA
"162","USGS","07060000",2012-11-09,13.5,"A",NA,NA
"163","USGS","07060000",2012-11-10,13.5,"A",NA,NA
"164","USGS","07060000",2012-11-11,13.5,"A",NA,NA
"165","USGS","07060000",2012-11-14,13.7,"A",NA,NA
"166","USGS","07060000",2012-11-15,13.5,"A",NA,NA
"167","USGS","07060000",2012-11-16,13.9,"A",NA,NA
"168","USGS","07060000",2012-11-17,13.9,"A",NA,NA
"169","USGS","07060000",2012-11-18,13.8,"A",NA,NA
"170","USGS","07060000",2012-11-19,13.4,"A",NA,NA
"171","USGS","07060000",2012-11-20,13.8,"A",NA,NA
"172","USGS","07060000",2012-11-21,13.5,"A",NA,NA
"173","USGS","07060000",2012-11-22,13.2,"A",NA,NA
"174","USGS","07060000",2012-11-23,13.5,"A",NA,NA
"175","USGS","07060000",2012-11-24,13.1,"A",NA,NA
"176","USGS","07060000",2012-11-25,13.1,"A",NA,NA
"177","USGS","07060000",2012-11-26,13.2,"A",NA,NA
"178","USGS","07060000",2012-11-27,13.3,"A",NA,NA
