STAID_edt,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,locname,NOAA_ID,NEAR_Y,NEAR_X,NEAR_DIST,NIDID,LONGITUDE,LATITUDE,RIVER,DISTANCE,PRIVATE_DA,DAM_TYPE,CORE,FOUNDATION,PURPOSES,YEAR_COMPL,YEAR_MODIF,DAM_LENGTH,DAM_HEIGHT,STRUCTURAL,HYDRAULIC_,NID_HEIGHT,MAX_DISCHA,MAX_STORAG,NORMAL_STO,NID_STORAG,SURFACE_AR,DRAINAGE_A,HAZARD,EAP,VOLUME,Distance_1,PstSplnCnt,pstRcrdCnt,pstP90,pstP90Cnt,pstP50,pstP10,pstP10Cnt,pstTmax,pstTmin,pstTmean,pstTmaxT,pstTminT,pstCoolRt,pstWarmRt,pstCffcntV,pstP25cnt,pstP75cnt,NOAA_TmaxT,NOAA_TminT,Lag_TmaxT,Lag_TminT,NOAARcrdCn,NOAASplnCn,Ref,Clim_Reg
STAID01022500,573.6,44.607972,-67.935242,1022500,USC00174183,44.6453,-67.6494,22.9984255,ME00061,-67.938456,44.608176,NARRAGUAGUS,0,Y,ERRETC, , ,CO,1965, ,500,25,25,9,25,0,59940,9720,59940,900,232,H,Y,0,240.8758271,366,9,21.15490394,0.155737705,10.10664814,-0.941607659,0,23.93946375,0.003412922,10.10664814,199,6,-0.171366758,0.188206654,0.853002864,0.390710383,0.336065574,225,43,NA,NA,NA,365,1,Northeast
STAID01031500,769,45.175008,-69.314697,1031500,USC00172440,45.1369,-69.2806,5.010386861,ME00407,-69.35555556,45.1575,CARLTON STREAM,0,Y,CNPG, , ,COR,1878, ,119,10,10,6,10,0,2535,1365,2535,420,22,L,NR,0,3594.435824,366,5,20.75148449,0.161202186,9.392668763,-1.966146964,0,24.09158905,-0.070596057,9.392668763,196,0,-0.178040673,0.198189789,0.943643519,0.412568306,0.336065574,187,365,NA,NA,NA,366,1,Northeast
STAID01037380,39,44.329167,-69.060833,1037380,USC00170480,44.4394,-68.9892,13.51468661,ME00282,-69.049566,44.335863,KENDALL BROOK,0,Y,CNPG, , ,R,1900,1974,130,12,12,12,12,0,1970,1200,1970,367,0,L,NR,0,1125.00751,366,6,19.61474466,0.142076503,9.510039339,-0.594665977,0,22.06211117,-0.046573773,9.510039339,191,23,-0.147774305,0.178384885,0.829096828,0.390710383,0.327868852,213,23,NA,NA,NA,366,1,Northeast
STAID01038000,375.1,44.222778,-69.593758,1038000,USC00171823,44.1333,-69.5167,11.69422355,ME00260,-69.582999,44.22802,CLARY LAKE STREAM,0,Y,MSPGST, , ,HOP,1894,1995,120,10,10,8,10,0,11600,8650,11600,667,8,L,NR,0,995.509715,366,9,22.01585333,0.155737705,10.74790042,-0.520052489,0,24.81077674,0.261329399,10.74790042,198,20,-0.17400883,0.192295187,0.818060275,0.393442623,0.330601093,NA,NA,NA,NA,NA,NA,0,Northeast
STAID01072870,192,43.2348,-70.95645,1072870,USW00054791,43.2781,-70.9222,5.556516514,NH00571,-70.9669,43.2591,NA,0,N,RE,X,U,O,1980, ,4300,10,0,0,10,0,265,265,265,23,0,S,NR,0,2813.992452,366,4,20.9641657,0.147540984,10.17528064,-0.613604417,0,23.13357538,-0.009597613,10.17528064,185,46,-0.15348103,0.193274294,0.82735917,0.396174863,0.357923497,223,19,38,27,5,366,0,Northeast
STAID01091000,266.8,43.014805,-71.641461,1091000,USC00278972,43.0847,-71.7383,11.05993351,NH01103,-71.6463,43.0327,PISCATAQUOG RIVER,0,N,CN,X,U,C,0, ,90,10,0,0,10,0,153,87,153,33,47,L,NR,0,2021.276827,366,8,21.2203507,0.153005464,10.24258591,-0.735178883,0,23.3881286,0.028502714,10.24258591,198,44,-0.166749357,0.188841411,0.836311793,0.401639344,0.344262295,224,21,NA,NA,NA,366,1,Northeast
STAID01093852,263.7,42.84259,-71.70674,1093852,USC00275412,42.8394,-71.6486,4.753579043,NH00258,-71.7289,42.8389,SOUHEGAN RIVER,0,N,CNMSPG, , ,H,1925, ,200,27,0,0,27,3300,70,70,70,7,97,S,N,0,1750.605291,366,4,21.16146878,0.153005464,10.41206072,-0.337347332,0,23.4006935,-0.003189618,10.41206072,199,37,-0.168379502,0.179634715,0.805585743,0.407103825,0.322404372,215,22,16,15,8,366,0,Northeast
STAID01095375,115.2,42.37287,-71.828128,1095375,USC00196720,42.3778,-71.8508,1.941389889,MA00620,-71.839014,42.361386,CHAFFINS BROOK,0, ,RE,X,U,FR,1909, ,150,21,0,12,21,0,380,100,380,19,6,S,Y,0,1529.398352,366,19,20.87195764,0.153005464,10.77677639,0.681595137,0.027322404,22.3977037,0.587510855,10.77677639,199,22,-0.152604771,0.167741007,0.730952513,0.371584699,0.338797814,NA,NA,NA,NA,NA,365,0,Northeast
STAID01104430,17.5,42.398151,-71.27339,1104430,USC00196915,42.3667,-71.2667,3.540096694,MA00750,-71.27311836,42.39864441,HOBBS BROOK,0, ,RE,X,U,S,1897, ,1650,31,0,25,31,0,10380,7360,10380,450,7,H,Y,0,57.81638181,366,19,21.78420044,0.142076503,12.33586476,2.88752908,0,23.23689986,3.02365091,12.33586476,238,8,-0.189792223,0.121661968,0.597653723,0.37704918,0.352459016,NA,NA,NA,NA,NA,NA,0,Northeast
STAID01104460,57.1,42.368985,-71.270612,1104460,USC00196915,42.3667,-71.2667,0.40969196,MA00293,-71.26484168,42.35529683,STONY BROOK,0, ,RE,X,U,S,1887, ,1200,32,0,26,32,0,1810,1312,1810,72,24,H,Y,0,1585.628294,366,18,21.43880655,0.128415301,11.51923669,1.599666828,0.101092896,22.62146777,1.150250379,11.51923669,213,23,-0.16607885,0.142049268,0.671943958,0.357923497,0.352459016,NA,NA,NA,NA,NA,NA,0,Northeast
