"","x","Index","y","Index2","RcrdCnt"
"1",0,1,1.1435797946736,1,13
"2",1,2,1.03279804464331,2,13
"3",2,3,0.928426736354586,3,13
"4",3,4,0.837698451990949,4,13
"5",4,5,0.766542778214434,5,13
"6",5,6,0.715677319601212,6,13
"7",6,7,0.684516685205987,7,13
"8",7,8,0.671581344542413,8,13
"9",8,9,0.671815208959945,9,13
"10",9,10,0.679268050266987,10,13
"11",10,11,0.687989640271947,11,13
"12",11,12,0.692799020750029,12,13
"13",12,13,0.69159231334365,13,13
"14",13,14,0.683034909662026,14,13
"15",14,15,0.666304116092625,15,13
"16",15,16,0.642624898135926,16,13
"17",16,17,0.613734136070663,17,13
"18",17,18,0.581628375441803,18,13
"19",18,19,0.549342822859273,19,13
"20",19,20,0.520172350199235,20,13
"21",20,21,0.497411829337853,21,13
"22",21,22,0.483780584932503,22,13
"23",22,23,0.479695752765413,23,13
"24",23,24,0.484998921400026,24,13
"25",24,25,0.498972081335525,25,13
"26",25,26,0.51865883081407,26,13
"27",26,27,0.54054317001356,27,13
"28",27,28,0.561109099111898,28,13
"29",28,29,0.577803716433941,29,13
"30",29,30,0.591926512892379,30,13
"31",30,31,0.605740077546859,31,13
"32",31,32,0.620733586392436,32,13
"33",32,33,0.635302563165805,33,13
"34",33,34,0.647069118539065,34,13
"35",34,35,0.653999758875397,35,13
"36",35,36,0.655438573302296,36,13
"37",36,37,0.651074046638336,37,13
"38",37,38,0.640594663702092,38,13
"39",38,39,0.624699372020241,39,13
"40",39,40,0.608128969951879,40,13
"41",40,41,0.596634718564205,41,13
"42",41,42,0.594976343379669,42,13
"43",42,43,0.603947427741713,43,13
"44",43,44,0.623350019449032,44,13
"45",44,45,0.6529019791149,45,13
"46",45,46,0.691984418610916,46,13
"47",46,47,0.73989426262326,47,13
"48",47,48,0.795928435838113,48,13
"49",48,49,0.859553596828571,49,13
"50",49,50,0.930915339715399,50,13
"51",50,51,1.01032899250628,51,13
"52",51,52,1.0972823654718,52,13
"53",52,53,1.18795319793426,53,13
"54",53,54,1.27769171147884,54,13
"55",54,55,1.36184812769076,55,13
"56",55,56,1.43685929458174,56,13
"57",56,57,1.5035085658697,57,13
"58",57,58,1.56366592169907,58,13
"59",58,59,1.61860739537007,59,13
"60",59,60,1.66723323280602,60,13
"61",60,61,1.70784973308603,61,13
"62",61,62,1.74069710946204,62,13
"63",62,63,1.77375123187722,63,13
"64",63,64,1.81692188444762,64,13
"65",64,65,1.88011885128925,65,13
"66",65,66,1.96983412579395,66,13
"67",66,67,2.07888853845679,67,13
"68",67,68,2.19668512904868,68,13
"69",68,69,2.31555087539404,69,13
"70",69,70,2.43950850753143,70,13
"71",70,71,2.57550469355296,71,13
"72",71,72,2.72876864355327,72,13
"73",72,73,2.89765973563711,73,13
"74",73,74,3.07881988991177,74,13
"75",74,75,3.26889102648456,75,13
"76",75,76,3.46331638260453,76,13
"77",76,77,3.65274446408779,77,13
"78",77,78,3.82662509389222,78,13
"79",78,79,3.97723577602205,79,13
"80",79,80,4.10816473866694,80,13
"81",80,81,4.22582789106295,81,13
"82",81,82,4.33664114244609,82,13
"83",82,83,4.44611081187839,83,13
"84",83,84,4.55610485772574,84,13
"85",84,85,4.66758164818001,85,13
"86",85,86,4.78192432668989,86,13
"87",86,87,4.90221513773124,87,13
"88",87,88,5.03196110103672,88,13
"89",88,89,5.17387944801655,89,13
"90",89,90,5.32752825679115,90,13
"91",90,91,5.49167581715852,91,13
"92",91,92,5.66509041891664,92,13
"93",92,93,5.84781638539333,93,13
"94",93,94,6.04500217403568,94,13
"95",94,95,6.26307227582062,95,13
"96",95,96,6.50729027320692,96,13
"97",96,97,6.77827611458066,97,13
"98",97,98,7.07548883980978,98,13
"99",98,99,7.39838748876219,99,13
"100",99,100,7.74490319982585,100,13
"101",100,101,8.10685550546872,101,13
"102",101,102,8.47453603667877,102,13
"103",102,103,8.83880116788194,103,13
"104",103,104,9.19276624725585,104,13
"105",104,105,9.53011136641609,105,13
"106",105,106,9.84543268288482,106,13
"107",106,107,10.1369906178104,107,13
"108",107,108,10.403961658248,108,13
"109",108,109,10.6455222912524,109,13
"110",109,110,10.8620734530794,110,13
"111",110,111,11.0589138767871,111,13
"112",111,112,11.2425667446344,112,13
"113",112,113,11.4179144072524,113,13
"114",113,114,11.5832758887609,114,13
"115",114,115,11.7353293816522,115,13
"116",115,116,11.8728663675125,116,13
"117",116,117,12.003131484305,117,13
"118",117,118,12.1354826590869,118,13
"119",118,119,12.2792778189154,119,13
"120",119,120,12.4427203605824,120,13
"121",120,121,12.6293955598171,121,13
"122",121,122,12.8417341620837,122,13
"123",122,123,13.0792107923643,123,13
"124",123,124,13.3294755937142,124,13
"125",124,125,13.5772225887071,125,13
"126",125,126,13.8071457999166,126,13
"127",126,127,14.0058384732078,127,13
"128",127,128,14.1674907476113,128,13
"129",128,129,14.2881919854491,129,13
"130",129,130,14.3678914472003,130,13
"131",130,131,14.4219779859722,131,13
"132",131,132,14.4697003530291,132,13
"133",132,133,14.5275687464445,133,13
"134",133,134,14.6011391515276,134,13
"135",134,135,14.693229000397,135,13
"136",135,136,14.8066557251711,136,13
"137",136,137,14.9439691072516,137,13
"138",137,138,15.1066483251728,138,13
"139",138,139,15.2959049067526,139,13
"140",139,140,15.5139324042162,140,13
"141",140,141,15.7668524674187,141,13
"142",141,142,16.0617687706228,142,13
"143",142,143,16.4026359831894,143,13
"144",143,144,16.780812754872,144,13
"145",144,145,17.1845087305226,145,13
"146",145,146,17.6019335549931,146,13
"147",146,147,18.0181265184006,147,13
"148",147,148,18.4054454919232,148,13
"149",148,149,18.7330779920041,149,13
"150",149,150,18.9763395684871,150,13
"151",150,151,19.1350579048173,151,13
"152",151,152,19.2151887178405,152,13
