"","x","Index","y","Index2","RcrdCnt"
"1",0,1,-0.0793119451728039,1,6
"2",1,2,-0.0497974788753587,2,6
"3",2,3,-0.0202437480684099,3,6
"4",3,4,0.0093213470405848,4,6
"5",4,5,0.0385538478892597,5,6
"6",5,6,0.0658455624956156,6,6
"7",6,7,0.089272240522745,7,6
"8",7,8,0.107123520649649,8,6
"9",8,9,0.118544597618964,9,6
"10",9,10,0.122894555189234,10,6
"11",10,11,0.119532477119005,11,6
"12",11,12,0.108586891461764,12,6
"13",12,13,0.093264103450767,13,6
"14",13,14,0.0775398626142145,14,6
"15",14,15,0.0645327938857343,15,6
"16",15,16,0.0539330238206681,16,6
"17",16,17,0.0445735543797862,17,6
"18",17,18,0.0353617240325081,18,6
"19",18,19,0.0255022172828501,19,6
"20",19,20,0.0142740551434777,20,6
"21",20,21,0.000956258627056338,21,6
"22",21,22,-0.0147267402914243,22,6
"23",22,23,-0.0312688657876775,23,6
"24",23,24,-0.0467186310750922,24,6
"25",24,25,-0.0594076798353086,25,6
"26",25,26,-0.0688001776229733,26,6
"27",26,27,-0.0746434204609835,27,6
"28",27,28,-0.076684704372237,28,6
"29",28,29,-0.0747983587526787,29,6
"30",29,30,-0.0693668464904438,30,6
"31",30,31,-0.0608996638467149,31,6
"32",31,32,-0.0501473598519706,32,6
"33",32,33,-0.0388246946138742,33,6
"34",33,34,-0.028887481009385,34,6
"35",34,35,-0.0218106777187413,35,6
"36",35,36,-0.0171458266352958,36,6
"37",36,37,-0.0139636154556799,37,6
"38",37,38,-0.0113347318765251,38,6
"39",38,39,-0.00837972221966305,39,6
"40",39,40,-0.00441856730772614,40,6
"41",40,41,0.00117889341145302,41,6
"42",41,42,0.00874339403939682,42,6
"43",42,43,0.0174079628750472,43,6
"44",43,44,0.0260062017667011,44,6
"45",44,45,0.0334517750319927,45,6
"46",45,46,0.0389785968659058,46,6
"47",46,47,0.0419006439327617,47,6
"48",47,48,0.0415318928968815,48,6
"49",48,49,0.0373243983342522,49,6
"50",49,50,0.0292825264675236,50,6
"51",50,51,0.0175487214310118,51,6
"52",51,52,0.0026735543913808,52,6
"53",52,53,-0.0131598953553095,53,6
"54",53,54,-0.0273604214806511,54,6
"55",54,55,-0.0373368176562358,55,6
"56",55,56,-0.0408818964027632,56,6
"57",56,57,-0.0373245456373643,57,6
"58",57,58,-0.0263776721262779,58,6
"59",58,59,-0.00776891639823668,59,6
"60",59,60,0.0187151459680514,60,6
"61",60,61,0.053273205631385,61,6
