"","id","date","tmax"
"1","USC00419076",1978-02-01,NA
"2","USC00419076",1978-02-02,NA
"3","USC00419076",1978-02-03,NA
"4","USC00419076",1978-02-04,NA
"5","USC00419076",1978-02-05,NA
"6","USC00419076",1978-02-06,NA
"7","USC00419076",1978-02-07,NA
"8","USC00419076",1978-02-08,-8.3
"9","USC00419076",1978-02-09,NA
"10","USC00419076",1978-02-10,NA
"11","USC00419076",1978-02-11,NA
"12","USC00419076",1978-02-12,NA
"13","USC00419076",1978-02-13,NA
"14","USC00419076",1978-02-14,NA
"15","USC00419076",1978-02-15,NA
"16","USC00419076",1978-02-16,NA
"17","USC00419076",1978-02-17,NA
"18","USC00419076",1978-02-18,NA
"19","USC00419076",1978-02-19,NA
"20","USC00419076",1978-02-20,NA
"21","USC00419076",1978-02-21,NA
"22","USC00419076",1978-02-22,NA
"23","USC00419076",1978-02-23,NA
"24","USC00419076",1978-02-24,NA
"25","USC00419076",1978-02-25,NA
"26","USC00419076",1978-02-26,NA
"27","USC00419076",1978-02-27,NA
"28","USC00419076",1978-02-28,NA
