"","id","date","tavg","tmax","tmin"
"1","USR0000INFK",1999-05-01,12.7,20,5.6
"2","USR0000INFK",1999-05-02,9.6,14.4,5.6
"3","USR0000INFK",1999-05-03,7.4,13.3,3.9
"4","USR0000INFK",1999-05-04,5.6,10,1.1
"5","USR0000INFK",1999-05-05,6.2,13.9,-1.1
"6","USR0000INFK",1999-05-06,10.3,23.9,-2.8
"7","USR0000INFK",1999-05-07,11.5,19.4,5
"8","USR0000INFK",1999-05-08,7.3,17.2,-2.2
"9","USR0000INFK",1999-05-09,4.9,8.9,1.7
"10","USR0000INFK",1999-05-10,5.3,12.2,-1.1
"11","USR0000INFK",1999-05-11,9.6,19.4,-3.3
"12","USR0000INFK",1999-05-12,10.3,17.8,3.3
"13","USR0000INFK",1999-05-13,8.7,14.4,3.3
"14","USR0000INFK",1999-05-14,6.5,12.8,-1.1
"15","USR0000INFK",1999-05-15,7.8,12.2,3.9
"16","USR0000INFK",1999-05-16,9.4,19.4,2.8
"17","USR0000INFK",1999-05-17,9.7,18.3,0.6
"18","USR0000INFK",1999-05-18,12.1,19.4,7.2
"19","USR0000INFK",1999-05-19,15,25,5.6
"20","USR0000INFK",1999-05-20,14.2,23.9,3.9
"21","USR0000INFK",1999-05-21,16.3,25,8.3
"22","USR0000INFK",1999-05-22,15.7,26.7,5
"23","USR0000INFK",1999-05-23,18.2,34.4,3.9
"24","USR0000INFK",1999-05-24,11.6,24.4,6.7
"25","USR0000INFK",1999-05-25,NA,NA,NA
"26","USR0000INFK",1999-05-26,NA,NA,NA
"27","USR0000INFK",1999-05-27,NA,NA,NA
"28","USR0000INFK",1999-05-28,26.7,26.7,26.7
"29","USR0000INFK",1999-05-29,NA,NA,NA
"30","USR0000INFK",1999-05-30,NA,NA,NA
"31","USR0000INFK",1999-05-31,NA,NA,NA
"32","USR0000INFK",2000-04-01,NA,NA,NA
"33","USR0000INFK",2000-04-02,NA,NA,NA
"34","USR0000INFK",2000-04-03,NA,NA,NA
"35","USR0000INFK",2000-04-04,NA,NA,NA
"36","USR0000INFK",2000-04-05,NA,NA,NA
"37","USR0000INFK",2000-04-06,NA,NA,NA
"38","USR0000INFK",2000-04-07,NA,NA,NA
"39","USR0000INFK",2000-04-08,NA,NA,NA
"40","USR0000INFK",2000-04-09,NA,NA,NA
"41","USR0000INFK",2000-04-10,NA,NA,NA
"42","USR0000INFK",2000-04-11,NA,NA,NA
"43","USR0000INFK",2000-04-12,NA,NA,NA
"44","USR0000INFK",2000-04-13,NA,NA,NA
"45","USR0000INFK",2000-04-14,NA,NA,NA
"46","USR0000INFK",2000-04-15,NA,NA,NA
"47","USR0000INFK",2000-04-16,NA,NA,NA
"48","USR0000INFK",2000-04-17,NA,NA,NA
"49","USR0000INFK",2000-04-18,NA,NA,NA
"50","USR0000INFK",2000-04-19,NA,NA,NA
"51","USR0000INFK",2000-04-20,NA,NA,NA
"52","USR0000INFK",2000-04-21,NA,NA,NA
"53","USR0000INFK",2000-04-22,NA,NA,NA
"54","USR0000INFK",2000-04-23,NA,NA,NA
"55","USR0000INFK",2000-04-24,NA,NA,NA
"56","USR0000INFK",2000-04-25,NA,NA,NA
"57","USR0000INFK",2000-04-26,NA,NA,NA
"58","USR0000INFK",2000-04-27,NA,NA,NA
"59","USR0000INFK",2000-04-28,9.3,14.4,2.8
"60","USR0000INFK",2000-04-29,5.2,13.3,-0.6
"61","USR0000INFK",2000-04-30,7.7,18.3,-2.8
"62","USR0000INFK",2000-05-01,11.2,21.7,0
"63","USR0000INFK",2000-05-02,10.4,18.9,2.8
"64","USR0000INFK",2000-05-03,11.4,20.6,0
"65","USR0000INFK",2000-05-04,9.2,15,5
"66","USR0000INFK",2000-05-05,5.6,10.6,0
"67","USR0000INFK",2000-05-06,3.7,8.3,0
"68","USR0000INFK",2000-05-07,3.3,10.6,0
"69","USR0000INFK",2000-05-08,4.7,11.1,0
"70","USR0000INFK",2000-05-09,3.6,10,-0.6
"71","USR0000INFK",2000-05-10,1,7.8,-2.8
"72","USR0000INFK",2000-05-11,0.2,6.7,-6.7
"73","USR0000INFK",2000-05-12,2.7,9.4,-5
"74","USR0000INFK",2000-05-13,6.4,13.9,-2.8
"75","USR0000INFK",2000-05-14,9.7,17.8,1.1
"76","USR0000INFK",2000-05-15,10.9,18.9,2.8
"77","USR0000INFK",2000-05-16,10.2,18.3,1.7
"78","USR0000INFK",2000-05-17,8.4,15.6,1.7
"79","USR0000INFK",2000-05-18,9.6,18.3,1.7
"80","USR0000INFK",2000-05-19,10.3,18.9,0.6
"81","USR0000INFK",2000-05-20,11.4,21.1,0.6
"82","USR0000INFK",2000-05-21,14.6,25,3.9
"83","USR0000INFK",2000-05-22,13.7,23.9,5
"84","USR0000INFK",2000-05-23,14.3,22.2,5.6
"85","USR0000INFK",2000-05-24,12.5,22.8,2.2
"86","USR0000INFK",2000-05-25,11.1,18.3,3.9
"87","USR0000INFK",2000-05-26,10.3,18.3,0.6
"88","USR0000INFK",2000-05-27,10.6,21.7,1.7
"89","USR0000INFK",2000-05-28,12.4,20,5
"90","USR0000INFK",2000-05-29,9.9,18.3,1.1
"91","USR0000INFK",2000-05-30,8.9,18.3,-1.7
"92","USR0000INFK",2000-05-31,5.4,13.9,-4.4
"93","USR0000INFK",2000-06-01,8.3,18.9,-3.9
"94","USR0000INFK",2000-06-02,13.6,26.1,0
"95","USR0000INFK",2000-06-03,14.6,26.1,2.8
"96","USR0000INFK",2000-06-04,16.1,27.8,3.9
"97","USR0000INFK",2000-06-05,16.7,26.1,5.6
"98","USR0000INFK",2000-06-06,15.3,25,3.9
"99","USR0000INFK",2000-06-07,16.6,27.2,4.4
"100","USR0000INFK",2000-06-08,13.5,21.7,3.3
"101","USR0000INFK",2000-06-09,9.2,17.8,0
"102","USR0000INFK",2000-06-10,9.4,17.2,0
"103","USR0000INFK",2000-06-11,11.1,19.4,0.6
"104","USR0000INFK",2000-06-12,9.7,15,6.1
"105","USR0000INFK",2000-06-13,12.9,23.3,1.7
"106","USR0000INFK",2000-06-14,16.9,25.6,4.4
"107","USR0000INFK",2000-06-15,16.3,21.7,4.4
"108","USR0000INFK",2000-06-16,9.8,20.6,0
"109","USR0000INFK",2000-06-17,11.4,21.1,0
"110","USR0000INFK",2000-06-18,15.2,25.6,1.7
"111","USR0000INFK",2000-06-19,12.6,20,3.9
"112","USR0000INFK",2000-06-20,11.6,22.8,-0.6
