"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,2.85654347090447,1,19
"2",1,2,2.75454376769158,2,19
"3",2,3,2.65199028192532,3,19
"4",3,4,2.54373769269695,4,19
"5",4,5,2.42887162983981,5,19
"6",5,6,2.32340152615557,6,19
"7",6,7,2.24756776518796,7,19
"8",7,8,2.21570482777874,8,19
"9",8,9,2.21852358396162,9,19
"10",9,10,2.24082900106836,10,19
"11",10,11,2.26742604643068,11,19
"12",11,12,2.28238491350924,12,19
"13",12,13,2.26683670028035,13,19
"14",13,14,2.20117773084924,14,19
"15",14,15,2.07415443394433,15,19
"16",15,16,1.90791365678689,16,19
"17",16,17,1.73295235122134,17,19
"18",17,18,1.57523292226039,18,19
"19",18,19,1.44257958758979,19,19
"20",19,20,1.33828201806353,20,19
"21",20,21,1.26562988453562,21,19
"22",21,22,1.22750824740624,22,19
"23",22,23,1.22518372526035,23,19
"24",23,24,1.25951832622912,24,19
"25",24,25,1.32971872809912,25,19
"26",25,26,1.42837028727867,26,19
"27",26,27,1.54640302983146,27,19
"28",27,28,1.67474698182125,28,19
"29",28,29,1.80448531625737,29,19
"30",29,30,1.92731379393171,30,19
"31",30,31,2.03508132258179,31,19
"32",31,32,2.12216417853477,32,19
"33",32,33,2.19304811247637,33,19
"34",33,34,2.25474624368192,34,19
"35",34,35,2.3133399447931,35,19
"36",35,36,2.37118360191673,36,19
"37",36,37,2.42969985452596,37,19
"38",37,38,2.49031134209392,38,19
"39",38,39,2.55346852345716,39,19
"40",39,40,2.61573313490573,40,19
"41",40,41,2.6726947320931,41,19
"42",41,42,2.72228735860725,42,19
"43",42,43,2.77182300977425,43,19
"44",43,44,2.83095816885469,44,19
"45",44,45,2.90910930946957,45,19
"46",45,46,3.01473286668155,46,19
"47",46,47,3.15604526591371,47,19
"48",47,48,3.34126293258911,48,19
"49",48,49,3.57249642710873,49,19
"50",49,50,3.82743284978505,50,19
"51",50,51,4.07765343590846,51,19
"52",51,52,4.29778975582031,52,19
"53",52,53,4.47467472006578,53,19
"54",53,54,4.59819157424101,54,19
"55",54,55,4.65822356394213,55,19
"56",55,56,4.65277523339269,56,19
"57",56,57,4.61233632132588,57,19
"58",57,58,4.57551786510229,58,19
"59",58,59,4.57493702829652,59,19
"60",59,60,4.61923547933924,60,19
"61",60,61,4.71106101287513,61,19
"62",61,62,4.85338778811986,62,19
"63",62,63,5.0504954225731,63,19
"64",63,64,5.30698989830554,64,19
"65",64,65,5.62747719738785,65,19
"66",65,66,6.01072713824038,66,19
"67",66,67,6.43216488468212,67,19
"68",67,68,6.86137943688172,68,19
"69",68,69,7.26923739577126,69,19
"70",69,70,7.63171576533642,70,19
"71",70,71,7.92606915032632,71,19
"72",71,72,8.13579965508334,72,19
"73",72,73,8.26939938232308,73,19
"74",73,74,8.3416079343544,74,19
"75",74,75,8.36716491348617,75,19
"76",75,76,8.36130402313138,76,19
