"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,2.74453831501106,1,19
"2",1,2,2.95228403154723,2,19
"3",2,3,3.15614624529512,3,19
"4",3,4,3.3434433293752,4,19
"5",4,5,3.5076474637571,5,19
"6",5,6,3.66684605580709,6,19
"7",6,7,3.8452803197406,7,19
"8",7,8,4.05297455861127,8,19
"9",8,9,4.24308543082565,9,19
"10",9,10,4.35455268362848,10,19
"11",10,11,4.32631606426453,11,19
"12",11,12,4.1235454980344,12,19
"13",12,13,3.81633162246208,13,19
"14",13,14,3.50099525312742,14,19
"15",14,15,3.26009006872342,15,19
"16",15,16,3.12110120039564,16,19
"17",16,17,3.0977466424028,17,19
"18",17,18,3.19387187687355,18,19
"19",18,19,3.3738323374163,19,19
"20",19,20,3.59211094550939,20,19
"21",20,21,3.80319062263119,21,19
"22",21,22,3.97819629233428,22,19
"23",22,23,4.15482088646818,23,19
"24",23,24,4.38739933895665,24,19
"25",24,25,4.70645493164869,25,19
"26",25,26,5.04726433809427,26,19
"27",26,27,5.32129257976863,27,19
"28",27,28,5.440004678147,28,19
"29",28,29,5.34227127577201,29,19
"30",29,30,5.07658549945596,30,19
"31",30,31,4.71884609707856,31,19
"32",31,32,4.34356613825158,32,19
"33",32,33,4.01971597951505,33,19
"34",33,34,3.81488029914105,34,19
"35",34,35,3.77315734696946,35,19
"36",35,36,3.84469965911125,36,19
"37",36,37,3.95617334324521,37,19
"38",37,38,4.0342445070501,38,19
"39",38,39,4.03092588267801,39,19
"40",39,40,3.9996167001743,40,19
"41",40,41,4.01906281405764,41,19
"42",41,42,4.1533950396685,42,19
"43",42,43,4.40828403563454,43,19
"44",43,44,4.77478542140521,44,19
"45",44,45,5.23562428760781,45,19
"46",45,46,5.74020360958101,46,19
"47",46,47,6.22959583384134,47,19
"48",47,48,6.64487340690531,48,19
"49",48,49,6.93268933734503,49,19
"50",49,50,7.06201888195499,50,19
"51",50,51,7.00741785958523,51,19
"52",51,52,6.76540372298202,52,19
"53",52,53,6.42034046047647,53,19
"54",53,54,6.07855369429587,54,19
"55",54,55,5.84636904666751,55,19
"56",55,56,5.80172211026301,56,19
"57",56,57,5.90898835953111,57,19
"58",57,58,6.10415323936486,58,19
"59",58,59,6.33888715081842,59,19
"60",59,60,6.62760031959045,60,19
"61",60,61,7.00038792754074,61,19
"62",61,62,7.47576643495141,62,19
"63",62,63,8.02593741579396,63,19
"64",63,64,8.61152372246227,64,19
"65",64,65,9.19314820735018,65,19
"66",65,66,9.73437360309958,66,19
"67",66,67,10.2105221633445,67,19
"68",67,68,10.5998560219669,68,19
"69",68,69,10.8907546571988,69,19
"70",69,70,11.112066924672,70,19
"71",70,71,11.3027590243683,71,19
"72",71,72,11.489919981908,72,19
"73",72,73,11.653130125466,73,19
"74",73,74,11.7600926088557,74,19
"75",74,75,11.7785105858904,75,19
"76",75,76,11.6915171015438,76,19
"77",76,77,11.5439647654309,77,19
"78",77,78,11.3961360783265,78,19
"79",78,79,11.2959451949804,79,19
"80",79,80,11.2418328860395,80,19
"81",80,81,11.2198715761256,81,19
"82",81,82,11.2161336898601,82,19
"83",82,83,11.2279084242358,83,19
"84",83,84,11.2973520657295,84,19
"85",84,85,11.4778376731891,85,19
"86",85,86,11.804115133372,86,19
"87",86,87,12.2364416446733,87,19
"88",87,88,12.7164512333977,88,19
"89",88,89,13.1885460482787,89,19
"90",89,90,13.6082007277655,90,19
"91",90,91,13.9336580327359,91,19
"92",91,92,14.1231607240679,92,19
"93",92,93,14.1600670414908,93,19
"94",93,94,14.1281971401388,94,19
"95",94,95,14.1364866539976,95,19
"96",95,96,14.2673691142489,96,19
"97",96,97,14.4972696408579,97,19
"98",97,98,14.7761112509861,98,19
"99",98,99,15.0538169617947,99,19
"100",99,100,15.291645615864,100,19
"101",100,101,15.4961993574494,101,19
"102",101,102,15.6854161562254,102,19
"103",102,103,15.875907746568,103,19
"104",103,104,16.0789809216603,104,19
"105",104,105,16.3046162393871,105,19
"106",105,106,16.5546947412605,106,19
"107",106,107,16.7986994033005,107,19
"108",107,108,16.9980136851544,108,19
"109",108,109,17.1140210464695,109,19
"110",109,110,17.1218084689528,110,19
"111",110,111,17.0512770225502,111,19
"112",111,112,16.9460312992674,112,19
"113",112,113,16.8460942386206,113,19
"114",113,114,16.7771621701685,114,19
"115",114,115,16.7613497709803,115,19
"116",115,116,16.8103604356953,116,19
"117",116,117,16.8942524292327,117,19
"118",117,118,16.9726727340817,118,19
"119",118,119,17.0052683327315,119,19
"120",119,120,16.9779200645145,120,19
"121",120,121,16.9814441961358,121,19
"122",121,122,17.1328908511436,122,19
"123",122,123,17.5138606348713,123,19
"124",123,124,18.0641560797933,124,19
"125",124,125,18.6881302001691,125,19
"126",125,126,19.2901360102585,126,19
"127",126,127,19.782867560666,127,19
"128",127,128,20.1123830473768,128,19
"129",128,129,20.2330817027214,129,19
"130",129,130,20.1218759750337,130,19
"131",130,131,19.8457311766625,131,19
"132",131,132,19.4941258359604,132,19
"133",132,133,19.1476038625219,133,19
"134",133,134,18.8509706909088,134,19
"135",134,135,18.6400971369252,135,19
"136",135,136,18.550854016375,136,19
"137",136,137,18.6104122919386,137,19
"138",137,138,18.811143513803,138,19
"139",138,139,19.1367193790318,139,19
"140",139,140,19.5689012040499,140,19
"141",140,141,20.081808782727,141,19
"142",141,142,20.6476515282944,142,19
"143",142,143,21.2367486239246,143,19
"144",143,144,21.8118583325563,144,19
"145",144,145,22.3338486870695,145,19
"146",145,146,22.7635877203445,146,19
"147",146,147,23.0694556339055,147,19
"148",147,148,23.249881303854,148,19
"149",148,149,23.3108057749356,149,19
"150",149,150,23.2654656217518,150,19
"151",150,151,23.1562795383277,151,19
"152",151,152,23.0329617485443,152,19
"153",152,153,22.9452264762824,153,19
"154",153,154,22.9336374005882,154,19
"155",154,155,23.0021560211685,155,19
"156",155,156,23.1455932928953,156,19
"157",156,157,23.3569085159208,157,19
"158",157,158,23.6216543715168,158,19
"159",158,159,23.9235318862353,159,19
"160",159,160,24.2442302961484,160,19
"161",160,161,24.5573916754095,161,19
"162",161,162,24.8346463076924,162,19
"163",162,163,25.0476244766708,163,19
"164",163,164,25.1770853985287,164,19
"165",164,165,25.2403040194917,165,19
"166",165,166,25.2636842182959,166,19
"167",166,167,25.2719696837203,167,19
"168",167,168,25.2832633447165,168,19
"169",168,169,25.314007940279,169,19
"170",169,170,25.3757891564606,170,19
"171",170,171,25.4607644675462,171,19
"172",171,172,25.5562342948793,172,19
"173",172,173,25.649499059803,173,19
"174",173,174,25.7273594441142,174,19
"175",174,175,25.7746171714247,175,19
"176",175,176,25.7755742258,176,19
"177",176,177,25.7216811036349,177,19
"178",177,178,25.6329823506421,178,19
"179",178,179,25.5366710248635,179,19
"180",179,180,25.459940184341,180,19
"181",180,181,25.4263246558117,181,19
"182",181,182,25.4447263407926,182,19
"183",182,183,25.5203889094958,183,19
"184",183,184,25.652938032926,184,19
"185",184,185,25.8195273852584,185,19
"186",185,186,25.9916926414609,186,19
"187",186,187,26.1452122258897,187,19
"188",187,188,26.2728355604551,188,19
"189",188,189,26.3715548164558,189,19
"190",189,190,26.4383621651904,190,19
"191",190,191,26.4725665426794,191,19
"192",191,192,26.4827439438301,192,19
"193",192,193,26.4797871282715,193,19
"194",193,194,26.4753937866417,194,19
"195",194,195,26.4844813336142,195,19
"196",195,196,26.5227721148714,196,19
"197",196,197,26.6059884760958,197,19
"198",197,198,26.7424204869731,198,19
"199",198,199,26.9106291132018,199,19
"200",199,200,27.0817430444834,200,19
"201",200,201,27.2289342389529,201,19
"202",201,202,27.3335477284774,202,19
"203",202,203,27.3789718133571,203,19
"204",203,204,27.3545724101039,204,19
"205",204,205,27.2736259000753,205,19
"206",205,206,27.1553862808405,206,19
"207",206,207,27.0191075499688,207,19
"208",207,208,26.8872409376428,208,19
"209",208,209,26.7950266044997,209,19
"210",209,210,26.7809019437903,210,19
"211",210,211,26.8708985585224,211,19
"212",211,212,27.0414248907314,212,19
"213",212,213,27.2564835922098,213,19
"214",213,214,27.4797274186049,214,19
"215",214,215,27.6734095409828,215,19
"216",215,216,27.7994332342641,216,19
"217",216,217,27.8197017733697,217,19
"218",217,218,27.7070586313613,218,19
"219",218,219,27.4781080738646,219,19
"220",219,220,27.1603945646461,220,19
"221",220,221,26.7833444034296,221,19
"222",221,222,26.3839112337671,222,19
"223",222,223,26.0009305351677,223,19
"224",223,224,25.6732377871407,224,19
"225",224,225,25.4362376640234,225,19
"226",225,226,25.3116116194663,226,19
"227",226,227,25.3176103019481,227,19
"228",227,228,25.4567520197149,228,19
"229",228,229,25.6686257200819,229,19
"230",229,230,25.8770880101316,230,19
"231",230,231,26.0212941211621,231,19
"232",231,232,26.1015937813342,232,19
"233",232,233,26.1336353430239,233,19
"234",233,234,26.1330671586076,234,19
"235",234,235,26.1127885459562,235,19
"236",235,236,26.0747026849195,236,19
"237",236,237,26.0179637208419,237,19
"238",237,238,25.9400086724806,238,19
"239",238,239,25.8314060522438,239,19
"240",239,240,25.6810072459524,240,19
"241",240,241,25.4825597941103,241,19
"242",241,242,25.2493958559537,242,19
"243",242,243,24.9997437454013,243,19
"244",243,244,24.7518317763724,244,19
"245",244,245,24.5214654108948,245,19
"246",245,246,24.3147587034318,246,19
"247",246,247,24.1354028565556,247,19
"248",247,248,23.9811995133637,248,19
"249",248,249,23.8263920790538,249,19
"250",249,250,23.6393343993486,250,19
"251",250,251,23.3883803199709,251,19
"252",251,252,23.0559915353915,252,19
"253",252,253,22.681061135073,253,19
"254",253,254,22.3165900572258,254,19
"255",254,255,22.01037677073,255,19
"256",255,256,21.7894098671433,256,19
"257",256,257,21.675475468693,257,19
"258",257,258,21.6774542030367,258,19
"259",258,259,21.7526047195538,259,19
"260",259,260,21.845280173054,260,19
"261",260,261,21.899833718347,261,19
"262",261,262,21.8715448547993,262,19
"263",262,263,21.7593984600047,263,19
"264",263,264,21.5733057561136,264,19
"265",264,265,21.3250754565042,265,19
"266",265,266,21.0341062394647,266,19
"267",266,267,20.7216942745111,267,19
"268",267,268,20.4079995677691,268,19
"269",268,269,20.1086374718034,269,19
"270",269,270,19.8380871757883,270,19
"271",270,271,19.6108278688983,271,19
"272",271,272,19.4362730412547,272,19
"273",272,273,19.3035733867675,273,19
"274",273,274,19.1968139002934,274,19
"275",274,275,19.0993282561248,275,19
"276",275,276,18.991444846296,276,19
"277",276,277,18.8527407422767,277,19
"278",277,278,18.6627930155368,278,19
"279",278,279,18.4065821997265,279,19
"280",279,280,18.0907026772185,280,19
"281",280,281,17.7271522925658,281,19
"282",281,282,17.3308342845246,282,19
"283",282,283,16.9282734686623,283,19
"284",283,284,16.5489000547493,284,19
"285",284,285,16.2181015438501,285,19
"286",285,286,15.9450946022052,286,19
"287",286,287,15.7350531873494,287,19
"288",287,288,15.5931512568175,288,19
"289",288,289,15.5203997067663,289,19
"290",289,290,15.501157187841,290,19
"291",290,291,15.5156192893089,291,19
"292",291,292,15.5414669855983,292,19
"293",292,293,15.5463227917805,293,19
"294",293,294,15.495294608088,294,19
"295",294,295,15.3534903347531,295,19
