"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,8.70719846281378,1,19
"2",1,2,8.94061369624927,2,19
"3",2,3,9.14773444939541,3,19
"4",3,4,9.30966058823955,4,19
"5",4,5,9.41226196418346,5,19
"6",5,6,9.46048837028686,6,19
"7",6,7,9.46405958502392,7,19
"8",7,8,9.4337267635912,8,19
"9",8,9,9.38436656807495,9,19
"10",9,10,9.33188703728381,10,19
"11",10,11,9.29219621002643,11,19
"12",11,12,9.27960927196377,12,19
"13",12,13,9.30206999616614,13,19
"14",13,14,9.36592930255614,14,19
"15",14,15,9.47045469106758,15,19
"16",15,16,9.58657998167904,16,19
"17",16,17,9.67815557438028,17,19
"18",17,18,9.71877588578015,18,19
"19",18,19,9.72101139896381,19,19
"20",19,20,9.70717661363551,20,19
"21",20,21,9.6995860294995,21,19
"22",21,22,9.71596345137554,22,19
"23",22,23,9.75566990454546,23,19
"24",23,24,9.81347571940661,24,19
"25",24,25,9.88426326185131,25,19
"26",25,26,9.9633630397518,26,19
"27",26,27,10.0462175964753,27,19
"28",27,28,10.1282694753891,28,19
"29",28,29,10.2073604799942,29,19
"30",29,30,10.2909294543276,30,19
"31",30,31,10.3888145025598,31,19
"32",31,32,10.5080784359669,32,19
"33",32,33,10.6446828942454,33,19
"34",33,34,10.7918142241975,34,19
"35",34,35,10.9419964622073,35,19
"36",35,36,11.0851044029893,36,19
"37",36,37,11.2103505308402,37,19
"38",37,38,11.3069473300568,38,19
"39",38,39,11.3676726629629,39,19
"40",39,40,11.3995659039899,40,19
"41",40,41,11.4132318055961,41,19
"42",41,42,11.4146230630795,42,19
"43",42,43,11.3910841430963,43,19
"44",43,44,11.325307455142,44,19
"45",44,45,11.2053085049493,45,19
"46",45,46,11.0403951831982,46,19
"47",46,47,10.8451984768054,47,19
"48",47,48,10.634349372688,48,19
"49",48,49,10.4274203858177,49,19
"50",49,50,10.2637501433865,50,19
"51",50,51,10.1876188006414,51,19
"52",51,52,10.2278196168404,52,19
"53",52,53,10.3511982672843,53,19
"54",53,54,10.5091135312852,54,19
"55",54,55,10.6529241881548,55,19
"56",55,56,10.7442971669554,56,19
"57",56,57,10.7861319957504,57,19
"58",57,58,10.7916363523532,58,19
"59",58,59,10.7749180635624,59,19
"60",59,60,10.7536855521151,60,19
"61",60,61,10.7465473897331,61,19
"62",61,62,10.76849052056,62,19
"63",62,63,10.8200153784271,63,19
"64",63,64,10.8980007695871,64,19
"65",64,65,10.9993255002931,65,19
"66",65,66,11.1241599489634,66,19
"67",66,67,11.285840782678,67,19
"68",67,68,11.5009962406827,68,19
"69",68,69,11.7735907668585,69,19
"70",69,70,12.0569336236285,70,19
"71",70,71,12.2916702780514,71,19
"72",71,72,12.433778766426,72,19
"73",72,73,12.500567402011,73,19
"74",73,74,12.5246770673049,74,19
"75",74,75,12.5387486448065,75,19
"76",75,76,12.5623964366998,76,19
"77",76,77,12.5631284239104,77,19
"78",77,78,12.4954260070494,78,19
"79",78,79,12.3331520432648,79,19
"80",79,80,12.1276952158534,80,19
"81",80,81,11.9498256646488,81,19
"82",81,82,11.8703135294848,82,19
"83",82,83,11.9412884134194,83,19
"84",83,84,12.1403177724078,84,19
"85",84,85,12.4263285256294,85,19
"86",85,86,12.7484158156448,86,19
"87",86,87,13.0163476785393,87,19
"88",87,88,13.1300603737795,88,19
"89",88,89,13.0215829076045,89,19
"90",89,90,12.7513152733445,90,19
"91",90,91,12.4117502111022,91,19
"92",91,92,12.0953804609805,92,19
"93",92,93,11.8767870799256,93,19
"94",93,94,11.7589043922578,94,19
"95",94,95,11.7267550391409,95,19
"96",95,96,11.763090758628,96,19
"97",96,97,11.8415796763294,97,19
"98",97,98,11.9336190147453,98,19
"99",98,99,12.0106059963753,99,19
"100",99,100,12.0509592134312,100,19
"101",100,101,12.061182736972,101,19
"102",101,102,12.0548020077685,102,19
"103",102,103,12.0529252435097,103,19
"104",103,104,12.1069917695573,104,19
"105",104,105,12.2760236881913,105,19
"106",105,106,12.5955798217158,106,19
"107",106,107,13.0073658725324,107,19
"108",107,108,13.4296242630673,108,19
"109",108,109,13.7805974157462,109,19
"110",109,110,13.9935309840564,110,19
"111",110,111,14.0616835457298,111,19
"112",111,112,13.9933169095595,112,19
"113",112,113,13.8139417685845,113,19
"114",113,114,13.618064352828,114,19
"115",114,115,13.5174397765594,115,19
"116",115,116,13.5951299050071,116,19
"117",116,117,13.8194236072372,117,19
"118",117,118,14.1299165032749,118,19
"119",118,119,14.4662042131456,119,19
"120",119,120,14.7717216628447,120,19
"121",120,121,15.005261002248,121,19
"122",121,122,15.1294536872012,122,19
"123",122,123,15.1237010045819,123,19
"124",123,124,15.0344835653934,124,19
"125",124,125,14.9250518116706,125,19
"126",125,126,14.8586561854486,126,19
"127",126,127,14.8818735621411,127,19
"128",127,128,14.9745865506771,128,19
"129",128,129,15.1000041933643,129,19
"130",129,130,15.2285862742136,130,19
"131",130,131,15.3597955440482,131,19
"132",131,132,15.5003454953944,132,19
"133",132,133,15.6542057262655,133,19
"134",133,134,15.8143702566235,134,19
"135",134,135,15.9710892119179,135,19
"136",135,136,16.1146127175977,136,19
"137",136,137,16.2325314121446,137,19
"138",137,138,16.3017979861697,138,19
"139",138,139,16.2967056433162,139,19
"140",139,140,16.2011494865256,140,19
"141",140,141,16.0374322159311,141,19
"142",141,142,15.837458430964,142,19
"143",142,143,15.6349049661591,143,19
"144",143,144,15.4705375964649,144,19
"145",144,145,15.3868943319336,145,19
"146",145,146,15.426513182617,146,19
"147",146,147,15.6152996880802,147,19
"148",147,148,15.9126295059387,148,19
"149",148,149,16.261245823321,149,19
"150",149,150,16.6079314661282,150,19
"151",150,151,16.9156278153504,151,19
"152",151,152,17.1513158907505,152,19
"153",152,153,17.281976712091,153,19
"154",153,154,17.2899064250207,154,19
"155",154,155,17.2186616787319,155,19
"156",155,156,17.1271142483029,156,19
"157",156,157,17.0681094384137,157,19
"158",157,158,17.0703866721519,158,19
"159",158,159,17.1566589022069,159,19
"160",159,160,17.3375700930214,160,19
"161",160,161,17.5754882560509,161,19
"162",161,162,17.8207124145046,162,19
"163",162,163,18.0235415915912,163,19
"164",163,164,18.1510104862564,164,19
"165",164,165,18.2370965003933,165,19
"166",165,166,18.3325127116314,166,19
"167",166,167,18.4747658682133,167,19
"168",167,168,18.648537400833,168,19
"169",168,169,18.8253024107973,169,19
"170",169,170,18.9800756385478,170,19
"171",170,171,19.1020303810659,171,19
"172",171,172,19.1838795744677,172,19
"173",172,173,19.2183361548694,173,19
"174",173,174,19.2109147144986,174,19
"175",174,175,19.2183364700292,175,19
"176",175,176,19.3101242942467,176,19
"177",176,177,19.5309709010835,177,19
"178",177,178,19.8262483690603,178,19
"179",178,179,20.1164986178447,179,19
"180",179,180,20.3222635671043,180,19
"181",180,181,20.3854679891525,181,19
"182",181,182,20.3335680668853,182,19
"183",182,183,20.2154028358446,183,19
"184",183,184,20.0779198595674,184,19
"185",184,185,19.9605008135722,185,19
"186",185,186,19.9006359013725,186,19
"187",186,187,19.924727105356,187,19
"188",187,188,20.0148235234063,188,19
"189",188,189,20.1418860322807,189,19
"190",189,190,20.2768755087367,190,19
"191",190,191,20.3976390665365,191,19
"192",191,192,20.5095687674616,192,19
"193",192,193,20.6249429102984,193,19
"194",193,194,20.7491151252868,194,19
"195",194,195,20.859740368481,195,19
"196",195,196,20.9275489273886,196,19
"197",196,197,20.9232710895175,197,19
"198",197,198,20.8343683753655,198,19
"199",198,199,20.7152272373916,199,19
"200",199,200,20.6369653610449,200,19
"201",200,201,20.6534779973126,201,19
"202",201,202,20.7497706593357,202,19
"203",202,203,20.893626425793,203,19
"204",203,204,21.0513838061247,204,19
"205",204,205,21.1836030328148,205,19
"206",205,206,21.2493997691083,206,19
"207",206,207,21.2078896782505,207,19
"208",207,208,21.0363336315987,208,19
"209",208,209,20.7845733329605,209,19
"210",209,210,20.5205956942558,210,19
"211",210,211,20.2958910585613,211,19
"212",211,212,20.0959634935804,212,19
"213",212,213,19.889820498173,213,19
"214",213,214,19.6608573089381,214,19
"215",214,215,19.450020113429,215,19
"216",215,216,19.3126428369381,216,19
"217",216,217,19.3040594047575,217,19
"218",217,218,19.4574190247136,218,19
"219",218,219,19.717132034769,219,19
"220",219,220,20.0054240554204,220,19
"221",220,221,20.2552485277302,221,19
"222",221,222,20.4424701750236,222,19
"223",222,223,20.5536815411918,223,19
"224",223,224,20.5754751701258,224,19
"225",224,225,20.5022108026875,225,19
"226",225,226,20.3593169676233,226,19
"227",226,227,20.1799893906502,227,19
"228",227,228,19.9908331571964,228,19
"229",228,229,19.7920907915332,229,19
"230",229,230,19.5774141776427,230,19
"231",230,231,19.3513967498718,231,19
"232",231,232,19.1623981440273,232,19
"233",232,233,19.0697195462804,233,19
"234",233,234,19.1326621428025,234,19
"235",234,235,19.3887169208266,235,19
