"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,0.171155075169166,1,13
"2",1,2,0.259439183548585,2,13
"3",2,3,0.359115652365895,3,13
"4",3,4,0.479505850046947,4,13
"5",4,5,0.620084663859838,5,13
"6",5,6,0.740941056441648,6,13
"7",6,7,0.7923175092717,7,13
"8",7,8,0.737651191290386,8,13
"9",8,9,0.593158021282354,9,13
"10",9,10,0.388248605493318,10,13
"11",10,11,0.152333550168992,11,13
"12",11,12,-0.0861206931520328,12,13
"13",12,13,-0.302424291759655,13,13
"14",13,14,-0.472831567650896,14,13
"15",14,15,-0.580685516837556,15,13
"16",15,16,-0.63768383139054,16,13
"17",16,17,-0.662612877395532,17,13
"18",17,18,-0.669848267263649,18,13
"19",18,19,-0.656122598707743,19,13
"20",19,20,-0.613757715766096,20,13
"21",20,21,-0.535075462476995,21,13
"22",21,22,-0.419129128281214,22,13
"23",22,23,-0.291897784229489,23,13
"24",23,24,-0.186091946775048,24,13
"25",24,25,-0.125657319226202,25,13
"26",25,26,-0.0994803523115958,26,13
"27",26,27,-0.0876826836149573,27,13
"28",27,28,-0.0703859507200151,28,13
"29",28,29,-0.0291882269100613,29,13
"30",29,30,0.0484066717333566,30,13
"31",30,31,0.173418493429126,31,13
"32",31,32,0.346079721783285,32,13
"33",32,33,0.523473781950461,33,13
"34",33,34,0.651896834472427,34,13
"35",34,35,0.690820885343396,35,13
"36",35,36,0.652421322367333,36,13
"37",36,37,0.562049378800639,37,13
"38",37,38,0.445056287899715,38,13
"39",38,39,0.326993051450686,39,13
"40",39,40,0.234209745358577,40,13
"41",40,41,0.193256214058135,41,13
"42",41,42,0.218765687766574,42,13
"43",42,43,0.277704939830979,43,13
"44",43,44,0.325124129380902,44,13
"45",44,45,0.326071387392995,45,13
"46",45,46,0.285586732232314,46,13
"47",46,47,0.218708154111014,47,13
"48",47,48,0.140473643241252,48,13
"49",48,49,0.0653508650461301,49,13
"50",49,50,0.00552618579253359,50,13
"51",50,51,-0.0273843530417026,51,13
"52",51,52,-0.0256432125531467,52,13
"53",52,53,0.00297313586402991,53,13
"54",53,54,0.0468097182412548,54,13
"55",54,55,0.0942115606099564,55,13
"56",55,56,0.136932805851129,56,13
"57",56,57,0.180364064244038,57,13
"58",57,58,0.233305062917516,58,13
"59",58,59,0.305102033745708,59,13
"60",59,60,0.407287227584011,60,13
"61",60,61,0.551939400033134,61,13
"62",61,62,0.746036661287381,62,13
"63",62,63,0.976154539915417,63,13
"64",63,64,1.22376791907951,64,13
"65",64,65,1.4703516819419,65,13
"66",65,66,1.702352984083,66,13
