"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,8.67956040627556,1,19
"2",1,2,8.8365332671557,2,19
"3",2,3,8.95412512891034,3,19
"4",3,4,9.00526747423301,4,19
"5",4,5,8.97002101904762,5,19
"6",5,6,8.85696341219968,6,19
"7",6,7,8.68180153576506,7,19
"8",7,8,8.46715439901929,8,19
"9",8,9,8.26328952003647,9,19
"10",9,10,8.12738654409032,10,19
"11",10,11,8.11662511645458,11,19
"12",11,12,8.26899426389784,12,19
"13",12,13,8.5457205391682,13,19
"14",13,14,8.88883987650865,14,19
"15",14,15,9.23811672633517,15,19
"16",15,16,9.52422960375574,16,19
"17",16,17,9.67558554005136,17,19
"18",17,18,9.64292525612774,18,19
"19",18,19,9.46632423138949,19,19
"20",19,20,9.20819163486595,20,19
"21",20,21,8.93093663558644,21,19
"22",21,22,8.68837512239752,22,19
"23",22,23,8.49994986341458,23,19
"24",23,24,8.37651034657024,24,19
"25",24,25,8.32390193604717,25,19
"26",25,26,8.32795350102824,26,19
"27",26,27,8.36948978694636,27,19
"28",27,28,8.42933553923446,28,19
"29",28,29,8.49409522993793,29,19
"30",29,30,8.57349223755203,30,19
"31",30,31,8.68302966718448,31,19
"32",31,32,8.82642189243708,32,19
"33",32,33,8.96022836088782,33,19
"34",33,34,9.02921978860878,34,19
"35",34,35,8.99625872515735,35,19
"36",35,36,8.89657505403221,36,19
"37",36,37,8.78349049221734,37,19
"38",37,38,8.71032675669676,38,19
"39",38,39,8.71490747351758,39,19
"40",39,40,8.77306390497952,40,19
"41",40,41,8.84512922244539,41,19
"42",41,42,8.89171800791694,42,19
"43",42,43,8.87457048595156,43,19
"44",43,44,8.75570829174558,44,19
"45",44,45,8.50902606539047,45,19
"46",45,46,8.15591046655852,46,19
"47",46,47,7.72962115981713,47,19
"48",47,48,7.26341780973377,48,19
"49",48,49,6.79734174423281,49,19
"50",49,50,6.39856094466641,50,19
"51",50,51,6.14102505574367,51,19
"52",51,52,6.07435292137872,52,19
"53",52,53,6.1508401823058,53,19
"54",53,54,6.29845167846418,54,19
"55",54,55,6.44515224979312,55,19
"56",55,56,6.53548285623883,56,19
"57",56,57,6.58028893777534,57,19
"58",57,58,6.60699205438362,58,19
"59",58,59,6.64193453081501,59,19
"60",59,60,6.7071417509024,60,19
"61",60,61,6.82355986324907,61,19
"62",61,62,7.00721406280679,62,19
"63",62,63,7.25444572992134,63,19
"64",63,64,7.55667529128699,64,19
"65",64,65,7.905323173598,65,19
"66",65,66,8.29057559293563,66,19
"67",66,67,8.69768192292899,67,19
"68",67,68,9.11065732659417,68,19
"69",68,69,9.50795569140633,69,19
