"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,8.83492736403933,1,17
"2",1,2,8.77549481654579,2,17
"3",2,3,8.72881036337659,3,17
"4",3,4,8.69880011224369,4,17
"5",4,5,8.68919381641298,5,17
"6",5,6,8.70293581136604,6,17
"7",6,7,8.74277407813841,7,17
"8",7,8,8.80807815028295,8,17
"9",8,9,8.88470377142191,9,17
"10",9,10,8.9551282376949,10,17
"11",10,11,9.00182884524152,11,17
"12",11,12,9.01097076746624,12,17
"13",12,13,8.98347068683305,13,17
"14",13,14,8.92393316307083,14,17
"15",14,15,8.83818667283495,15,17
"16",15,16,8.73695536048687,16,17
"17",16,17,8.63218728731458,17,17
"18",17,18,8.5338831315469,18,17
"19",18,19,8.444254039176,19,17
"20",19,20,8.36356377313489,20,17
"21",20,21,8.29207609635658,21,17
"22",21,22,8.2298104120154,22,17
"23",22,23,8.17580868425093,23,17
"24",23,24,8.12886851744409,24,17
"25",24,25,8.08728685720359,25,17
"26",25,26,8.04735801404938,26,17
"27",26,27,8.00487563972926,27,17
"28",27,28,7.95563338599098,28,17
"29",28,29,7.89816563001606,29,17
"30",29,30,7.8419696507209,30,17
"31",30,31,7.79928345245563,31,17
"32",31,32,7.77904025735073,32,17
"33",32,33,7.77695415865806,33,17
"34",33,34,7.78543446740986,34,17
"35",34,35,7.79844929246427,35,17
"36",35,36,7.81620193398312,36,17
"37",36,37,7.84045448995416,37,17
"38",37,38,7.87296905836515,38,17
"39",38,39,7.9163684130638,39,17
"40",39,40,7.97671803133754,40,17
"41",40,41,8.06094406633377,41,17
"42",41,42,8.17582590503156,42,17
"43",42,43,8.3275558697367,43,17
"44",43,44,8.52217951658666,44,17
"45",44,45,8.76329422702656,45,17
"46",45,46,9.04470468373217,46,17
"47",46,47,9.35776739468693,47,17
"48",47,48,9.69383886787428,48,17
"49",48,49,10.0407378464003,49,17
"50",49,50,10.3721320138617,50,17
"51",50,51,10.6581512889778,51,17
"52",51,52,10.8739377218467,52,17
"53",52,53,11.0146818880826,53,17
"54",53,54,11.0805864946781,54,17
"55",54,55,11.0718542486263,55,17
"56",55,56,10.9955798243755,56,17
"57",56,57,10.8864257661974,57,17
"58",57,58,10.7859465858191,58,17
"59",58,59,10.7280586247583,59,17
"60",59,60,10.716125543694,60,17
"61",60,61,10.7458728330958,61,17
"62",61,62,10.8151177560122,62,17
"63",62,63,10.9300446658075,63,17
"64",63,64,11.0989296884253,64,17
"65",64,65,11.3300489498091,65,17
"66",65,66,11.6252145729281,66,17
"67",66,67,11.9603826688541,67,17
"68",67,68,12.305045345685,68,17
"69",68,69,12.6325833501122,69,17
"70",69,70,12.9319319832032,70,17
"71",70,71,13.195915184619,71,17
"72",71,72,13.419785313924,72,17
"73",72,73,13.6085084102942,73,17
"74",73,74,13.7694789328087,74,17
