"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,0.46597852675229,1,18
"2",1,2,0.406466703899739,2,18
"3",2,3,0.346317136656687,3,18
"4",3,4,0.302611459164443,4,18
"5",4,5,0.290928531707925,5,18
"6",5,6,0.320836119146477,6,18
"7",6,7,0.40039921248305,7,18
"8",7,8,0.526147310356798,8,18
"9",8,9,0.648467941951674,9,18
"10",9,10,0.706213144087833,10,18
"11",10,11,0.638234953585432,11,18
"12",11,12,0.406109590845163,12,18
"13",12,13,0.0623100105898732,13,18
"14",13,14,-0.317966648877056,14,18
"15",14,15,-0.669689078885778,15,18
"16",15,16,-0.968489289300608,16,18
"17",16,17,-1.2001651196194,17,18
"18",17,18,-1.35598621816061,18,18
"19",18,19,-1.44910946852505,19,18
"20",19,20,-1.49816356313414,20,18
"21",20,21,-1.52177719440931,21,18
"22",21,22,-1.53290612666264,22,18
"23",22,23,-1.52181441176889,23,18
"24",23,24,-1.47309317349351,24,18
"25",24,25,-1.37504021398461,25,18
"26",25,26,-1.23078004892112,26,18
"27",26,27,-1.04714387236464,27,18
"28",27,28,-0.830962878376758,28,18
"29",28,29,-0.593316290224887,29,18
"30",29,30,-0.362275447999621,30,18
"31",30,31,-0.170159720997356,31,18
"32",31,32,-0.0425480098602214,32,18
"33",32,33,0.0219426593866959,33,18
"34",33,34,0.0314357293725731,34,18
"35",34,35,-0.00562887707542739,35,18
"36",35,36,-0.0795453163381991,36,18
"37",36,37,-0.180291264598651,37,18
"38",37,38,-0.297844398039692,38,18
"39",38,39,-0.417527658279598,39,18
"40",39,40,-0.506045048678113,40,18
"41",40,41,-0.525445838030351,41,18
"42",41,42,-0.446416602337461,42,18
"43",42,43,-0.274193146424733,43,18
"44",43,44,-0.0226485823234896,44,18
"45",44,45,0.293888668578432,45,18
"46",45,46,0.65926894746715,46,18
"47",46,47,1.05688728617228,47,18
"48",47,48,1.47013871652343,48,18
"49",48,49,1.87740638002539,49,18
"50",49,50,2.23702585688371,50,18
"51",50,51,2.50232083697913,51,18
"52",51,52,2.64197140056842,52,18
"53",52,53,2.68608318941253,53,18
"54",53,54,2.68011823564849,54,18
"55",54,55,2.66953857141328,55,18
"56",55,56,2.69259044405551,56,18
"57",56,57,2.7586569617702,57,18
"58",57,58,2.86990544796397,58,18
"59",58,59,3.02800208510723,59,18
"60",59,60,3.2326084919256,60,18
"61",60,61,3.48288514620853,61,18
"62",61,62,3.77828701504167,62,18
"63",62,63,4.11944702269559,63,18
"64",63,64,4.5072925827371,64,18
"65",64,65,4.94275110873299,65,18
"66",65,66,5.41858829649979,66,18
"67",66,67,5.89492297085306,67,18
"68",67,68,6.32371223885805,68,18
"69",68,69,6.67154948744921,69,18
"70",69,70,6.96357322303755,70,18
"71",70,71,7.23955823190325,71,18
"72",71,72,7.52999591155252,72,18
"73",72,73,7.82824410439556,73,18
"74",73,74,8.11837726406863,74,18
"75",74,75,8.38446984420797,75,18
"76",75,76,8.61243476560485,76,18
"77",76,77,8.79553881767071,77,18
"78",77,78,8.92888725697204,78,18
"79",78,79,9.01220610902178,79,18
"80",79,80,9.06370447511872,80,18
"81",80,81,9.10621222550814,81,18
"82",81,82,9.1625592304353,82,18
"83",82,83,9.25399949821422,83,18
"84",83,84,9.39548358943384,84,18
"85",84,85,9.60038620275188,85,18
"86",85,86,9.87611213264419,86,18
"87",86,87,10.2061865568592,87,18
"88",87,88,10.5681647489636,88,18
"89",88,89,10.9367974108549,89,18
"90",89,90,11.2756169577549,90,18
"91",90,91,11.5453512332161,91,18
"92",91,92,11.7067280807912,92,18
"93",92,93,11.7402568883343,93,18
"94",93,94,11.7055732209045,94,18
"95",94,95,11.6820941878624,95,18
"96",95,96,11.7354100948138,96,18
"97",96,97,11.8758040323444,97,18
