"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,0.151836534205119,1,17
"2",1,2,0.0089081515431373,2,17
"3",2,3,-0.126942137282585,3,17
"4",3,4,-0.248241754484585,4,17
"5",4,5,-0.346714651750969,5,17
"6",5,6,-0.410870898672122,6,17
"7",6,7,-0.428417094313995,7,17
"8",7,8,-0.394725780682537,8,17
"9",8,9,-0.335833271543686,9,17
"10",9,10,-0.285441823603374,10,17
"11",10,11,-0.277253693567536,11,17
"12",11,12,-0.335696615431539,12,17
"13",12,13,-0.448100232348485,13,17
"14",13,14,-0.592519664760908,14,17
"15",14,15,-0.748166223022108,15,17
"16",15,16,-0.898875977128438,16,17
"17",16,17,-1.02964118698702,17,17
"18",17,18,-1.12817931608631,18,17
"19",18,19,-1.19310864224014,19,17
"20",19,20,-1.22577264684368,20,17
"21",20,21,-1.2275148112921,21,17
"22",21,22,-1.19984889062874,22,17
"23",22,23,-1.14496973448953,23,17
"24",23,24,-1.06524246615858,24,17
"25",24,25,-0.963332399285744,25,17
"26",25,26,-0.843105608983795,26,17
"27",26,27,-0.708728360731257,27,17
"28",27,28,-0.564366920006651,28,17
"29",28,29,-0.415451458548111,29,17
"30",29,30,-0.272467773132214,30,17
"31",30,31,-0.147165566795152,31,17
"32",31,32,-0.0480092609980138,32,17
"33",32,33,0.0296778490985116,33,17
"34",33,34,0.0938577499088351,34,17
"35",34,35,0.151029519074585,35,17
"36",35,36,0.201840599146262,36,17
"37",36,37,0.245475523901581,37,17
"38",37,38,0.281118827118261,38,17
"39",38,39,0.310748922610959,39,17
"40",39,40,0.3475197443421,40,17
"41",40,41,0.40737910631105,41,17
"42",41,42,0.504470245313004,42,17
"43",42,43,0.645718089326467,43,17
"44",43,44,0.836242989125775,44,17
"45",44,45,1.0787290050534,45,17
"46",45,46,1.36611503572434,46,17
"47",46,47,1.68890368932175,47,17
"48",47,48,2.03759757402877,48,17
"49",48,49,2.39779689825933,49,17
"50",49,50,2.73549227135055,50,17
"51",50,51,3.01177190287035,51,17
"52",51,52,3.19794501461054,52,17
"53",52,53,3.30620487725865,53,17
"54",53,54,3.35896577372609,54,17
"55",54,55,3.3786419869243,55,17
"56",55,56,3.38595564330235,56,17
"57",56,57,3.39486024345988,57,17
"58",57,58,3.41761713153419,58,17
"59",58,59,3.46720834373648,59,17
"60",59,60,3.55949868457361,60,17
"61",60,61,3.71107365062634,61,17
"62",61,62,3.93420984623993,62,17
"63",62,63,4.22394830681753,63,17
"64",63,64,4.57102117552678,64,17
"65",64,65,4.96616059553532,65,17
"66",65,66,5.39582139745052,66,17
"67",66,67,5.82934916163866,67,17
"68",67,68,6.23181215590574,68,17
"69",68,69,6.57781488152713,69,17
"70",69,70,6.88010677365567,70,17
"71",70,71,7.16097350091352,71,17
"72",71,72,7.4379309483444,72,17
"73",72,73,7.70941586667805,73,17
"74",73,74,7.96909522306575,74,17
"75",74,75,8.21063598465875,75,17
"76",75,76,8.42847568866589,76,17
"77",76,77,8.6201341525262,77,17
"78",77,78,8.78390176373628,78,17
"79",78,79,8.92007826280654,79,17
"80",79,80,9.03700080230264,80,17
"81",80,81,9.14501588780407,81,17
"82",81,82,9.25447002489031,82,17
"83",82,83,9.37433281602366,83,17
"84",83,84,9.5080662511978,84,17
"85",84,85,9.65775541728922,85,17
"86",85,86,9.82446126918222,86,17
"87",86,87,10.0051482337923,87,17
"88",87,88,10.1957566060428,88,17
"89",88,89,10.3913514041371,89,17
"90",89,90,10.5834965393989,90,17
"91",90,91,10.7628806464323,91,17
"92",91,92,10.9201923598412,92,17
"93",92,93,11.0519301840845,93,17
"94",93,94,11.1778321030419,94,17
"95",94,95,11.3234459704483,95,17
"96",95,96,11.5092326332391,96,17
"97",96,97,11.7353049111525,97,17
"98",97,98,11.9966886171275,98,17
"99",98,99,12.288409564103,99,17
"100",99,100,12.6037521024332,100,17
"101",100,101,12.9290347321342,101,17
"102",101,102,13.2488344906377,102,17
"103",102,103,13.549406509402,103,17
"104",103,104,13.8237182959932,104,17
"105",104,105,14.0664154520039,105,17
"106",105,106,14.2713323070001,106,17
"107",106,107,14.4290581024394,107,17
"108",107,108,14.5293708077524,108,17
"109",108,109,14.56204839237,109,17
"110",109,110,14.5255944028344,110,17
"111",110,111,14.4534146941342,111,17
"112",111,112,14.3876406983699,112,17
"113",112,113,14.3628635041466,113,17
"114",113,114,14.3835128260885,114,17
"115",114,115,14.4464780353248,115,17
"116",115,116,14.548494796578,116,17
"117",116,117,14.6856839489459,117,17
"118",117,118,14.8540126251197,118,17
"119",118,119,15.0494479577906,119,17
"120",119,120,15.2675349711114,120,17
"121",120,121,15.5021302550806,121,17
"122",121,122,15.746668291158,122,17
"123",122,123,15.9952560499051,123,17
"124",123,124,16.2446904582893,124,17
"125",124,125,16.4924409323796,125,17
"126",125,126,16.7359768882447,126,17
"127",126,127,16.9699033051801,127,17
"128",127,128,17.1773674153861,128,17
