"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,-8.34919160937377,1,12
"2",1,2,-8.33849969780092,2,12
"3",2,3,-8.32786258323263,3,12
"4",3,4,-8.31735053401151,4,12
"5",4,5,-8.30703965072623,5,12
"6",5,6,-8.29702936294949,6,12
"7",6,7,-8.28742493250002,7,12
"8",7,8,-8.27831832378697,8,12
"9",8,9,-8.26974831158115,9,12
"10",9,10,-8.26174037324379,10,12
"11",10,11,-8.2543199861361,11,12
"12",11,12,-8.24749318012737,12,12
"13",12,13,-8.24118819511904,13,12
"14",13,14,-8.23531382352063,14,12
"15",14,15,-8.22977735577233,15,12
"16",15,16,-8.2244800744371,16,12
"17",16,17,-8.21932176010861,17,12
"18",17,18,-8.21419291760596,18,12
"19",18,19,-8.20894694865008,19,12
"20",19,20,-8.20342797918736,20,12
"21",20,21,-8.19748013516419,21,12
"22",21,22,-8.19094118829302,22,12
"23",22,23,-8.18362349335052,23,12
"24",23,24,-8.17533305087944,24,12
"25",24,25,-8.1658884649759,25,12
"26",25,26,-8.15515875394954,26,12
"27",26,27,-8.14302553966336,27,12
"28",27,28,-8.12937044398037,28,12
"29",28,29,-8.11409744312411,29,12
"30",29,30,-8.09719993076012,30,12
"31",30,31,-8.07869365491448,31,12
"32",31,32,-8.05858606840625,32,12
"33",32,33,-8.03685144322648,33,12
"34",33,34,-8.01345575615918,34,12
"35",34,35,-7.98834159787642,35,12
"36",35,36,-7.96135801460238,36,12
"37",36,37,-7.93233066644928,37,12
"38",37,38,-7.90108521352936,38,12
"39",38,39,-7.86745622575332,39,12
"40",39,40,-7.83131391222591,40,12
"41",40,41,-7.79253739185035,41,12
"42",41,42,-7.75100817471143,42,12
"43",42,43,-7.7066173356201,43,12
"44",43,44,-7.65925834056885,44,12
"45",44,45,-7.60881958161617,45,12
"46",45,46,-7.55516915508437,46,12
"47",46,47,-7.49817008336173,47,12
"48",47,48,-7.43768538883653,48,12
"49",48,49,-7.3735910103293,49,12
"50",49,50,-7.30581455238945,50,12
"51",50,51,-7.23429653599866,51,12
"52",51,52,-7.15898064921337,52,12
"53",52,53,-7.07982324838921,53,12
"54",53,54,-6.99678385695657,54,12
"55",54,55,-6.90982199834585,55,12
"56",55,56,-6.81892304568046,56,12
"57",56,57,-6.72417577085579,57,12
"58",57,58,-6.62569479546021,58,12
"59",58,59,-6.52360612334322,59,12
"60",59,60,-6.41808128739882,60,12
"61",60,61,-6.3093032027821,61,12
"62",61,62,-6.19745067609868,62,12
"63",62,63,-6.08268607975614,63,12
"64",63,64,-5.96516767761256,64,12
"65",64,65,-5.84505373352602,65,12
"66",65,66,-5.72251341309345,66,12
"67",66,67,-5.59775948886705,67,12
"68",67,68,-5.4710156351379,68,12
"69",68,69,-5.3425152627887,69,12
"70",69,70,-5.21253072906879,70,12
"71",70,71,-5.08134412781919,71,12
"72",71,72,-4.94920792722367,72,12
"73",72,73,-4.8162560928371,73,12
"74",73,74,-4.68259296455712,74,12
"75",74,75,-4.54832288228138,75,12
"76",75,76,-4.41352916273939,76,12
"77",76,77,-4.27821102998821,77,12
"78",77,78,-4.14234668491677,78,12
"79",78,79,-4.00592012749817,79,12
"80",79,80,-3.86893855404211,80,12
"81",80,81,-3.73141495994244,81,12
"82",81,82,-3.59336234059303,82,12
"83",82,83,-3.45479910014138,83,12
"84",83,84,-3.31576527774952,84,12
"85",84,85,-3.17630632133312,85,12
"86",85,86,-3.03647104338133,86,12
"87",86,87,-2.89632171467716,87,12
"88",87,88,-2.75592397057709,88,12
"89",88,89,-2.61533382485656,89,12
"90",89,90,-2.47456880496685,90,12
"91",90,91,-2.33363681677817,91,12
"92",91,92,-2.19254576616076,92,12
"93",92,93,-2.05132040129976,93,12
"94",93,94,-1.91005283964005,94,12
"95",94,95,-1.76885204094141,95,12
"96",95,96,-1.62783087400392,96,12
"97",96,97,-1.48711784378869,97,12
"98",97,98,-1.34684536429711,98,12
"99",98,99,-1.20714584953059,99,12
"100",99,100,-1.06813439020098,100,12
"101",100,101,-0.929856783862014,101,12
"102",101,102,-0.792341504777919,102,12
"103",102,103,-0.655601753235809,103,12
"104",103,104,-0.519589633614457,104,12
"105",104,105,-0.384241976315534,105,12
"106",105,106,-0.249485236269082,106,12
"107",106,107,-0.115204366518607,107,12
"108",107,108,0.0187260553640227,108,12
"109",108,109,0.152431451806929,109,12
"110",109,110,0.286033251151926,110,12
"111",110,111,0.419636905395553,111,12
"112",111,112,0.553343872448032,112,12
"113",112,113,0.68725298665874,113,12
"114",113,114,0.821452588133697,114,12
"115",114,115,0.95602839341808,115,12
"116",115,116,1.09106926828448,116,12
"117",116,117,1.22667667541514,117,12
"118",117,118,1.36295522671971,118,12
"119",118,119,1.50000953410784,119,12
"120",119,120,1.63793090134199,120,12
"121",120,121,1.77675739959575,121,12
"122",121,122,1.91651379189553,122,12
"123",122,123,2.0572105131347,123,12
"124",123,124,2.19880068567457,124,12
"125",124,125,2.34122310374342,125,12
"126",125,126,2.48441656156954,126,12
"127",126,127,2.62831717666754,127,12
"128",127,128,2.77285035969731,128,12
"129",128,129,2.9179388446051,129,12
"130",129,130,3.06349676450296,130,12
"131",130,131,3.2094038491662,131,12
"132",131,132,3.35553122753598,132,12
"133",132,133,3.5017508198256,133,12
"134",133,134,3.64793771133701,134,12
"135",134,135,3.79396777864434,135,12
"136",135,136,3.93971689832172,136,12
"137",136,137,4.085086400019,137,12
"138",137,138,4.23007942568906,138,12
"139",138,139,4.37472457036048,139,12
"140",139,140,4.51907279792406,140,12
"141",140,141,4.6632645477192,141,12
"142",141,142,4.80746262794748,142,12
"143",142,143,4.9518241405185,143,12
"144",143,144,5.09648336217389,144,12
"145",144,145,5.24156886336329,145,12
"146",145,146,5.38720921453634,146,12
"147",146,147,5.53352956557015,147,12
"148",147,148,5.6806413840517,148,12
"149",148,149,5.82865271699545,149,12
"150",149,150,5.97767568962402,150,12
"151",150,151,6.1278387399927,151,12
"152",151,152,6.27927438436498,152,12
"153",152,153,6.43211513900433,153,12
"154",153,154,6.58649867242026,154,12
"155",154,155,6.74258326210648,155,12
"156",155,156,6.90053233780276,156,12
"157",156,157,7.06050934873393,157,12
"158",157,158,7.22267782206513,158,12
"159",158,159,7.38720130444655,159,12
"160",159,160,7.55420623063612,160,12
"161",160,161,7.72367058782248,161,12
"162",161,162,7.89553525130201,162,12
"163",162,163,8.06974109637103,163,12
"164",163,164,8.2461959243748,164,12
"165",164,165,8.42467524085407,165,12
"166",165,166,8.60492147739846,166,12
"167",166,167,8.78667371371144,167,12
"168",167,168,8.96965762195163,168,12
"169",168,169,9.15359552239149,169,12
"170",169,170,9.33819038710199,170,12
"171",170,171,9.52306779534831,171,12
"172",171,172,9.70783397819415,172,12
"173",172,173,9.89209516670321,173,12
"174",173,174,10.0754573431801,174,12
"175",174,175,10.2575254948934,175,12
"176",175,176,10.4379043603525,176,12
"177",176,177,10.6162002657897,177,12
