"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,-5.90360379494587,1,19
"2",1,2,-5.40052847072602,2,19
"3",2,3,-4.91671128073381,3,19
"4",3,4,-4.4622194193043,4,19
"5",4,5,-4.04926925480818,5,19
"6",5,6,-3.69867385175847,6,19
"7",6,7,-3.43339544870381,7,19
"8",7,8,-3.26814809985304,8,19
"9",8,9,-3.18465312205602,9,19
"10",9,10,-3.15638364782279,10,19
"11",10,11,-3.15681280966344,11,19
"12",11,12,-3.16114808552043,12,19
"13",12,13,-3.15153433506589,13,19
"14",13,14,-3.11185076340436,14,19
"15",14,15,-3.0309151746843,15,19
"16",15,16,-2.91729976923006,16,19
"17",16,17,-2.78451534640989,17,19
"18",17,18,-2.64418618467504,18,19
"19",18,19,-2.50039047880857,19,19
"20",19,20,-2.35531990267653,20,19
"21",20,21,-2.21116613014495,21,19
"22",21,22,-2.06971278606115,22,19
"23",22,23,-1.93111129919761,23,19
"24",23,24,-1.79510504930812,24,19
"25",24,25,-1.66400318054393,25,19
"26",25,26,-1.55037789464627,26,19
"27",26,27,-1.46936715775381,27,19
"28",27,28,-1.43610893600528,28,19
"29",28,29,-1.45811864647408,29,19
"30",29,30,-1.51242150997248,30,19
"31",30,31,-1.56842019824746,31,19
"32",31,32,-1.59810738117283,32,19
"33",32,33,-1.58383572112958,33,19
"34",33,34,-1.51054787862552,34,19
"35",34,35,-1.36930353224894,35,19
"36",35,36,-1.1756304329101,36,19
"37",36,37,-0.95117334959975,37,19
"38",37,38,-0.717577051308636,38,19
"39",38,39,-0.492548964972248,39,19
"40",39,40,-0.278047149305062,40,19
"41",40,41,-0.0720923209662989,41,19
"42",41,42,0.122836721257443,42,19
"43",42,43,0.286428850070044,43,19
"44",43,44,0.393914856048004,44,19
"45",44,45,0.424900725128857,45,19
"46",45,46,0.376493224694259,46,19
"47",46,47,0.250174317486899,47,19
"48",47,48,0.0474259662494695,48,19
"49",48,49,-0.225297635636353,49,19
"50",49,50,-0.541653372232935,50,19
"51",50,51,-0.870325896963646,51,19
"52",51,52,-1.17992216052236,52,19
"53",52,53,-1.43873830268493,53,19
"54",53,54,-1.6149927604977,54,19
"55",54,55,-1.67690397100702,55,19
"56",55,56,-1.60103414146398,56,19
"57",56,57,-1.39732055993866,57,19
"58",57,58,-1.08404428470587,58,19
"59",58,59,-0.682800520078239,59,19
"60",59,60,-0.228441054519543,60,19
"61",60,61,0.24086817746864,61,19
"62",61,62,0.692989697116413,62,19
"63",62,63,1.11989984858057,63,19
"64",63,64,1.51960343174961,64,19
"65",64,65,1.89010524651199,65,19
"66",65,66,2.23309547366861,66,19
"67",66,67,2.56500581766996,67,19
"68",67,68,2.90595336387892,68,19
"69",68,69,3.2649319387522,69,19
"70",69,70,3.6064423331217,70,19
"71",70,71,3.88386207891311,71,19
"72",71,72,4.06077878621483,72,19
"73",72,73,4.141620377766,73,19
"74",73,74,4.14102485446844,74,19
"75",74,75,4.07363021722397,75,19
"76",75,76,3.95787389777103,76,19
"77",76,77,3.82739105119453,77,19
"78",77,78,3.71961626341598,78,19
"79",78,79,3.66484775117095,79,19
"80",79,80,3.6648382544511,80,19
"81",80,81,3.71420414406213,81,19
"82",81,82,3.80756179080975,82,19
"83",82,83,3.93926276138908,83,19
"84",83,84,4.10259940605301,84,19
"85",84,85,4.29059927094384,85,19
"86",85,86,4.49287553675384,86,19
"87",86,87,4.68538392237498,87,19
"88",87,88,4.84066578124918,88,19
"89",88,89,4.94070574741606,89,19
"90",89,90,5.00526157730587,90,19
"91",90,91,5.06353430794656,91,19
"92",91,92,5.14472497636609,92,19
"93",92,93,5.27082088481861,93,19
"94",93,94,5.43495439646325,94,19
"95",94,95,5.62304413968531,95,19
"96",95,96,5.8212300625629,96,19
"97",96,97,6.01653739194511,97,19
"98",97,98,6.19621267437381,98,19
"99",98,99,6.34750245639087,99,19
"100",99,100,6.4602727955689,100,19
"101",100,101,6.53486779360356,101,19
"102",101,102,6.57425106322124,102,19
"103",102,103,6.58636176232815,103,19
"104",103,104,6.59904122954979,104,19
"105",104,105,6.64510634869143,105,19
"106",105,106,6.75013601718467,106,19
"107",106,107,6.91075718696623,107,19
"108",107,108,7.11635882359915,108,19
"109",108,109,7.35632989264645,109,19
"110",109,110,7.61753942104571,110,19
"111",110,111,7.87677668123264,111,19
"112",111,112,8.10831100701752,112,19
"113",112,113,8.29049658160156,113,19
"114",113,114,8.41802698574973,114,19
"115",114,115,8.48968064961799,115,19
"116",115,116,8.50955798902824,116,19
"117",116,117,8.50304736246622,117,19
"118",117,118,8.50085911408365,118,19
"119",118,119,8.53370358803226,119,19
"120",119,120,8.62525308092135,120,19
"121",120,121,8.77102769919056,121,19
"122",121,122,8.95950950173714,122,19
"123",122,123,9.17847585120614,123,19
"124",123,124,9.41288532523389,124,19
"125",124,125,9.64699180520454,125,19
"126",125,126,9.86504917250225,126,19
"127",126,127,10.056484402239,127,19
"128",127,128,10.231416844438,128,19
"129",128,129,10.4051389428505,129,19
"130",129,130,10.5918419182076,130,19
"131",130,131,10.8013120991609,131,19
"132",131,132,11.0422345913422,132,19
"133",132,133,11.3176087214005,133,19
"134",133,134,11.6076907000549,134,19
"135",134,135,11.8870509590414,135,19
"136",135,136,12.1302599300964,136,19
"137",136,137,12.3165169080703,137,19
"138",137,138,12.4435366402704,138,19
"139",138,139,12.513662737118,139,19
"140",139,140,12.5343609898006,140,19
"141",140,141,12.5335859125701,141,19
