"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,4.90405327989067,1,19
"2",1,2,5.09262206879961,2,19
"3",2,3,5.27304740439419,3,19
"4",3,4,5.44613276783425,4,19
"5",4,5,5.61045962773356,5,19
"6",5,6,5.75572140252149,6,19
"7",6,7,5.86938949808135,7,19
"8",7,8,5.94480411183587,8,19
"9",8,9,5.99878060736552,9,19
"10",9,10,6.05400313979024,10,19
"11",10,11,6.13315586422991,11,19
"12",11,12,6.25538734995644,12,19
"13",12,13,6.42570382284956,13,19
"14",13,14,6.64557592294099,14,19
"15",14,15,6.91051958599772,15,19
"16",15,16,7.19223193072788,16,19
"17",16,17,7.45645537157483,17,19
"18",17,18,7.67231693266854,18,19
"19",18,19,7.82248207688518,19,19
"20",19,20,7.89300087678751,20,19
"21",20,21,7.86992340493825,21,19
"22",21,22,7.74362683937318,22,19
"23",22,23,7.52179678002011,23,19
"24",23,24,7.21644593227986,24,19
"25",24,25,6.84437914600777,25,19
"26",25,26,6.44156984887717,26,19
"27",26,27,6.04878361301589,27,19
"28",27,28,5.70678601055177,28,19
"29",28,29,5.44963958672091,29,19
"30",29,30,5.28459477919245,30,19
"31",30,31,5.21219899874383,31,19
"32",31,32,5.22667290728624,32,19
"33",32,33,5.29693017126605,33,19
"34",33,34,5.38555770826339,34,19
"35",34,35,5.4630598625782,35,19
"36",35,36,5.53161068538956,36,19
"37",36,37,5.60130165459629,37,19
"38",37,38,5.68222424809727,38,19
"39",38,39,5.78015352837212,39,19
"40",39,40,5.88359889622356,40,19
"41",40,41,5.97675333703512,41,19
"42",41,42,6.0452839944792,42,19
"43",42,43,6.08075464538387,43,19
"44",43,44,6.07620322486606,44,19
"45",44,45,6.02713290915169,45,19
"46",45,46,5.93890783890243,46,19
"47",46,47,5.81935739588893,47,19
"48",47,48,5.67631096188182,48,19
"49",48,49,5.51878410479577,49,19
"50",49,50,5.36053713712165,50,19
"51",50,51,5.21651655749436,51,19
"52",51,52,5.09940088594651,52,19
"53",52,53,5.01279672810155,53,19
"54",53,54,4.95804271098062,54,19
"55",54,55,4.93647746160487,55,19
"56",55,56,4.94990097929892,56,19
"57",56,57,5.00195875260124,57,19
"58",57,58,5.09675764235375,58,19
"59",58,59,5.23591659299983,59,19
"60",59,60,5.41110288338869,60,19
"61",60,61,5.61149587597095,61,19
"62",61,62,5.82725575781963,62,19
"63",62,63,6.05246601449716,63,19
"64",63,64,6.28219095618834,64,19
"65",64,65,6.51149489307797,65,19
"66",65,66,6.73466898496124,66,19
"67",66,67,6.94291179007498,67,19
"68",67,68,7.12664871626644,68,19
"69",68,69,7.27357997998381,69,19
"70",69,70,7.36050503207923,70,19
"71",70,71,7.36149813200578,71,19
"72",71,72,7.2621966382883,72,19
"73",72,73,7.0944903057386,73,19
"74",73,74,6.90183198824022,74,19
"75",74,75,6.72767453967671,75,19
"76",75,76,6.605318726833,76,19
"77",76,77,6.52745696809967,77,19
"78",77,78,6.47662959476866,78,19
"79",78,79,6.43799691734505,79,19
"80",79,80,6.40719916318636,80,19
"81",80,81,6.38249653886321,81,19
"82",81,82,6.36214925094623,82,19
"83",82,83,6.34763915614881,83,19
"84",83,84,6.35333471175543,84,19
"85",84,85,6.39682602519333,85,19
"86",85,86,6.48783333116891,86,19
"87",86,87,6.60459737350521,87,19
"88",87,88,6.71748902330444,88,19
"89",88,89,6.80503799717309,89,19
"90",89,90,6.8784093937348,90,19
"91",90,91,6.95692715711747,91,19
"92",91,92,7.05991523144902,92,19
"93",92,93,7.19967953332269,93,19
"94",93,94,7.36045386919297,94,19
"95",94,95,7.51945401797969,95,19
"96",95,96,7.65606750193597,96,19
"97",96,97,7.75836881664811,97,19
"98",97,98,7.8166042010357,98,19
"99",98,99,7.82101989401833,99,19
"100",99,100,7.76761658363371,100,19
"101",100,101,7.67541275439201,101,19
"102",101,102,7.56918133992148,102,19
"103",102,103,7.4765964897098,103,19
"104",103,104,7.4369372166822,104,19
"105",104,105,7.49238374962331,105,19
"106",105,106,7.67076244129184,106,19
"107",106,107,7.94248414034286,107,19
"108",107,108,8.26360581940554,108,19
"109",108,109,8.59018445110904,109,19
"110",109,110,8.88516110786409,110,19
"111",110,111,9.13901326120787,111,19
"112",111,112,9.34910248245911,112,19
"113",112,113,9.51462994426465,113,19
"114",113,114,9.64215522458386,114,19
"115",114,115,9.74007750270417,115,19
"116",115,116,9.81854647215044,116,19
"117",116,117,9.89471388339717,117,19
"118",117,118,9.98748200115623,118,19
"119",118,119,10.1157530901395,119,19
"120",119,120,10.2888048878871,120,19
"121",120,121,10.4774170232521,121,19
"122",121,122,10.6427445979156,122,19
"123",122,123,10.7565226665288,123,19
"124",123,124,10.8328060956225,124,19
"125",124,125,10.8962297046975,125,19
"126",125,126,10.9714283132547,126,19
"127",126,127,11.0793265283503,127,19
"128",127,128,11.2260081072624,128,19
"129",128,129,11.4138465948249,129,19
"130",129,130,11.6409370733409,130,19
"131",130,131,11.8882607749925,131,19
"132",131,132,12.1325204694315,132,19
"133",132,133,12.3525284196482,133,19
"134",133,134,12.5355348619881,134,19
"135",134,135,12.6708995261354,135,19
"136",135,136,12.7479821417742,136,19
"137",136,137,12.7621987041008,137,19
"138",137,138,12.7331902703598,138,19
"139",138,139,12.686654163308,139,19
"140",139,140,12.6461123886618,140,19
"141",140,141,12.6263856839767,141,19
"142",141,142,12.6401194697678,142,19
"143",142,143,12.6969332772961,143,19
"144",143,144,12.7943430808072,144,19
"145",144,145,12.9268389652924,145,19
"146",145,146,13.0889110157432,146,19
"147",146,147,13.2751537049707,147,19
"148",147,148,13.4805790570656,148,19
"149",148,149,13.7003034839381,149,19
"150",149,150,13.9274719796616,150,19
"151",150,151,14.1473438669612,151,19
"152",151,152,14.3432070507253,152,19
"153",152,153,14.498349435842,153,19
"154",153,154,14.5964070536257,154,19
"155",154,155,14.6224084410955,155,19
"156",155,156,14.5617302616967,156,19
"157",156,157,14.4092640578421,157,19
"158",157,158,14.1979608878158,158,19
"159",158,159,13.9702866888694,159,19
"160",159,160,13.7648643127128,160,19
"161",160,161,13.6049442688898,161,19
"162",161,162,13.5099339814025,162,19
"163",162,163,13.4992408742529,163,19
"164",163,164,13.5859564642168,164,19
"165",164,165,13.7579086391652,165,19
"166",165,166,13.9966093797425,166,19
"167",166,167,14.2838484826043,167,19
"168",167,168,14.6025270084502,168,19
"169",168,169,14.9358238339906,169,19
"170",169,170,15.2700251207348,170,19
"171",170,171,15.603846169387,171,19
"172",171,172,15.9391095654504,172,19
"173",172,173,16.277637894428,173,19
"174",173,174,16.6197502202305,174,19
"175",174,175,16.9597515203995,175,19
"176",175,176,17.290443250884,176,19
"177",176,177,17.6050440634371,177,19
"178",177,178,17.8984413930273,178,19
"179",178,179,18.1659398704271,179,19
"180",179,180,18.4028441264089,180,19
"181",180,181,18.6049883309852,181,19
"182",181,182,18.770324811128,182,19
"183",182,183,18.8973354330495,183,19
"184",183,184,18.9876984808553,184,19
"185",184,185,19.0558779102252,185,19
"186",185,186,19.1195340947323,186,19
"187",186,187,19.1919475841589,187,19
"188",187,188,19.2688796331221,188,19
"189",188,189,19.341711672448,189,19
"190",189,190,19.4018251329627,190,19
"191",190,191,19.4433059237995,191,19
"192",191,192,19.4710578673204,192,19
"193",192,193,19.4926892641947,193,19
"194",193,194,19.5146584777701,194,19
"195",194,195,19.5388241221073,195,19
"196",195,196,19.5658948739454,196,19
"197",196,197,19.5965794100233,197,19
"198",197,198,19.6348104146333,198,19
"199",198,199,19.6974166022808,199,19
"200",199,200,19.8044506950242,200,19
"201",200,201,19.9691469480259,201,19
"202",201,202,20.1774657488639,202,19
"203",202,203,20.40854901822,203,19
"204",203,204,20.6424339510667,204,19
"205",204,205,20.8627388395383,205,19
"206",205,206,21.0539772500594,206,19
"207",206,207,21.2006627490551,207,19
"208",207,208,21.2886614768596,208,19
"209",208,209,21.3092498694455,209,19
"210",209,210,21.2550569366953,210,19
"211",210,211,21.1249765406901,211,19
"212",211,212,20.9429619523075,212,19
"213",212,213,20.7392312946238,213,19
"214",213,214,20.540872045881,214,19
"215",214,215,20.3624491049832,215,19
"216",215,216,20.2153967259998,216,19
"217",216,217,20.1111491630002,217,19
"218",217,218,20.0591389731913,218,19
"219",218,219,20.060791926329,219,19
"220",219,220,20.1155320953068,220,19
"221",220,221,20.2200778004153,221,19
"222",221,222,20.3603243515332,222,19
"223",222,223,20.5194613059365,223,19
"224",223,224,20.6806782209011,224,19
"225",224,225,20.8267093214738,225,19
"226",225,226,20.9384675037836,226,19
"227",226,227,20.9964103317307,227,19
"228",227,228,20.9838590914378,228,19
"229",228,229,20.8955899579202,229,19
"230",229,230,20.7292428284158,230,19
"231",230,231,20.489832285878,231,19
"232",231,232,20.2118716561212,232,19
"233",232,233,19.9372489506754,233,19
"234",233,234,19.7078521810705,234,19
"235",234,235,19.5533801720509,235,19
"236",235,236,19.4547750012201,236,19
"237",236,237,19.3807895593963,237,19
"238",237,238,19.3041175102377,238,19
"239",238,239,19.2132156087625,239,19
"240",239,240,19.1004813828289,240,19
"241",240,241,18.9620094114237,241,19
"242",241,242,18.8086824780478,242,19
"243",242,243,18.6550804173306,243,19
"244",243,244,18.5157830639016,244,19
"245",244,245,18.4034715831163,245,19
"246",245,246,18.3232324632339,246,19
"247",246,247,18.2782535232397,247,19
