"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,5.89567605693319,1,19
"2",1,2,5.87681324476762,2,19
"3",2,3,5.87696908570538,3,19
"4",3,4,5.90626190517808,4,19
"5",4,5,5.97173293637823,5,19
"6",5,6,6.06811504354186,6,19
"7",6,7,6.1870639986659,7,19
"8",7,8,6.31626737298996,8,19
"9",8,9,6.42753993472459,9,19
"10",9,10,6.48872825132303,10,19
"11",10,11,6.46767889023852,11,19
"12",11,12,6.34876316246093,12,19
"13",12,13,6.18245135312648,13,19
"14",13,14,6.03573849090802,14,19
"15",14,15,5.96344385804442,15,19
"16",15,16,5.9716837510387,16,19
"17",16,17,6.0543987199599,17,19
"18",17,18,6.20072379503177,18,19
"19",18,19,6.38057192709691,19,19
"20",19,20,6.55905054715262,20,19
"21",20,21,6.70126708619619,21,19
"22",21,22,6.78681168700085,22,19
"23",22,23,6.85320533944342,23,19
"24",23,24,6.95245174517666,24,19
"25",24,25,7.12020780500441,25,19
"26",25,26,7.32674321633477,26,19
"27",26,27,7.52598087572695,27,19
"28",27,28,7.67184367974012,28,19
"29",28,29,7.72636126345349,29,19
"30",29,30,7.68399021602629,30,19
"31",30,31,7.54729386513776,31,19
"32",31,32,7.33004688140816,32,19
"33",32,33,7.09086930722182,33,19
"34",33,34,6.89959252790409,34,19
"35",34,35,6.808190946131,35,19
"36",35,36,6.79721103398148,36,19
"37",36,37,6.82934228088513,37,19
"38",37,38,6.86727417627155,38,19
"39",38,39,6.88760856181115,39,19
"40",39,40,6.9225966881374,40,19
"41",40,41,7.01840215812454,41,19
"42",41,42,7.21056756827413,42,19
"43",42,43,7.49215148959694,43,19
"44",43,44,7.84559148673101,44,19
"45",44,45,8.25221047110528,45,19
"46",45,46,8.68887274131218,46,19
"47",46,47,9.13132794273501,47,19
"48",47,48,9.55532572075706,48,19
"49",48,49,9.92948363622955,49,19
"50",49,50,10.1938909118754,50,19
"51",50,51,10.2815046858854,51,19
"52",51,52,10.1522044479823,52,19
"53",52,53,9.87355909401635,53,19
"54",53,54,9.54005987136967,54,19
"55",54,55,9.24619802742442,55,19
"56",55,56,9.0681918521557,56,19
"57",56,57,9.00916780591045,57,19
"58",57,58,9.05397939162855,58,19
"59",58,59,9.19092043897834,59,19
"60",59,60,9.42204608454185,60,19
"61",60,61,9.75285179162954,61,19
"62",61,62,10.1811381404695,62,19
"63",62,63,10.6739261789602,63,19
"64",63,64,11.1905420719178,64,19
"65",64,65,11.6903119841584,65,19
"66",65,66,12.1373005011022,66,19
"67",66,67,12.5145258905861,67,19
"68",67,68,12.8097448410509,68,19
"69",68,69,13.0209935024871,69,19
"70",69,70,13.1874258710824,70,19
"71",70,71,13.3584754045745,71,19
"72",71,72,13.5708948978024,72,19
"73",72,73,13.8107144940136,73,19
"74",73,74,14.0512836735569,74,19
"75",74,75,14.2659519167816,75,19
"76",75,76,14.4299307690593,76,19
"77",76,77,14.5258800358515,77,19
"78",77,78,14.5383215876422,78,19
"79",78,79,14.4617278561364,79,19
"80",79,80,14.3303735179218,80,19
"81",80,81,14.1884838108068,81,19
"82",81,82,14.0802839725999,82,19
"83",82,83,14.0473102003293,83,19
"84",83,84,14.1203425279023,84,19
"85",84,85,14.327471948446,85,19
"86",85,86,14.6803602585778,86,19
"87",86,87,15.1249524688769,87,19
"88",87,88,15.5907643934127,88,19
"89",88,89,16.0133562255615,89,19
"90",89,90,16.352465675925,90,19
"91",90,91,16.5738748344117,91,19
"92",91,92,16.6433657909297,92,19
"93",92,93,16.5522210921635,93,19
"94",93,94,16.3937251119008,94,19
"95",94,95,16.2866626807056,95,19
"96",95,96,16.3201414656608,96,19
"97",96,97,16.4645604799269,97,19
"98",97,98,16.6606415731831,98,19
"99",98,99,16.8491065951092,99,19
"100",99,100,16.9847959757484,100,19
"101",100,101,17.0790244666002,101,19
"102",101,102,17.1572253995277,102,19
"103",102,103,17.2433537540694,103,19
"104",103,104,17.3554511004647,104,19
"105",104,105,17.5100806566278,105,19
"106",105,106,17.7162091202384,106,19
"107",106,107,17.9524171080361,107,19
"108",107,108,18.1896887165256,108,19
"109",108,109,18.3990080422116,109,19
"110",109,110,18.5551347155121,110,19
"111",110,111,18.647930502498,111,19
"112",111,112,18.6710327031532,112,19
"113",112,113,18.6281014181149,113,19
"114",113,114,18.562887950632,114,19
"115",114,115,18.5291664046064,115,19
"116",115,116,18.5663052906369,116,19
"117",116,117,18.65605074611,117,19
"118",117,118,18.765743315109,118,19
"119",118,119,18.8627235417174,119,19
"120",119,120,18.9291969114926,120,19
"121",120,121,19.006828675889,121,19
"122",121,122,19.1521490278349,122,19
"123",122,123,19.4065973266288,123,19
"124",123,124,19.7512495970497,124,19
"125",124,125,20.1520910302461,125,19
"126",125,126,20.5751068173672,126,19
"127",126,127,20.9819239551945,127,19
"128",127,128,21.3167366630422,128,19
"129",128,129,21.519380965857,129,19
"130",129,130,21.5512732862337,130,19
"131",130,131,21.4601516373575,131,19
"132",131,132,21.3153344300615,132,19
"133",132,133,21.1790387112789,133,19
"134",133,134,21.0850760723431,134,19
