"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,-6.24794840686231,1,19
"2",1,2,-5.97811561659658,2,19
"3",2,3,-5.74252405448489,3,19
"4",3,4,-5.53484518081597,4,19
"5",4,5,-5.35292590961669,5,19
"6",5,6,-5.21131496986668,6,19
"7",6,7,-5.12873654428369,7,19
"8",7,8,-5.1168451030278,8,19
"9",8,9,-5.15901626602811,9,19
"10",9,10,-5.23155594065602,10,19
"11",10,11,-5.31077003428291,11,19
"12",11,12,-5.37395806959831,12,19
"13",12,13,-5.4023940305643,13,19
"14",13,14,-5.37834551646107,14,19
"15",14,15,-5.29133812602991,15,19
"16",15,16,-5.15992945585649,16,19
"17",16,17,-5.00993510198756,17,19
"18",17,18,-4.86366496859282,18,19
"19",18,19,-4.72940619233384,19,19
"20",19,20,-4.61194021799515,20,19
"21",20,21,-4.51604849036127,21,19
"22",21,22,-4.44973548879592,22,19
"23",22,23,-4.43389783097966,23,19
"24",23,24,-4.49265516917225,24,19
"25",24,25,-4.64269399832714,25,19
"26",25,26,-4.8709681841725,26,19
"27",26,27,-5.15699843513021,27,19
"28",27,28,-5.48030545962215,28,19
"29",28,29,-5.81462248543126,29,19
"30",29,30,-6.11053281778482,30,19
"31",30,31,-6.3128322812712,31,19
"32",31,32,-6.3827760664722,32,19
"33",32,33,-6.34745682794352,33,19
"34",33,34,-6.25042658623428,34,19
"35",34,35,-6.12815626264405,35,19
"36",35,36,-5.98879238147414,36,19
"37",36,37,-5.83340036777628,37,19
"38",37,38,-5.66304564660221,38,19
"39",38,39,-5.4783667041471,39,19
"40",39,40,-5.2782942711799,40,19
"41",40,41,-5.06133213961302,41,19
"42",41,42,-4.83381460301254,42,19
"43",42,43,-4.63339796155941,43,19
"44",43,44,-4.50556901708828,44,19
"45",44,45,-4.48490277265747,45,19
"46",45,46,-4.56232703622008,46,19
"47",46,47,-4.71785781695285,47,19
"48",47,48,-4.93151112403255,48,19
"49",48,49,-5.18132309489696,49,19
"50",49,50,-5.43741038002798,50,19
"51",50,51,-5.6679097581685,51,19
"52",51,52,-5.84565578864143,52,19
"53",52,53,-5.96227415308962,53,19
"54",53,54,-6.01408831373592,54,19
"55",54,55,-5.99742173280319,55,19
"56",55,56,-5.91025175639101,56,19
"57",56,57,-5.75717126610586,57,19
"58",57,58,-5.54442702743097,58,19
"59",58,59,-5.27797042096484,59,19
"60",59,60,-4.96257128776713,60,19
"61",60,61,-4.60270408401275,61,19
"62",61,62,-4.20403766342042,62,19
"63",62,63,-3.77701846988405,63,19
"64",63,64,-3.33328734484129,64,19
"65",64,65,-2.88448512972985,65,19
"66",65,66,-2.44305357370517,66,19
"67",66,67,-2.02463805679376,67,19
"68",67,68,-1.64568486673995,68,19
"69",68,69,-1.32291298397765,69,19
"70",69,70,-1.07413215969932,70,19
"71",70,71,-0.917424837787028,71,19
"72",71,72,-0.861855484816839,72,19
"73",72,73,-0.88041665814077,73,19
"74",73,74,-0.937082937804825,74,19
"75",74,75,-0.995828903855005,75,19
"76",75,76,-1.02685153629332,76,19
"77",76,77,-1.02523741494577,77,19
"78",77,78,-0.992295519594369,78,19
"79",78,79,-0.933376256219044,79,19
"80",79,80,-0.869995735591375,80,19
"81",80,81,-0.827711494680854,81,19
"82",81,82,-0.832081070456978,82,19
"83",82,83,-0.897264502368502,83,19
"84",83,84,-0.991831839781225,84,19
"85",84,85,-1.07295563454021,85,19
"86",85,86,-1.10586715927895,86,19
"87",86,87,-1.08803256978469,87,19
"88",87,88,-1.02497674263312,88,19
"89",88,89,-0.921881345336125,89,19
"90",89,90,-0.782555209150446,90,19
"91",90,91,-0.610463956269032,91,19
"92",91,92,-0.40907320888483,92,19
"93",92,93,-0.182921498698647,93,19
"94",93,94,0.0591610045572923,94,19
"95",94,95,0.307271221642911,95,19
"96",95,96,0.55247314195601,96,19
"97",96,97,0.7896990294459,97,19
"98",97,98,1.01484821669978,98,19
"99",98,99,1.22382003630482,99,19
"100",99,100,1.41049492758427,100,19
"101",100,101,1.56067775680558,101,19
"102",101,102,1.65815449697226,102,19
"103",102,103,1.69528977703611,103,19
"104",103,104,1.69876284974217,104,19
"105",104,105,1.70383162378382,105,19
"106",105,106,1.73980531776876,106,19
"107",106,107,1.8121983899622,107,19
"108",107,108,1.9205766085437,108,19
"109",108,109,2.06450574169284,109,19
"110",109,110,2.23936170628248,110,19
"111",110,111,2.42376101395877,111,19
"112",111,112,2.59213032506117,112,19
"113",112,113,2.72301001967827,113,19
"114",113,114,2.8113953568953,114,19
"115",114,115,2.85639531554662,115,19
"116",115,116,2.86201658064769,116,19
"117",116,117,2.8518566619382,117,19
"118",117,118,2.85441077533895,118,19
"119",118,119,2.89817413677071,119,19
"120",119,120,3.0062903127632,120,19
"121",120,121,3.18049627228189,121,19
"122",121,122,3.41717733490121,122,19
"123",122,123,3.70737226532086,123,19
"124",123,124,4.02073360874181,124,19
"125",124,125,4.32156735549033,125,19
"126",125,126,4.57417949589267,126,19
"127",126,127,4.75670313069127,127,19
"128",127,128,4.90257980229321,128,19
"129",128,129,5.05907816352174,129,19
"130",129,130,5.26379602743752,130,19
"131",130,131,5.51564784805093,131,19
"132",131,132,5.80387723960975,132,19
"133",132,133,6.11464755585735,133,19
"134",133,134,6.42180110851938,134,19
"135",134,135,6.69609994881707,135,19
"136",135,136,6.90830612797166,136,19
"137",136,137,7.03671660265782,137,19
"138",137,138,7.08976795136386,138,19
"139",138,139,7.08343165803157,139,19
"140",139,140,7.03640097909489,140,19
"141",140,141,6.97825626095661,141,19
"142",141,142,6.9412996225117,142,19
"143",142,143,6.95151780364874,143,19
"144",143,144,7.00963602823074,144,19
"145",144,145,7.11006414111431,145,19
"146",145,146,7.24721198715606,146,19
"147",146,147,7.4173998593102,147,19
"148",147,148,7.62458984292119,148,19
"149",148,149,7.87465447143111,149,19
"150",149,150,8.16894497777745,150,19
"151",150,151,8.49072739287951,151,19
"152",151,152,8.818746447152,152,19
"153",152,153,9.13174687100964,153,19
"154",153,154,9.40751499528612,154,19
"155",154,155,9.62000355249101,155,19
"156",155,156,9.74220687555283,156,19
"157",156,157,9.7565175990015,157,19
"158",157,158,9.68292156377256,158,19
"159",158,159,9.55080291240291,159,19
"160",159,160,9.39175374004489,160,19
"161",160,161,9.24619795231239,161,19
"162",161,162,9.15676740743472,162,19
"163",162,163,9.1660939636412,163,19
"164",163,164,9.30380307195725,164,19
"165",164,165,9.54749455459283,165,19
"166",165,166,9.86176182655402,166,19
"167",166,167,10.216241175725,167,19
"168",167,168,10.6007403815027,168,19
"169",168,169,11.0101100961619,169,19
"170",169,170,11.4387542998266,170,19
"171",170,171,11.8792902840172,171,19
"172",171,172,12.3238886681032,172,19
"173",172,173,12.7647200714539,173,19
"174",173,174,13.194622644404,174,19
"175",174,175,13.6091046611489,175,19
"176",175,176,14.0043419268493,176,19
"177",176,177,14.3768215419912,177,19
"178",177,178,14.7242757883612,178,19
"179",178,179,15.0447482430713,179,19
"180",179,180,15.3362824832335,180,19
"181",180,181,15.595260651823,181,19
"182",181,182,15.811419155269,182,19
"183",182,183,15.9728329658636,183,19
"184",183,184,16.0722051931706,184,19
"185",184,185,16.120751495838,185,19
"186",185,186,16.1343156697852,186,19
"187",186,187,16.1285399778357,187,19
"188",187,188,16.1182605504305,188,19
"189",188,189,16.1181119849147,189,19
"190",189,190,16.1427288786335,190,19
"191",190,191,16.2033629671453,191,19
"192",191,192,16.2977345388605,192,19
"193",192,193,16.4201810204028,193,19
"194",193,194,16.5644612681264,194,19
"195",194,195,16.7220198573074,195,19
"196",195,196,16.8837227929523,196,19
"197",196,197,17.0404360800678,197,19
"198",197,198,17.1836626519674,198,19
"199",198,199,17.3074531551919,199,19
"200",199,200,17.4064951645889,200,19
"201",200,201,17.473186488768,201,19
"202",201,202,17.4907658713853,202,19
"203",202,203,17.4401822898587,203,19
"204",203,204,17.3109981594928,204,19
"205",204,205,17.1272296471398,205,19
"206",205,206,16.9215063575389,206,19
"207",206,207,16.726457895429,207,19
"208",207,208,16.5688154216543,208,19
"209",208,209,16.4517163214792,209,19
