"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,-3.84479860341473,1,18
"2",1,2,-3.46560126345909,2,18
"3",2,3,-3.11798774124343,3,18
"4",3,4,-2.8084297244823,4,18
"5",4,5,-2.54581189836198,5,18
"6",5,6,-2.34867093795547,6,18
"7",6,7,-2.23795651580749,7,18
"8",7,8,-2.22753615004263,8,18
"9",8,9,-2.30294874110514,9,18
"10",9,10,-2.44265103501914,10,18
"11",10,11,-2.62509977780879,11,18
"12",11,12,-2.82454567782566,12,18
"13",12,13,-2.99841529273117,13,18
"14",13,14,-3.09992914251418,14,18
"15",14,15,-3.09549577460256,15,18
"16",15,16,-3.0042758461803,16,18
"17",16,17,-2.85861804187042,17,18
"18",17,18,-2.68893683262156,18,18
"19",18,19,-2.51790983468499,19,18
"20",19,20,-2.36628045063765,20,18
"21",20,21,-2.25479208305645,21,18
"22",21,22,-2.19967457819825,22,18
"23",22,23,-2.19910355703968,23,18
"24",23,24,-2.24674108423728,24,18
"25",24,25,-2.33556888376602,25,18
"26",25,26,-2.45584731687454,26,18
"27",26,27,-2.5971564041299,27,18
"28",27,28,-2.74907616609913,28,18
"29",28,29,-2.8982495426152,29,18
"30",29,30,-3.01957115057473,30,18
"31",30,31,-3.08499852614023,31,18
"32",31,32,-3.07421543551933,32,18
"33",32,33,-2.9978105651,33,18
"34",33,34,-2.87409883131531,34,18
"35",34,35,-2.72127202066581,35,18
"36",35,36,-2.55702939992193,36,18
"37",36,37,-2.39894710592157,37,18
"38",37,38,-2.26460127550265,38,18
"39",38,39,-2.16391071617479,39,18
"40",39,40,-2.07616491813455,40,18
"41",40,41,-1.97299604225023,41,18
"42",41,42,-1.8347904575843,42,18
"43",42,43,-1.67695136597611,43,18
"44",43,44,-1.52363617745919,44,18
"45",44,45,-1.39695164147225,45,18
"46",45,46,-1.31080186507463,46,18
"47",46,47,-1.27704029473086,47,18
"48",47,48,-1.30752037690545,48,18
"49",48,49,-1.40820868332209,49,18
"50",49,50,-1.56152428674107,50,18
"51",50,51,-1.74399938518184,51,18
"52",51,52,-1.93243950323814,52,18
"53",52,53,-2.10474347180084,53,18
"54",53,54,-2.23908344833512,54,18
"55",54,55,-2.31363159030614,55,18
"56",55,56,-2.31023467602731,56,18
"57",56,57,-2.22543796720486,57,18
"58",57,58,-2.05946134639329,58,18
"59",58,59,-1.81597749373442,59,18
"60",59,60,-1.51247027971958,60,18
"61",60,61,-1.16987637242743,61,18
"62",61,62,-0.807486891057126,62,18
"63",62,63,-0.438010759289809,63,18
"64",63,64,-0.0725113519270867,64,18
"65",64,65,0.277947956229417,65,18
"66",65,66,0.606061263087046,66,18
"67",66,67,0.919552557388975,67,18
"68",67,68,1.22990330058733,68,18
"69",68,69,1.54255661068828,69,18
"70",69,70,1.83880223191412,70,18
"71",70,71,2.09389156504122,71,18
"72",71,72,2.28953992584936,72,18
"73",72,73,2.43331829013206,73,18
"74",73,74,2.53926154868628,74,18
"75",74,75,2.621404592309,75,18
"76",75,76,2.6905322391708,76,18
"77",76,77,2.74442901693673,77,18
"78",77,78,2.77762938064547,78,18
"79",78,79,2.78444364415589,79,18
"80",79,80,2.75828555660768,80,18
"81",80,81,2.69234472596069,81,18
"82",81,82,2.57981076017482,82,18
"83",82,83,2.42214245834123,83,18
"84",83,84,2.25387538407621,84,18
"85",84,85,2.11781429212736,85,18
"86",85,86,2.04748522312276,86,18
"87",86,87,2.03929936121255,87,18
"88",87,88,2.08038917642735,88,18
"89",88,89,2.15873189457859,89,18
"90",89,90,2.26568376460078,90,18
"91",90,91,2.39344579120923,91,18
"92",91,92,2.53421897911923,92,18
"93",92,93,2.68096975911003,93,18
"94",93,94,2.82972626621669,94,18
"95",94,95,2.97728206153822,95,18
"96",95,96,3.12188846209724,96,18
"97",96,97,3.26762780861089,97,18
"98",97,98,3.42004019771995,98,18
"99",98,99,3.58466572606517,99,18
"100",99,100,3.76046926655523,100,18
"101",100,101,3.92011479717044,101,18
"102",101,102,4.02969107215904,102,18
"103",102,103,4.06828157635109,103,18
"104",103,104,4.06694871690401,104,18
"105",104,105,4.06974963155707,105,18
"106",105,106,4.11289141980611,106,18
"107",106,107,4.20118102817325,107,18
"108",107,108,4.33157536493719,108,18
"109",108,109,4.50103133837663,109,18
"110",109,110,4.70154521049051,110,18
"111",110,111,4.90527065815885,111,18
"112",111,112,5.07940071198191,112,18
"113",112,113,5.19917034181781,113,18
"114",113,114,5.2719822745561,114,18
"115",114,115,5.31328117634419,115,18
"116",115,116,5.3392895441437,116,18
"117",116,117,5.3693411981731,117,18
"118",117,118,5.42354778946507,118,18
"119",118,119,5.52202096905232,119,18
"120",119,120,5.67870296880635,120,18
"121",120,121,5.88285834395408,121,18
"122",121,122,6.11758223056123,122,18
"123",122,123,6.36495091744123,123,18
"124",123,124,6.60296530439836,124,18
"125",124,125,6.80860744398459,125,18
"126",125,126,6.95885938875191,126,18
"127",126,127,7.0453429272789,127,18
"128",127,128,7.11823879225052,128,18
"129",128,129,7.24236745237838,129,18
"130",129,130,7.46675081302486,130,18
"131",130,131,7.77721652615564,131,18
"132",131,132,8.14379368038719,132,18
"133",132,133,8.53584192300294,133,18
"134",133,134,8.92004313595422,134,18
"135",134,135,9.26240975985927,135,18
"136",135,136,9.52895423533638,136,18
"137",136,137,9.69336372032362,137,18
"138",137,138,9.76002424203828,138,18
"139",138,139,9.74099654501743,139,18
"140",139,140,9.65514611586234,140,18
"141",140,141,9.54855740943085,141,18
"142",141,142,9.47411962264497,142,18
"143",142,143,9.47438060867344,143,18
"144",143,144,9.55052284567184,144,18
"145",144,145,9.69338746804248,145,18
"146",145,146,9.89381561018768,146,18
"147",146,147,10.1434970829498,147,18
"148",147,148,10.4375164029315,148,18
"149",148,149,10.7718067631753,149,18
"150",149,150,11.1378215027804,150,18
"151",150,151,11.509094545072,151,18
"152",151,152,11.8546799594317,152,18
"153",152,153,12.1436318152411,153,18
"154",153,154,12.3493513000819,154,18
"155",154,155,12.4626280743351,155,18
"156",155,156,12.4785989165819,156,18
"157",156,157,12.3984106878175,157,18
"158",157,158,12.2472505786944,158,18
"159",158,159,12.0563158622791,159,18
"160",159,160,11.859161593915,160,18
"161",160,161,11.698773958052,161,18
"162",161,162,11.6204969214166,162,18
"163",162,163,11.6696744507356,163,18
"164",163,164,11.8756211495386,164,18
"165",164,165,12.2035341685676,165,18
"166",165,166,12.6025812953679,166,18
"167",166,167,13.0284194307615,167,18
"168",167,168,13.4626619286776,168,18
"169",168,169,13.8934112563225,169,18
"170",169,170,14.3106744495573,170,18
"171",170,171,14.7120768188635,171,18
"172",171,172,15.0971482433778,172,18
"173",172,173,15.4654186022367,173,18
"174",173,174,15.818015852142,174,18
"175",174,175,16.1624602600571,175,18
"176",175,176,16.5078701705103,176,18
"177",176,177,16.8594057214012,177,18
"178",177,178,17.2063942241137,178,18
"179",178,179,17.5342047834026,179,18
"180",179,180,17.8282065040228,180,18
"181",180,181,18.0740015301466,181,18
"182",181,182,18.2581241636156,182,18
"183",182,183,18.3673417456888,183,18
"184",183,184,18.3952498158049,184,18
"185",184,185,18.3627567061215,185,18
"186",185,186,18.2975989469759,186,18
"187",186,187,18.2255193566063,187,18
"188",187,188,18.164285904855,188,18
"189",188,189,18.1296728494653,189,18
"190",189,190,18.1374544481807,190,18
"191",190,191,18.1981303880698,191,18
"192",191,192,18.3011020735029,192,18
"193",192,193,18.4304963381758,193,18
"194",193,194,18.5719046744585,194,18
"195",194,195,18.7167772094188,195,18
"196",195,196,18.8580287287985,196,18
"197",196,197,18.9885740183396,197,18
"198",197,198,19.1035698703838,198,18
"199",198,199,19.2071411036713,199,18
"200",199,200,19.3056545435422,200,18
"201",200,201,19.400796551153,201,18
"202",201,202,19.4755316309252,202,18
"203",202,203,19.5081438230968,203,18
"204",203,204,19.4839996202535,204,18
"205",204,205,19.4167953243728,205,18
"206",205,206,19.3273096897794,206,18
"207",206,207,19.2363214707986,207,18
"208",207,208,19.1603134307809,208,18
"209",208,209,19.098584369179,209,18
"210",209,210,19.046137094471,210,18
"211",210,211,18.9976900627562,211,18
"212",211,212,18.9468243206174,212,18
"213",212,213,18.8868365622587,213,18
"214",213,214,18.8126289468244,214,18
"215",214,215,18.7255254932197,215,18
"216",215,216,18.6284556852903,216,18
"217",216,217,18.524349006882,217,18
"218",217,218,18.4181865511327,218,18
"219",218,219,18.3231558483495,219,18
"220",219,220,18.2544960381321,220,18
"221",220,221,18.2225201249074,221,18
"222",221,222,18.2178365724131,222,18
"223",222,223,18.2261277092144,223,18
"224",223,224,18.2330758638765,224,18
"225",224,225,18.2271254870533,225,18
"226",225,226,18.2077695177544,226,18
"227",226,227,18.1772630170779,227,18
"228",227,228,18.1371807254099,228,18
"229",228,229,18.0863761002877,229,18
"230",229,230,18.0230222785362,230,18
"231",230,231,17.9469313075287,231,18
"232",231,232,17.8644708768313,232,18
"233",232,233,17.7836475865581,233,18
"234",233,234,17.7124680368233,234,18
"235",234,235,17.657724699428,235,18
"236",235,236,17.6213535329203,236,18
"237",236,237,17.6040763675354,237,18
"238",237,238,17.6028357656726,238,18
"239",238,239,17.5994572183891,239,18
"240",239,240,17.5719869489063,240,18
"241",240,241,17.5014163787306,241,18
"242",241,242,17.380517722507,242,18
"243",242,243,17.2050083931655,243,18
"244",243,244,16.9706058036359,244,18
"245",244,245,16.6745480451124,245,18
"246",245,246,16.3201559218461,246,18
"247",246,247,15.9122709163524,247,18
"248",247,248,15.4613836674903,248,18
"249",248,249,15.0005814394934,249,18
"250",249,250,14.568600652939,250,18
"251",250,251,14.2041777284042,251,18
"252",251,252,13.9333179247676,252,18
"253",252,253,13.7311018541136,253,18
"254",253,254,13.5598789668278,254,18
"255",254,255,13.387980626172,255,18
"256",255,256,13.2076658469127,256,18
"257",256,257,13.0171755566927,257,18
"258",257,258,12.8172393885904,258,18
"259",258,259,12.6185417974269,259,18
"260",259,260,12.4342559434591,260,18
"261",260,261,12.2775549869437,261,18
"262",261,262,12.1586055223491,262,18
"263",262,263,12.0755478809898,263,18
"264",263,264,12.0235158283919,264,18
"265",264,265,11.9996491510632,265,18
"266",265,266,12.0091117194383,266,18
"267",266,267,12.0590734249333,267,18
"268",267,268,12.1456292431396,268,18
"269",268,269,12.2205744863485,269,18
"270",269,270,12.2246295510264,270,18
"271",270,271,12.0985148336396,271,18
"272",271,272,11.7982469111512,272,18
"273",272,273,11.3410270825115,273,18
"274",273,274,10.7593528271674,274,18
"275",274,275,10.0912383328495,275,18
"276",275,276,9.39676462042336,276,18
"277",276,277,8.74152941903835,277,18
"278",277,278,8.19113045784373,278,18
"279",278,279,7.79404843154505,279,18
"280",279,280,7.53029589707292,280,18
"281",280,281,7.36276837691417,281,18
"282",281,282,7.26151819544331,282,18
"283",282,283,7.22522488458543,283,18
"284",283,284,7.25972477815327,284,18
"285",284,285,7.36443501721938,285,18
"286",285,286,7.51309597189556,286,18
"287",286,287,7.67302881955346,287,18
"288",287,288,7.8115547375647,288,18
"289",288,289,7.8989694361275,289,18
"290",289,290,7.91746675674645,290,18
"291",290,291,7.85221507375274,291,18
"292",291,292,7.69406218759856,292,18
"293",292,293,7.45657360322014,293,18
"294",293,294,7.15899425167478,294,18
"295",294,295,6.82056906401971,295,18
"296",295,296,6.46002053543901,296,18
"297",296,297,6.09398141762397,297,18
"298",297,298,5.73856202639271,298,18
"299",298,299,5.40587817249794,299,18
"300",299,300,5.09206764643096,300,18
"301",300,301,4.78927373361766,301,18
"302",301,302,4.4934570390118,302,18
"303",302,303,4.2158474456786,303,18
"304",303,304,3.97149215621109,304,18
"305",304,305,3.77543837320233,305,18
"306",305,306,3.63846155192227,306,18
"307",306,307,3.55425015834846,307,18
"308",307,308,3.51222091113537,308,18
"309",308,309,3.49477792905959,309,18
"310",309,310,3.45627493138627,310,18
"311",310,311,3.34405303750272,311,18
"312",311,312,3.12076524351355,312,18
"313",312,313,2.81031205239274,313,18
"314",313,314,2.45190584383156,314,18
"315",314,315,2.08475899752132,315,18
"316",315,316,1.74718410847742,316,18
"317",316,317,1.47389463301181,317,18
"318",317,318,1.29870424276059,318,18
"319",318,319,1.24024386228404,319,18
"320",319,320,1.25641342783939,320,18
"321",320,321,1.28993012860808,321,18
"322",321,322,1.28351115377156,322,18
"323",322,323,1.19007289775527,323,18
"324",323,324,1.00332857596068,324,18
"325",324,325,0.727190609033261,325,18
"326",325,326,0.372580426673521,326,18
"327",326,327,-0.0215445051979391,327,18
"328",327,328,-0.409217711605487,328,18
"329",328,329,-0.753532111476238,329,18
"330",329,330,-1.05381819934829,330,18
"331",330,331,-1.31846586366249,331,18
"332",331,332,-1.5558649928597,332,18
"333",332,333,-1.77484408613508,333,18
"334",333,334,-1.98598608570119,334,18
"335",334,335,-2.20031254452495,335,18
"336",335,336,-2.42333566247736,336,18
"337",336,337,-2.63853022704596,337,18
"338",337,338,-2.82386167262242,338,18
"339",338,339,-2.95987567010632,339,18
"340",339,340,-3.03743883642901,340,18
"341",340,341,-3.04999802502975,341,18
"342",341,342,-2.99100008934782,342,18
"343",342,343,-2.86520981433242,343,18
"344",343,344,-2.72266371097257,344,18
"345",344,345,-2.62471622176722,345,18
"346",345,346,-2.61790288938396,346,18
"347",346,347,-2.68948365716497,347,18
"348",347,348,-2.81189956862103,348,18
"349",348,349,-2.95759166726295,349,18
"350",349,350,-3.1050484584985,350,18
"351",350,351,-3.25694829532327,351,18
"352",351,352,-3.4220169926298,352,18
"353",352,353,-3.60669267800985,353,18
"354",353,354,-3.80826272985195,354,18
"355",354,355,-4.02172683924386,355,18
"356",355,356,-4.23978670782102,356,18
"357",356,357,-4.44595207940973,357,18
"358",357,358,-4.62143470838396,358,18
"359",358,359,-4.74744634911771,359,18
"360",359,360,-4.81215615937917,360,18
"361",360,361,-4.83156291051332,361,18
"362",361,362,-4.82862277725937,362,18
"363",362,363,-4.8222577953918,363,18
"364",363,364,-4.8152534448262,364,18
"365",364,365,-4.80636106651344,365,18
"366",365,366,-4.7943320014044,366,18
