"","x","Index","y","Index2","pstRcrdCnt"
"1",0,1,1.9247863548495,1,19
"2",1,2,2.15810425981342,2,19
"3",2,3,2.39628206011557,3,19
"4",3,4,2.63881609695377,4,19
"5",4,5,2.87918709041092,5,19
"6",5,6,3.08681327611034,6,19
"7",6,7,3.22509726856046,7,19
"8",7,8,3.2698971407993,8,19
"9",8,9,3.24689279998336,9,19
"10",9,10,3.19421961179869,10,19
"11",10,11,3.15001294193139,11,19
"12",11,12,3.14880635639719,12,19
"13",12,13,3.2107262225305,13,19
"14",13,14,3.35229710799538,14,19
"15",14,15,3.579013296645,15,19
"16",15,16,3.85224793708904,16,19
"17",16,17,4.12234389412627,17,19
"18",17,18,4.3479277184668,18,19
"19",18,19,4.52076070446608,19,19
"20",19,20,4.64088783239086,20,19
"21",20,21,4.70835408250792,21,19
"22",21,22,4.7237420661842,22,19
"23",22,23,4.68978491918745,23,19
"24",23,24,4.60975340838558,24,19
"25",24,25,4.48845962898128,25,19
"26",25,26,4.33688098951627,26,19
"27",26,27,4.16753622686701,27,19
"28",27,28,3.99294407791,28,19
"29",28,29,3.82829771236991,29,19
"30",29,30,3.69948803136424,30,19
"31",30,31,3.6350803688587,31,19
"32",31,32,3.65117073742047,32,19
"33",32,33,3.71397786402268,33,19
"34",33,34,3.77725115423993,34,19
"35",34,35,3.80593370867721,35,19
"36",35,36,3.80974340806118,36,19
"37",36,37,3.80959182814891,37,19
"38",37,38,3.82639054469745,38,19
"39",38,39,3.87418175793619,39,19
"40",39,40,3.93953016598384,40,19
"41",40,41,4.00213109143145,41,19
"42",41,42,4.04217637547202,42,19
"43",42,43,4.04184393370638,43,19
"44",43,44,3.98380820033733,44,19
"45",44,45,3.85742657870602,45,19
"46",45,46,3.67878834870695,46,19
"47",46,47,3.470665759373,47,19
"48",47,48,3.25583105973702,48,19
"49",48,49,3.05438417147473,49,19
"50",49,50,2.87573570683324,50,19
"51",50,51,2.72662395070251,51,19
"52",51,52,2.61317954772891,52,19
"53",52,53,2.5391025815845,53,19
"54",53,54,2.50748549569777,54,19
"55",54,55,2.52142073349718,55,19
"56",55,56,2.58366685078218,56,19
"57",56,57,2.695646852836,57,19
"58",57,58,2.85844985731279,58,19
"59",58,59,3.06949817024374,59,19
"60",59,60,3.31154685116793,60,19
"61",60,61,3.56368414800142,61,19
"62",61,62,3.8078845796877,62,19
"63",62,63,4.03766774927981,63,19
"64",63,64,4.24943953085818,64,19
"65",64,65,4.43960579850326,65,19
"66",65,66,4.60494468092809,66,19
"67",66,67,4.74372332537611,67,19
"68",67,68,4.85458113372337,68,19
"69",68,69,4.9323793593121,69,19
"70",69,70,4.95686666134922,70,19
"71",70,71,4.90401355050785,71,19
"72",71,72,4.76168446046372,72,19
"73",72,73,4.56531951690313,73,19
"74",73,74,4.36225276851497,74,19
"75",74,75,4.19981826398817,75,19
"76",75,76,4.11420316283673,76,19
"77",76,77,4.097007067875,77,19
"78",77,78,4.12868269274243,78,19
"79",78,79,4.19038585592979,79,19
"80",79,80,4.26608479533314,80,19
"81",80,81,4.34045085369988,81,19
"82",81,82,4.39815537377739,82,19
"83",82,83,4.43049458161286,83,19
"84",83,84,4.45526423645266,84,19
"85",84,85,4.49688498084299,85,19
"86",85,86,4.57122350290858,86,19
"87",86,87,4.65993067308838,87,19
"88",87,88,4.73610340739991,88,19
"89",88,89,4.78211902827742,89,19
"90",89,90,4.81747648382206,90,19
"91",90,91,4.87095512855173,91,19
"92",91,92,4.97133431698431,92,19
"93",92,93,5.13591629477557,93,19
"94",93,94,5.33609487213272,94,19
"95",94,95,5.53178675040082,95,19
"96",95,96,5.68868762575806,96,19
"97",96,97,5.795609173715,97,19
"98",97,98,5.84714206461527,98,19
"99",98,99,5.83787696880253,99,19
"100",99,100,5.76720457788719,100,19
"101",100,101,5.65371566854669,101,19
"102",101,102,5.52080103872521,102,19
"103",102,103,5.39560190165076,103,19
"104",103,104,5.3202611316866,104,19
"105",104,105,5.34067201847979,105,19
"106",105,106,5.48666688250326,106,19
"107",106,107,5.72383416753342,107,19
"108",107,108,6.00170134817252,108,19
"109",108,109,6.26979589902283,109,19
"110",109,110,6.48953542879403,110,19
"111",110,111,6.66989808262559,111,19
"112",111,112,6.83175213976439,112,19
"113",112,113,6.99016809603198,113,19
"114",113,114,7.13702531354849,114,19
"115",114,115,7.2584053710087,115,19
"116",115,116,7.34684811940141,116,19
"117",116,117,7.42072649889148,117,19
"118",117,118,7.50487172193778,118,19
"119",118,119,7.62411500099916,119,19
"120",119,120,7.79176065928562,120,19
"121",120,121,7.97500546301164,121,19
"122",121,122,8.12951928914282,122,19
"123",122,123,8.22280196448555,123,19
"124",123,124,8.26967311520932,124,19
"125",124,125,8.29678231732442,125,19
"126",125,126,8.33077914684113,126,19
"127",126,127,8.39544231290338,127,19
"128",127,128,8.50306705718967,128,19
"129",128,129,8.66307775451216,129,19
"130",129,130,8.87909391934215,130,19
"131",130,131,9.13151562478753,131,19
"132",131,132,9.39493808361531,132,19
"133",132,133,9.64474895062473,133,19
"134",133,134,9.85950564874387,134,19
