"","agency_cd","site_no","Date","Wtemp","Wtemp_cd","Flow","Flow_cd","Brownsville.Rd._Flow","Brownsville.Rd._Flow_cd"
"1","USGS","01465500",2018-12-20,3.3,"A",361,"A",NA,NA
"2","USGS","01465500",2018-12-21,8,"A",3780,"A",NA,NA
"3","USGS","01465500",2018-12-22,9,"A",1490,"A",NA,NA
"4","USGS","01465500",2018-12-23,7.2,"A",790,"A",NA,NA
"5","USGS","01465500",2018-12-24,6.7,"A",622,"A",NA,NA
"6","USGS","01465500",2018-12-25,5.7,"A",518,"A",NA,NA
"7","USGS","01465500",2018-12-26,4.9,"A",455,"A",NA,NA
"8","USGS","01465500",2018-12-27,4.7,"A",399,"A",NA,NA
"9","USGS","01465500",2018-12-28,6.1,"A",2210,"A",NA,NA
"10","USGS","01465500",2018-12-29,7.8,"A",1610,"A",NA,NA
"11","USGS","01465500",2018-12-30,7.1,"A",748,"A",NA,NA
"12","USGS","01465500",2019-01-01,6.7,"A",2560,"A",NA,NA
"13","USGS","01465500",2019-01-02,7.1,"A",910,"A",NA,NA
"14","USGS","01465500",2019-01-03,6.9,"A",694,"A",NA,NA
"15","USGS","01465500",2019-01-04,6,"A",571,"A",NA,NA
"16","USGS","01465500",2019-01-05,6.4,"A",1330,"A",NA,NA
"17","USGS","01465500",2019-01-06,6.4,"A",1180,"A",NA,NA
"18","USGS","01465500",2019-01-07,5.6,"A",603,"A",NA,NA
"19","USGS","01465500",2019-01-08,5.2,"A",576,"A",NA,NA
"20","USGS","01465500",2019-01-09,5.6,"A",751,"A",NA,NA
"21","USGS","01465500",2019-01-10,4.9,"A",525,"A",NA,NA
"22","USGS","01465500",2019-01-11,3.5,"A",425,"A",NA,NA
"23","USGS","01465500",2019-01-12,2.5,"A",369,"A",NA,NA
"24","USGS","01465500",2019-01-13,2.7,"A",348,"A",NA,NA
"25","USGS","01465500",2019-01-14,2.5,"A",332,"A",NA,NA
"26","USGS","01465500",2019-01-15,2,"A",306,"A",NA,NA
"27","USGS","01465500",2019-01-21,0.9,"A",907,"A e",NA,NA
"28","USGS","01465500",2019-01-22,0.3,"A",477,"A e",NA,NA
"29","USGS","01465500",2019-01-23,0.8,"A",377,"A e",NA,NA
"30","USGS","01465500",2019-01-25,3.8,"A",1820,"A",NA,NA
"31","USGS","01465500",2019-01-26,2.9,"A",698,"A",NA,NA
"32","USGS","01465500",2019-01-27,2.9,"A",533,"A",NA,NA
"33","USGS","01465500",2019-01-28,3.1,"A",463,"A",NA,NA
"34","USGS","01465500",2019-01-29,2.6,"A",411,"A",NA,NA
"35","USGS","01465500",2019-01-30,2.1,"A",423,"A",NA,NA
"36","USGS","01465500",2019-01-31,0.5,"A",314,"A e",NA,NA
"37","USGS","01465500",2019-02-01,0.2,"A",299,"A e",NA,NA
"38","USGS","01465500",2019-02-02,0.2,"A",299,"A e",NA,NA
"39","USGS","01465500",2019-02-03,0.9,"A",295,"A e",NA,NA
"40","USGS","01465500",2019-02-04,1.4,"A",297,"A",NA,NA
"41","USGS","01465500",2019-02-05,2.2,"A",284,"A",NA,NA
"42","USGS","01465500",2019-02-06,3.8,"A",282,"A",NA,NA
"43","USGS","01465500",2019-02-07,5.3,"A",537,"A",NA,NA
"44","USGS","01465500",2019-02-08,5.8,"A",469,"A",NA,NA
"45","USGS","01465500",2019-02-09,3.7,"A",399,"A",NA,NA
"46","USGS","01465500",2019-02-10,2.1,"A",300,"A",NA,NA
"47","USGS","01465500",2019-02-11,2.5,"A",285,"A",NA,NA
"48","USGS","01465500",2019-02-13,2.5,"A",737,"A",NA,NA
"49","USGS","01465500",2019-02-14,3.3,"A",752,"A",NA,NA
"50","USGS","01465500",2019-02-15,4.3,"A",634,"A",NA,NA
"51","USGS","01465500",2019-02-16,5.6,"A",672,"A",NA,NA
"52","USGS","01465500",2019-02-17,4.7,"A",444,"A",NA,NA
"53","USGS","01465500",2019-02-18,4.5,"A",423,"A",NA,NA
"54","USGS","01465500",2019-02-19,4.1,"A",373,"A",NA,NA
"55","USGS","01465500",2019-02-22,5.2,"A",904,"A",NA,NA
"56","USGS","01465500",2019-02-23,5,"A",500,"A",NA,NA
"57","USGS","01465500",2019-02-24,5.2,"A",944,"A",NA,NA
"58","USGS","01465500",2019-02-25,4.9,"A",753,"A",NA,NA
"59","USGS","01465500",2019-02-26,4.2,"A",468,"A",NA,NA
"60","USGS","01465500",2019-02-27,4,"A",396,"A",NA,NA
"61","USGS","01465500",2019-02-28,4.4,"A",371,"A",NA,NA
"62","USGS","01465500",2019-03-01,4.3,"A",339,"A",NA,NA
"63","USGS","01465500",2019-03-02,4.2,"A",496,"A",NA,NA
"64","USGS","01465500",2019-03-03,4.4,"A",649,"A",NA,NA
"65","USGS","01465500",2019-03-05,3.5,"A",681,"A",NA,NA
"66","USGS","01465500",2019-03-06,2.8,"A",497,"A",NA,NA
"67","USGS","01465500",2019-03-07,2.2,"A",399,"A",NA,NA
"68","USGS","01465500",2019-03-08,2.6,"A",363,"A",NA,NA
"69","USGS","01465500",2019-03-09,4.4,"A",355,"A",NA,NA
"70","USGS","01465500",2019-03-11,4.9,"A",1410,"A",NA,NA
"71","USGS","01465500",2019-03-12,6,"A",765,"A",NA,NA
"72","USGS","01465500",2019-03-13,6,"A",559,"A",NA,NA
"73","USGS","01465500",2019-03-14,7.1,"A",481,"A",NA,NA
"74","USGS","01465500",2019-03-15,9.5,"A",446,"A",NA,NA
"75","USGS","01465500",2019-03-16,10.5,"A",722,"A",NA,NA
"76","USGS","01465500",2019-03-17,9.1,"A",463,"A",NA,NA
"77","USGS","01465500",2019-03-18,8,"A",387,"A",NA,NA
"78","USGS","01465500",2019-03-19,7.6,"A",348,"A",NA,NA
"79","USGS","01465500",2019-03-20,7.7,"A",315,"A",NA,NA
"80","USGS","01465500",2019-03-21,8.1,"A",476,"A",NA,NA
"81","USGS","01465500",2019-03-22,7.7,"A",2900,"A",NA,NA
"82","USGS","01465500",2019-03-23,7.2,"A",1080,"A",NA,NA
"83","USGS","01465500",2019-03-24,7.8,"A",626,"A",NA,NA
"84","USGS","01465500",2019-03-25,8.8,"A",499,"A",NA,NA
"85","USGS","01465500",2019-03-26,8.5,"A",452,"A",NA,NA
"86","USGS","01465500",2019-03-27,8.2,"A",387,"A",NA,NA
"87","USGS","01465500",2019-03-28,8.8,"A",351,"A",NA,NA
"88","USGS","01465500",2019-03-29,10,"A",330,"A",NA,NA
"89","USGS","01465500",2019-03-30,11.6,"A",316,"A",NA,NA
"90","USGS","01465500",2019-03-31,12.2,"A",300,"A",NA,NA
"91","USGS","01465500",2019-04-01,9.8,"A",283,"A",NA,NA
"92","USGS","01465500",2019-04-02,9,"A",261,"A",NA,NA
"93","USGS","01465500",2019-04-03,10.2,"A",253,"A",NA,NA
"94","USGS","01465500",2019-04-04,11.5,"A",240,"A",NA,NA
"95","USGS","01465500",2019-04-05,10.5,"A",224,"A",NA,NA
"96","USGS","01465500",2019-04-06,11.3,"A",255,"A",NA,NA
"97","USGS","01465500",2019-04-07,13.5,"A",235,"A",NA,NA
"98","USGS","01465500",2019-04-08,15.7,"A",261,"A",NA,NA
"99","USGS","01465500",2019-04-09,17,"A",244,"A",NA,NA
"100","USGS","01465500",2019-04-10,15.7,"A",219,"A",NA,NA
"101","USGS","01465500",2019-04-11,13.8,"A",202,"A",NA,NA
"102","USGS","01465500",2019-04-12,14.1,"A",193,"A",NA,NA
"103","USGS","01465500",2019-04-13,16.4,"A",326,"A",NA,NA
"104","USGS","01465500",2019-04-14,17.3,"A",260,"A",NA,NA
"105","USGS","01465500",2019-04-15,16,"A",1940,"A",NA,NA
"106","USGS","01465500",2019-04-16,13.7,"A",720,"A",NA,NA
"107","USGS","01465500",2019-04-17,14.4,"A",400,"A",NA,NA
"108","USGS","01465500",2019-04-18,15.2,"A",322,"A",NA,NA
"109","USGS","01465500",2019-04-19,17.3,"A",291,"A",NA,NA
"110","USGS","01465500",2019-04-20,17.7,"A",1100,"A",NA,NA
"111","USGS","01465500",2019-04-21,16.7,"A",618,"A",NA,NA
"112","USGS","01465500",2019-04-22,16.1,"A",393,"A",NA,NA
"113","USGS","01465500",2019-04-23,16.9,"A",338,"A",NA,NA
"114","USGS","01465500",2019-04-24,18.7,"A",299,"A",NA,NA
"115","USGS","01465500",2019-04-25,17.8,"A",261,"A",NA,NA
"116","USGS","01465500",2019-04-26,16.2,"A",476,"A",NA,NA
"117","USGS","01465500",2019-04-27,15.5,"A",1020,"A",NA,NA
"118","USGS","01465500",2019-04-28,15.2,"A",413,"A",NA,NA
"119","USGS","01465500",2019-04-29,14.3,"A",319,"A",NA,NA
"120","USGS","01465500",2019-04-30,15,"A",292,"A",NA,NA
"121","USGS","01465500",2019-05-01,15.1,"A",267,"A",NA,NA
"122","USGS","01465500",2019-05-02,16.4,"A",242,"A",NA,NA
"123","USGS","01465500",2019-05-03,16.6,"A",228,"A",NA,NA
"124","USGS","01465500",2019-05-04,16.9,"A",221,"A",NA,NA
"125","USGS","01465500",2019-05-05,16.2,"A",727,"A",NA,NA
"126","USGS","01465500",2019-05-06,15.4,"A",1770,"A",NA,NA
"127","USGS","01465500",2019-05-07,16.7,"A",598,"A",NA,NA
"128","USGS","01465500",2019-05-08,17.2,"A",1480,"A",NA,NA
"129","USGS","01465500",2019-05-09,16.1,"A",594,"A",NA,NA
"130","USGS","01465500",2019-05-10,16.1,"A",442,"A",NA,NA
"131","USGS","01465500",2019-05-11,17.9,"A",423,"A",NA,NA
"132","USGS","01465500",2019-05-12,15.5,"A",1570,"A",NA,NA
"133","USGS","01465500",2019-05-13,12.3,"A",2300,"A",NA,NA
"134","USGS","01465500",2019-05-14,12.3,"A",1860,"A",NA,NA
"135","USGS","01465500",2019-05-15,13.4,"A",877,"P",NA,NA
"136","USGS","01465500",2019-05-16,15.9,"A",607,"P",NA,NA
"137","USGS","01465500",2019-05-17,17,"A",475,"P",NA,NA
"138","USGS","01465500",2019-05-18,18.3,"A",428,"P",NA,NA
"139","USGS","01465500",2019-05-19,19.9,"A",432,"P",NA,NA
"140","USGS","01465500",2019-05-20,21.5,"A",395,"P",NA,NA
"141","USGS","01465500",2019-05-21,20.9,"A",309,"P",NA,NA
"142","USGS","01465500",2019-05-22,19.5,"A",264,"P",NA,NA
"143","USGS","01465500",2019-05-23,19.2,"A",264,"P",NA,NA
"144","USGS","01465500",2019-05-24,20.3,"A",276,"P",NA,NA
"145","USGS","01465500",2019-05-25,20.1,"A",234,"P",NA,NA
"146","USGS","01465500",2019-05-26,21.1,"A",238,"P",NA,NA
"147","USGS","01465500",2019-05-27,22.3,"A",380,"P",NA,NA
"148","USGS","01465500",2019-05-28,21.4,"A",251,"P",NA,NA
"149","USGS","01465500",2019-05-29,21.2,"A",2030,"P",NA,NA
"150","USGS","01465500",2019-05-30,20.5,"A",3810,"P",NA,NA
"151","USGS","01465500",2019-05-31,20.7,"A",1890,"P",NA,NA
"152","USGS","01465500",2019-06-05,20.5,"P",279,"P",NA,NA
"153","USGS","01465500",2019-06-06,22,"P",454,"P",NA,NA
"154","USGS","01465500",2019-06-07,22.2,"P",275,"P",NA,NA
"155","USGS","01465500",2019-06-08,21.8,"P",233,"P",NA,NA
"156","USGS","01465500",2019-06-09,21.6,"P",209,"P",NA,NA
"157","USGS","01465500",2019-06-10,20.5,"P",216,"P",NA,NA
"158","USGS","01465500",2019-06-11,20.9,"P",989,"P",NA,NA
"159","USGS","01465500",2019-06-12,20.9,"P",356,"P",NA,NA
"160","USGS","01465500",2019-06-13,19.4,"P",602,"P",NA,NA
"161","USGS","01465500",2019-06-14,18.8,"P",603,"P",NA,NA
"162","USGS","01465500",2019-06-15,19.6,"P",323,"P",NA,NA
"163","USGS","01465500",2019-06-16,21.3,"P",311,"P",NA,NA
"164","USGS","01465500",2019-06-17,21.9,"P",487,"P",NA,NA
"165","USGS","01465500",2019-06-18,22.2,"P",381,"P",NA,NA
"166","USGS","01465500",2019-06-19,21.9,"P",999,"P",NA,NA
"167","USGS","01465500",2019-06-20,21.6,"P",2770,"P",NA,NA
"168","USGS","01465500",2019-06-21,22.1,"P",1300,"P",NA,NA
"169","USGS","01465500",2019-06-22,21.4,"P",538,"P",NA,NA
"170","USGS","01465500",2019-06-23,21.6,"P",381,"P",NA,NA
"171","USGS","01465500",2019-06-24,22,"P",315,"P",NA,NA
"172","USGS","01465500",2019-06-25,22.9,"P",287,"P",NA,NA
"173","USGS","01465500",2019-06-26,24,"P",255,"P",NA,NA
"174","USGS","01465500",2019-06-27,25.3,"P",222,"P",NA,NA
"175","USGS","01465500",2019-06-28,25.4,"P",207,"P",NA,NA
"176","USGS","01465500",2019-06-29,25.4,"P",272,"P",NA,NA
"177","USGS","01465500",2019-06-30,25.1,"P",268,"P",NA,NA
"178","USGS","01465500",2019-07-01,24.6,"P",190,"P",NA,NA
"179","USGS","01465500",2019-07-02,25,"P",170,"P",NA,NA
"180","USGS","01465500",2019-07-03,25.1,"P",175,"P",NA,NA
"181","USGS","01465500",2019-07-04,25.9,"P",227,"P",NA,NA
"182","USGS","01465500",2019-07-05,25.8,"P",212,"P",NA,NA
"183","USGS","01465500",2019-07-06,25.9,"P",303,"P",NA,NA
"184","USGS","01465500",2019-07-07,24.9,"P",1350,"P",NA,NA
"185","USGS","01465500",2019-07-08,24.4,"P",399,"P",NA,NA
"186","USGS","01465500",2019-07-09,24.1,"P",385,"P",NA,NA
"187","USGS","01465500",2019-07-10,25.1,"P",254,"P",NA,NA
"188","USGS","01465500",2019-07-11,24.4,"P",1340,"P",NA,NA
"189","USGS","01465500",2019-07-12,23.8,"P",3200,"P",NA,NA
"190","USGS","01465500",2019-07-13,24.4,"P",691,"P",NA,NA
"191","USGS","01465500",2019-07-14,24.8,"P",396,"P",NA,NA
"192","USGS","01465500",2019-07-15,NA,"P Eqp",291,"P",NA,NA
"193","USGS","01465500",2019-07-16,25.4,"P",242,"P",NA,NA
"194","USGS","01465500",2019-07-17,26.7,"P",226,"P",NA,NA
"195","USGS","01465500",2019-07-18,26.1,"P",445,"P",NA,NA
"196","USGS","01465500",2019-07-19,26.5,"P",598,"P",NA,NA
"197","USGS","01465500",2019-07-20,28.4,"P",272,"P",NA,NA
