"","agency_cd","site_no","Date","UPSTREAM_Wtemp","UPSTREAM_Wtemp_cd","FLOATING_Wtemp","FLOATING_Wtemp_cd","Flow","Flow_cd"
"1","USGS","02292900",2014-05-01,28.4,"A",NA,NA,1300,"A"
"2","USGS","02292900",2014-05-02,28.2,"A",NA,NA,897,"A"
"3","USGS","02292900",2014-05-03,27.6,"A",NA,NA,1020,"A"
"4","USGS","02292900",2014-05-04,27.3,"A",NA,NA,938,"A"
"5","USGS","02292900",2014-05-05,27.9,"A",NA,NA,383,"A"
"6","USGS","02292900",2014-05-06,28.6,"A",NA,NA,276,"A"
"7","USGS","02292900",2014-05-07,28.9,"A",NA,NA,168,"A"
"8","USGS","02292900",2014-05-08,28.8,"A",NA,NA,0,"A"
"9","USGS","02292900",2014-05-09,28.7,"A",NA,NA,764,"A"
"10","USGS","02292900",2014-05-10,28.4,"A",NA,NA,1360,"A"
"11","USGS","02292900",2014-05-11,28.4,"A",NA,NA,1180,"A"
"12","USGS","02292900",2014-05-12,28,"A",NA,NA,896,"A"
"13","USGS","02292900",2014-05-13,27.9,"A",NA,NA,712,"A"
"14","USGS","02292900",2014-05-14,27.9,"A",NA,NA,408,"A"
"15","USGS","02292900",2014-05-15,28.3,"A",NA,NA,244,"A"
"16","USGS","02292900",2014-05-16,27.8,"A",NA,NA,382,"A"
"17","USGS","02292900",2014-05-17,27.7,"A",NA,NA,197,"A"
"18","USGS","02292900",2014-05-18,27.6,"A",NA,NA,104,"A"
"19","USGS","02292900",2014-05-19,27.6,"A",NA,NA,769,"A"
"20","USGS","02292900",2014-05-20,27.5,"A",NA,NA,1440,"A e"
"21","USGS","02292900",2014-05-21,27.7,"A",NA,NA,1210,"A"
"22","USGS","02292900",2014-05-22,28.2,"A",NA,NA,867,"A"
"23","USGS","02292900",2014-05-23,28.4,"A",NA,NA,679,"A"
"24","USGS","02292900",2014-05-24,28.4,"A",NA,NA,453,"A"
"25","USGS","02292900",2014-05-25,29.1,"A",NA,NA,331,"A"
"26","USGS","02292900",2014-05-26,29.8,"A",NA,NA,310,"A"
"27","USGS","02292900",2014-05-27,30.1,"A",NA,NA,183,"A"
"28","USGS","02292900",2014-05-28,30.1,"A",NA,NA,0,"A"
"29","USGS","02292900",2014-05-29,29.8,"A",NA,NA,349,"A"
"30","USGS","02292900",2014-05-30,29.7,"A",NA,NA,662,"A"
"31","USGS","02292900",2014-05-31,29.8,"A",NA,NA,516,"A"
"32","USGS","02292900",2014-06-01,29.7,"A",NA,NA,198,"A"
"33","USGS","02292900",2014-06-02,29.1,"A",NA,NA,931,"A"
"34","USGS","02292900",2014-06-03,28.4,"A",NA,NA,945,"A"
"35","USGS","02292900",2014-06-04,28.7,"A",NA,NA,252,"A"
"36","USGS","02292900",2014-06-05,30.2,"A",NA,NA,214,"A"
"37","USGS","02292900",2014-06-06,29.9,"A",NA,NA,674,"A"
"38","USGS","02292900",2014-06-07,29.2,"A",NA,NA,479,"A"
"39","USGS","02292900",2014-06-08,29.2,"A",NA,NA,150,"A"
"40","USGS","02292900",2014-06-09,29.6,"A",NA,NA,277,"A"
"41","USGS","02292900",2014-06-10,30.2,"A",NA,NA,651,"A"
"42","USGS","02292900",2014-06-11,30.2,"A",NA,NA,41,"A"
"43","USGS","02292900",2014-06-12,29.4,"A",NA,NA,285,"A"
"44","USGS","02292900",2014-06-13,29.5,"A",NA,NA,1200,"A"
"45","USGS","02292900",2014-06-14,29.8,"A",NA,NA,1960,"A"
"46","USGS","02292900",2014-06-15,29.6,"A",NA,NA,1240,"A"
"47","USGS","02292900",2014-06-16,29.3,"A",NA,NA,1820,"A"
"48","USGS","02292900",2014-06-17,29.2,"A",NA,NA,1660,"A"
"49","USGS","02292900",2014-06-18,29.2,"A",NA,NA,1470,"A"
"50","USGS","02292900",2014-06-19,29.2,"A",NA,NA,1440,"A"
"51","USGS","02292900",2014-06-20,29,"A",NA,NA,2220,"A"
"52","USGS","02292900",2014-06-21,29,"A",NA,NA,1360,"A"
"53","USGS","02292900",2014-06-22,29.3,"A",NA,NA,847,"A"
"54","USGS","02292900",2014-06-23,29.6,"A",NA,NA,864,"A"
