"","agency_cd","site_no","Date",".YSI.UP._Wtemp",".YSI.UP._Wtemp_cd","YSI.DOWN_Wtemp","YSI.DOWN_Wtemp_cd","Flow","Flow_cd"
"1","USGS","04087170",2016-11-05,12.2,"P",11.9,"P",1460,"P e"
"2","USGS","04087170",2016-11-06,12.5,"P",12,"P",1490,"P e"
"3","USGS","04087170",2016-11-07,12.5,"P",12.2,"P",1290,"P e"
"4","USGS","04087170",2016-11-08,12.5,"P",12.3,"P",1300,"P e"
"5","USGS","04087170",2016-11-09,12.2,"P",12,"P",1540,"P e"
"6","USGS","04087170",2016-11-10,11.7,"P",11.7,"P",765,"P e"
"7","USGS","04087170",2016-11-11,11.7,"P",11.5,"P",844,"P e"
"8","USGS","04087170",2016-11-12,11,"P",11,"P",1320,"P e"
"9","USGS","04087170",2016-11-13,10.6,"P",10.4,"P",919,"P e"
"10","USGS","04087170",2016-11-14,10.4,"P",10.1,"P",1020,"P e"
"11","USGS","04087170",2016-11-15,10.7,"P",10.3,"P",1170,"P e"
"12","USGS","04087170",2016-11-16,10.5,"P",10.2,"P",1070,"P e"
"13","USGS","04087170",2016-11-17,10.5,"P",10.3,"P",883,"P e"
"14","USGS","04087170",2016-11-18,10.4,"P",10.3,"P",581,"P e"
"15","USGS","04087170",2016-11-19,9.7,"P",9.8,"P",1310,"P e"
"16","USGS","04087170",2016-11-20,9.5,"P",9.3,"P",1260,"P e"
"17","USGS","04087170",2016-11-21,9,"P",8.8,"P",905,"P e"
"18","USGS","04087170",2016-11-22,8.6,"P",8.3,"P",691,"P e"
"19","USGS","04087170",2016-11-23,8,"P",7.9,"P",799,"P e"
"20","USGS","04087170",2016-11-24,7.6,"P",7.4,"P",1540,"P e"
"21","USGS","04087170",2016-11-25,7.3,"P",7,"P",1500,"P e"
"22","USGS","04087170",2016-11-26,7.4,"P",6.9,"P",1220,"P e"
"23","USGS","04087170",2016-11-27,7.2,"P",6.9,"P",884,"P e"
"24","USGS","04087170",2016-11-28,6.9,"P",6.7,"P",1380,"P e"
"25","USGS","04087170",2016-11-29,6.8,"P",6.8,"P",1410,"P e"
"26","USGS","04087170",2016-11-30,6.8,"P",6.9,"P",1530,"P e"
"27","USGS","04087170",2016-12-01,6.2,"P",6.2,"P",1830,"P e"
"28","USGS","04087170",2016-12-02,6.3,"P",5.8,"P",1910,"P e"
"29","USGS","04087170",2016-12-03,6,"P",5.4,"P",1800,"P e"
"30","USGS","04087170",2016-12-04,5.5,"P",5.1,"P",1440,"P e"
"31","USGS","04087170",2016-12-05,5.3,"P",5,"P",1410,"P e"
"32","USGS","04087170",2016-12-06,5.1,"P",4.8,"P",1380,"P e"
"33","USGS","04087170",2016-12-07,4.2,"P",4.2,"P",626,"P e"
"34","USGS","04087170",2016-12-08,2.4,"P",2.4,"P",2170,"P e"
"35","USGS","04087170",2016-12-09,2.9,"P",2.2,"P",1740,"P e"
"36","USGS","04087170",2016-12-10,3,"P",2.3,"P",1530,"P e"
"37","USGS","04087170",2016-12-11,2.8,"P",2.5,"P",939,"P e"
"38","USGS","04087170",2016-12-12,2.2,"P",2.2,"P",1370,"P e"
"39","USGS","04087170",2016-12-13,1.9,"P",1.8,"P",1320,"P e"
"40","USGS","04087170",2016-12-14,1,"P",0.9,"P",1120,"P e"
"41","USGS","04087170",2016-12-15,0.3,"P",0.3,"P",1480,"P e"
"42","USGS","04087170",2016-12-16,0.5,"P",0.6,"P",898,"P e"
"43","USGS","04087170",2016-12-17,0.3,"P",0.6,"P",839,"P e"
"44","USGS","04087170",2016-12-18,0.2,"P",0.3,"P",962,"P e"
"45","USGS","04087170",2016-12-19,0.4,"P",0.6,"P",799,"P e"
"46","USGS","04087170",2016-12-20,0.2,"P",0.4,"P",367,"P e"
"47","USGS","04087170",2016-12-21,0.2,"P",0.5,"P",924,"P e"
"48","USGS","04087170",2016-12-22,0.5,"P",0.8,"P",1100,"P e"
"49","USGS","04087170",2016-12-23,0.6,"P",0.9,"P",882,"P e"
"50","USGS","04087170",2016-12-24,0.6,"P",0.9,"P",920,"P e"
"51","USGS","04087170",2016-12-25,0.8,"P",1.1,"P",801,"P e"
"52","USGS","04087170",2016-12-26,1.3,"P",1.5,"P",808,"P e"
"53","USGS","04087170",2016-12-27,1.2,"P",1.3,"P",1800,"P e"
"54","USGS","04087170",2016-12-28,0.8,"P",0.9,"P",1520,"P e"
"55","USGS","04087170",2016-12-29,0.8,"P",0.9,"P",2220,"P e"
"56","USGS","04087170",2016-12-30,0.9,"P",1.1,"P",1760,"P e"
"57","USGS","04087170",2016-12-31,0.9,"P",1.1,"P",1500,"P e"
"58","USGS","04087170",2017-01-01,0.8,"P",1,"P",1310,"P e"
