"","agency_cd","site_no","Date","Wtemp","Wtemp_cd","YSI.EX02_Wtemp","YSI.EX02_Wtemp_cd","Flow","Flow_cd"
"1","USGS","05418400",2012-05-25,19.6,"A",NA,NA,301,"A"
"2","USGS","05418400",2012-05-26,19.6,"A",NA,NA,315,"A"
"3","USGS","05418400",2012-05-27,22.3,"A",NA,NA,501,"A"
"4","USGS","05418400",2012-05-28,23.8,"A",NA,NA,400,"A"
"5","USGS","05418400",2012-05-29,22.3,"A",NA,NA,348,"A"
"6","USGS","05418400",2012-05-30,20.5,"A",NA,NA,314,"A"
"7","USGS","05418400",2012-05-31,17.2,"A",NA,NA,318,"A"
"8","USGS","05418400",2012-06-01,16.6,"A",NA,NA,327,"A"
"9","USGS","05418400",2012-06-02,17.8,"A",NA,NA,310,"A"
"10","USGS","05418400",2012-06-03,18.9,"A",NA,NA,301,"A"
"11","USGS","05418400",2012-06-04,21.2,"A",NA,NA,295,"A"
"12","USGS","05418400",2012-06-05,22.5,"A",NA,NA,288,"A"
"13","USGS","05418400",2012-06-06,22.2,"A",NA,NA,281,"A"
"14","USGS","05418400",2012-06-07,22.1,"A",NA,NA,274,"A"
"15","USGS","05418400",2012-06-08,22.8,"A",NA,NA,272,"A"
"16","USGS","05418400",2012-06-09,23.8,"A",NA,NA,271,"A"
"17","USGS","05418400",2012-06-10,24.4,"A",NA,NA,270,"A"
"18","USGS","05418400",2012-06-11,24.6,"A",NA,NA,274,"A"
"19","USGS","05418400",2012-06-12,22.7,"A",NA,NA,290,"A"
"20","USGS","05418400",2012-06-13,20.6,"A",NA,NA,274,"A"
"21","USGS","05418400",2012-06-14,21.1,"A",NA,NA,266,"A"
"22","USGS","05418400",2012-06-15,22.9,"A",NA,NA,263,"A"
"23","USGS","05418400",2012-06-16,24.4,"A",NA,NA,263,"A"
"24","USGS","05418400",2012-06-17,25.2,"A",NA,NA,267,"A"
"25","USGS","05418400",2012-06-18,26.2,"A",NA,NA,265,"A"
"26","USGS","05418400",2012-06-19,27.1,"A",NA,NA,262,"A"
"27","USGS","05418400",2012-06-20,27.3,"A",NA,NA,257,"A"
